Tags,Checked,Name,Formula,Annot. Source: Predicted Compositions,Annot. Source: mzCloud Search,Annot. Source: MassList Search,Annot. DeltaMass [ppm],Calc. MW,m/z,RT [min],Area (Max.),# mzCloud Results,mzCloud Best Match,mzCloud Best Match Confidence,Mass List Match: KPS_Cannabinoids,Mass List Match: ITN_KPS,Mass List Match: ITN_CYP_Metabolites,MS2,Reference Ion,Group Area: 1_feedpumpA,Group Area: 2_feedpumpB,Group Area: 3_feedpumpC,Group Area: 4_centrinA,Group Area: 5_centrinB,Group Area: 6_centrinC,Group Area: 7_newdryA,Group Area: 8_newdryB,Group Area: 9_newdryC,Group Area: 10_olddryA,Group Area: 11_olddryB,Group Area: 12_olddryC,Group Area: 13_digester1A,Group Area: 14_digester1B,Group Area: 15_digester2A,Group Area: 16_digester2B,Group Area: 17_digester3A,Group Area: 18_digester3B,Group Area: 19_digester4A,Group Area: 20_digester4B,Group Area: 21_controlA,Group Area: 22_controlB,Group Area: mix_A5,Group Area: mix_A50,Group Area: mix_A500,Group Area: mix_B5,Group Area: mix_B50,Group Area: mix_B500,Group Area: mix_C5,Group Area: mix_C50,Group Area: mix_C500,Peak Rating: 1_feedpumpA.raw (F1),Peak Rating: 2_feedpumpB.raw (F2),Peak Rating: 3_feedpumpC.raw (F3),Peak Rating: 4_centrinA.raw (F4),Peak Rating: 5_centrinB.raw (F5),Peak Rating: 6_centrinC.raw (F6),Peak Rating: 7_newdryA.raw (F7),Peak Rating: 8_newdryB.raw (F8),Peak Rating: 9_newdryC.raw (F9),Peak Rating: 10_olddryA.raw (F10),Peak Rating: 11_olddryB.raw (F11),Peak Rating: 12_olddryC.raw (F12),Peak Rating: 13_digester1A.raw (F13),Peak Rating: 14_digester1B.raw (F14),Peak Rating: 15_digester2A.raw (F15),Peak Rating: 16_digester2B.raw (F16),Peak Rating: 17_digester3A.raw (F17),Peak Rating: 18_digester3B.raw (F18),Peak Rating: 19_digester4A.raw (F19),Peak Rating: 20_digester4B.raw (F20),Peak Rating: 21_controlA.raw (F21),Peak Rating: 22_controlB.raw (F22),Peak Rating: blank1.raw (F23),Peak Rating: blank2.raw (F24),Peak Rating: blank3.raw (F25),Peak Rating: blank4.raw (F26),Peak Rating: blank5.raw (F27),Peak Rating: blank6.raw (F28),Peak Rating: blank7.raw (F29),Peak Rating: blank8.raw (F30),Peak Rating: mix_A5.raw (F31),Peak Rating: mix_A50.raw (F32),Peak Rating: mix_A500.raw (F33),Peak Rating: mix_B5.raw (F34),Peak Rating: mix_B50.raw (F35),Peak Rating: mix_B500.raw (F36),Peak Rating: mix_C5.raw (F37),Peak Rating: mix_C50.raw (F38),Peak Rating: mix_C500.raw (F39),Peak Rating: QC.raw (F40),Peak Rating: QC1.raw (F41),Peak Rating: QC2.raw (F42),Peak Rating: QC3.raw (F43)
,FALSE,Bis(2-ethylhexyl) amine,C16 H35 N,Full match,Full match,No results,-0.27,241.27689,242.28416,21.21,8236058217,1,88.9,9.4,No matches found,No matches found,No matches found,DDA for preferred ion,[M+H]+1,7440771322,8236058217,5869652379,1051721562,906387236.3,945154816.9,904519866.8,991082114.7,898468205,197422993,429567788.3,324791432.6,206487729,190855908.1,225845502.8,228885208.2,1386858646,1636883123,1914569370,2036493010,85114548.2,33447290.92,81171762.36,23311056.99,26077352.44,,29501295.11,6586272.445,10664785.56,10542907.86,20646250.84,7.3,7.3,7.8,8.4,8.4,8.9,8.4,8.4,8.4,8.9,7.8,8.4,7.3,8.9,7.3,8.9,8.4,8.4,8.4,8.9,8.4,7.8,,,,,,,,,8.4,7.8,7.8,,8.4,10,5.1,5.1,8.4,,8.4,8.4,8.4
,FALSE,Tapentadol,C14 H23 N O,No results,Full match,No results,-0.47,221.17786,222.18513,19.07,7258952495,1,78.6,8.9,No matches found,No matches found,No matches found,DDA for preferred ion,[M+H]+1,130226353.8,153950896.9,,7258952495,2284143468,2304717978,231288162.3,658865453.6,,3112065850,500886233.4,3511614703,1010728502,1121175563,3140756404,2561261971,,,,,,,,,,,,,,,,10,10,,8.4,9.5,9.5,8.4,10,,8.4,10,8.4,8.4,9.5,9.5,9.5,,,,,,,,3.6,,,,,,,,,,,,,,,,9.5,9.5,9.5,9.5
,FALSE,Tapentadol,C14 H23 N O,No results,Full match,No results,-0.49,221.17786,222.18513,18.5,6814123944,1,77.1,8.9,No matches found,No matches found,No matches found,DDA for preferred ion,[M+H]+1,,,,,,,,,289524245.5,,,,,,,,5396943709,6814123944,3042527814,2360336511,,,,,,,,100876.0287,48716.12885,78697.06091,,,,,,,,,,10,,,,,,,,8.4,8.4,10,10,,,3.3,,,,,,,,,,,,,3.3,3.8,3.3,,,,,
,FALSE,Octadecanamine,C18 H39 N,Full match,Full match,No results,-0.36,269.30815,270.31543,23.65,6621293796,2,83.3,9.2,No matches found,No matches found,No matches found,DDA for preferred ion,[M+H]+1,,,83958.96423,,,,1640372.222,852018.4195,,,,,,,,,135808.6355,,,1652038.229,,,,,,,,,,,,,,8.7,,,,1,5,,,,,,,,,4.3,,,7.5,,,,,,,,,,,,,,,,,,,,7.8,,1.7,3.9
,FALSE,Oleamide,C18 H35 N O,Full match,Full match,No results,-0.17,281.27182,282.27908,23.365,6600970826,3,93.1,83.5,No matches found,No matches found,No matches found,DDA for preferred ion,[M+H]+1,2768045053,3881970389,3708500313,5151190833,4400670992,4111703175,4031630884,4580128160,3708196376,4833704330,5203328898,4851380410,5816884187,4701318157,3483231452,4050278849,3395334285,3831471259,3303933281,3137237930,4616166358,4647184439,6572300559,6600970826,5688852956,5690356696,6093298174,6102227747,4737360758,4865172326,4988096588,8.4,7.8,7.8,8.4,7.8,7.3,7.3,8.4,7.8,8.4,8.4,7.8,7.8,8.4,7.8,6.2,8.4,5.7,7.8,7.3,7.8,5.7,7.8,8.4,7.8,7.8,9.5,7.8,8.4,9.5,8.4,6.7,7.8,8.4,7.8,8.4,7.8,7.8,7.8,,8.4,7.8,8.4
,FALSE,1-Tetradecylamine,C14 H31 N,Full match,Full match,No results,-0.32,213.24558,214.25286,20.391,5821540267,1,90.9,9.5,No matches found,No matches found,No matches found,DDA for preferred ion,[M+H]+1,5821540267,5251052687,5039808601,542733181,597542772.5,582105318.6,635092750.3,657590634.2,588264176.4,207781914.6,155572890.7,209998125.4,370423658.3,478744992,190614751.4,295103378.4,810972852.4,881379389.8,914261734.4,945884597.2,,,210405961.8,5975182.183,,506817.3443,,,,,,7.3,7.3,7.3,7.3,7.3,7.8,7.8,7.3,6.7,8.4,9.5,8.4,7.8,8.4,7.3,8.9,7.8,7.8,7.8,7.3,,,,,,,,,,,8.4,6.2,,2.3,,,,,,,7.3,6.2,6.7
,FALSE,Didecyldimethylammonium,C22 H47 N,Full match,Full match,No results,0.22,325.37092,326.3782,21.593,3098586259,1,91.3,9.6,No matches found,No matches found,No matches found,DDA for preferred ion,[M+H]+1,1822422900,2229654185,1141291888,1022688877,1294794254,1635290138,2028884117,1841896386,1846440822,1897383558,1681479545,1640311764,3098586259,2914201521,2088240487,2148492945,1668618509,1778439084,1902284019,2469796629,168829165.9,189930115,151491220.1,120630072.7,140540604.6,,143549075.7,84333926.43,46820308.31,38954818.59,160238.4953,8.9,8.4,7.8,8.4,9.5,9.5,9.5,9.5,8.4,9.5,9.5,9.5,8.9,7.3,7.8,8.4,8.4,9.5,9.5,8.9,8.9,8.4,,7.8,,,7.8,7.8,,,8.4,8.4,8.4,,8.4,8.4,8.4,8.4,1.1,,8.4,9.5,8.9
,FALSE,Cetrimonium,C19 H41 N,Full match,Full match,No results,-0.17,283.32385,284.33113,21.674,3007322194,1,93,9.6,No matches found,No matches found,No matches found,DDA for preferred ion,[M+H]+1,1207750875,1415821915,754844920.6,981835799,1102578704,1324059024,1681055296,1770601422,1669280396,2473597602,2357706358,2116549948,3007322194,3002493047,2276397878,2480603595,1414209614,1542860199,1483079834,1682206036,105112057,170873668.8,57582279.56,49744098.48,60343386.69,,69683387,28328230.71,19778782.1,13773533.15,37175066.11,9.5,8.4,9.5,9.5,9.5,8.4,9.5,8.4,9.5,7.8,8.9,7.8,9.5,8.4,8.4,8.4,8.4,9.5,9.5,8.4,8.4,7.8,,,,,,,,,7.8,7.3,8.4,,7.8,5.7,5.7,5.7,6.7,,8.9,8.4,8.4
,FALSE,O-Arachidonoyl ethanolamine,C22 H37 N O2,Full match,Full match,No results,0.06,347.28245,348.28973,20.424,2962962254,3,76.1,47.8,No matches found,No matches found,No matches found,DDA for preferred ion,[M+H]+1,8720180.709,2328127.618,4932503.191,,,,,,,5354082.032,,818830700.1,1768798.735,45542252.6,7207844.462,1722193.801,,,2962962254,2692918485,,,85959.43166,,,,270168.9485,95565.06337,,,,6.7,7.5,7.8,,,,,,,10,,7.8,6.4,8.4,6.7,9.1,,,8.4,7.8,,,,,,,,,,,1.1,,,,2.5,1.6,,,,,8.9,8.4,8.4
,FALSE,Hexadecanamide,C16 H33 N O,Full match,Full match,No results,-0.38,255.25612,256.26339,23.086,2209647380,2,94.5,9.7,No matches found,No matches found,No matches found,DDA for preferred ion,[M+H]+1,1082677075,1278535233,1154414518,1785031008,1553377207,1454810823,1368035911,1482593274,1336140821,1705590417,1727103102,1633310549,1751854273,1495271398,1246706428,1323724438,918056009.2,1353120439,1112739388,1154115959,1585129066,1830810300,2151453376,2014685130,1792933779,2125652027,2147215506,2209647380,1868198680,1879100009,1843978466,9.5,8.9,9.5,8.9,9.5,9.5,8.9,9.5,8.9,8.4,9.5,8.9,8.9,9.5,8.9,8.9,7.3,8.9,9.5,8.9,8.4,8.9,7.8,,7,7.8,7.8,7.8,9.5,9.5,9.5,8.4,8.4,9.5,9.5,9.5,9.5,9.5,8.4,,9.5,8.9,9.5
