Tags,Checked,Name,Formula,Annot. Source: Predicted Compositions,Annot. Source: mzCloud Search,Annot. Source: MassList Search,Annot. DeltaMass [ppm],Calc. MW,m/z,RT [min],Area (Max.),# mzCloud Results,mzCloud Best Match,mzCloud Best Match Confidence,Mass List Match: KPS_NPL,Mass List Match: KPS_Psychoactive Substances_v2,Mass List Match: KPS_Pharmaceuticals_Oct22,MS2,Reference Ion,Group Area: 1_feedpumpA,Group Area: 2_feedpumpB,Group Area: 3_feedpumpC,Group Area: 4_centrinA,Group Area: 5_centrinB,Group Area: 6_centrinC,Group Area: 7_newdryA,Group Area: 8_newdryB,Group Area: 9_newdryC,Group Area: 10_olddryA,Group Area: 11_olddryB,Group Area: 12_olddryC,Group Area: 13_digester1A,Group Area: 14_digester1B,Group Area: 15_digester2A,Group Area: 16_digester2B,Group Area: 17_digester3A,Group Area: 18_digester3B,Group Area: 19_digester4A,Group Area: 20_digester4B,Group Area: 21_controlA,Group Area: 22_controlB,Group Area: mix_A5,Group Area: mix_A50,Group Area: mix_A500,Group Area: mix_B5,Group Area: mix_B50,Group Area: mix_B500,Group Area: mix_C5,Group Area: mix_C50,Group Area: mix_C500,Peak Rating: 1_feedpumpA.raw (F1),Peak Rating: 2_feedpumpB.raw (F2),Peak Rating: 3_feedpumpC.raw (F3),Peak Rating: 4_centrinA.raw (F4),Peak Rating: 5_centrinB.raw (F5),Peak Rating: 6_centrinC.raw (F6),Peak Rating: 7_newdryA.raw (F7),Peak Rating: 8_newdryB.raw (F8),Peak Rating: 9_newdryC.raw (F9),Peak Rating: 10_olddryA.raw (F10),Peak Rating: 11_olddryB.raw (F11),Peak Rating: 12_olddryC.raw (F12),Peak Rating: 13_digester1A.raw (F13),Peak Rating: 14_digester1B.raw (F14),Peak Rating: 15_digester2A.raw (F15),Peak Rating: 16_digester2B.raw (F16),Peak Rating: 17_digester3A.raw (F17),Peak Rating: 18_digester3B.raw (F18),Peak Rating: 19_digester4A.raw (F19),Peak Rating: 20_digester4B.raw (F20),Peak Rating: 21_controlA.raw (F21),Peak Rating: 22_controlB.raw (F22),Peak Rating: blank1.raw (F23),Peak Rating: blank2.raw (F24),Peak Rating: blank3.raw (F25),Peak Rating: blank4.raw (F26),Peak Rating: blank5.raw (F27),Peak Rating: blank6.raw (F28),Peak Rating: blank7.raw (F29),Peak Rating: blank8.raw (F30),Peak Rating: mix_A5.raw (F31),Peak Rating: mix_A50.raw (F32),Peak Rating: mix_A500.raw (F33),Peak Rating: mix_B5.raw (F34),Peak Rating: mix_B50.raw (F35),Peak Rating: mix_B500.raw (F36),Peak Rating: mix_C5.raw (F37),Peak Rating: mix_C50.raw (F38),Peak Rating: mix_C500.raw (F39),Peak Rating: QC.raw (F40),Peak Rating: QC1.raw (F41),Peak Rating: QC2.raw (F42),Peak Rating: QC3.raw (F43)
,FALSE,(+)-(6s)-Parasorbic Acid,C6 H8 O2,Full match,Invalid mass,Full match,0.39,112.05247,113.05986,17.066,6447261.776,7,84.2,9.2,Single match found,No matches found,Single match found,DDA for preferred ion,[M+H]+1,1898587.556,2368736.524,,709999.6465,,2829572.709,1749994.962,,1437127.74,,1183312.738,,951739.8532,,,,,,2305533.478,,4885211.683,6297141.195,3814524.262,4044215.037,4070284.155,5103067.515,4643205.678,4942540.492,6447261.776,3008402.476,4701172.399,8.4,9.5,,9.1,,2.9,9.1,,9.1,,8.6,,8.6,,,,,,7.3,,7.8,9.5,,,,,,,,,5.7,7.8,7.8,7.8,9.5,7.8,7.8,7.8,9.5,,8.9,2.9,3.5
,FALSE,(+)-(6s)-Parasorbic Acid,C6 H8 O2,Full match,Partial match,Full match,1.08,112.05255,113.05982,15.524,6956351.688,1,90.7,58.5,Single match found,No matches found,Single match found,DDA for preferred ion,[M+H]+1,,,4778258.586,,,1321575.541,,,1307921.191,5765596.624,1179271.035,3157916.451,6956351.688,2317468.354,,,1527859.822,,2610019.828,,3743194.045,3054466.342,5379941.419,2802422.204,3444527.231,4264035.259,2337521.728,4147005.383,3103785.675,1230771.081,2243409.616,,,7.8,,,3.7,,,3.7,2.9,7.5,5.7,3.5,5.1,,,1.5,,2.9,,6.2,6.7,,,,,,,,,7.3,6.7,6.7,7.3,6.7,7.3,7.3,6.4,7.3,,3.2,5.3,2.6
,FALSE,(+)-(6s)-Parasorbic Acid,C6 H8 O2,Full match,Partial match,Full match,1.12,112.05256,113.05983,15.373,3173014.426,1,91.6,9.6,Single match found,No matches found,Single match found,DDA for preferred ion,[M+H]+1,1788503.666,1069738.861,2370175.956,1186455.782,,1419046.5,,,,,953113.0507,1127766.495,,2059969.955,,,,,,1165675.976,3034079.43,2873238.843,3173014.426,2163474.889,2661364.005,2401697.105,1688406.42,2700155.843,2484056.378,1086563.931,1509240.443,3.7,4.2,4.6,5.3,,2.1,,,,,2.6,2.1,,2.4,,,,,,4.8,4.6,6.2,,,,,,,,,5.7,8.9,5.1,8.4,6.4,6.7,5.7,5.9,4.8,,2.6,3.7,8
,FALSE,(+)-(6s)-Parasorbic Acid,C6 H8 O2,Full match,Invalid mass,Full match,1.26,112.05257,113.05986,0.905,889884.1482,5,78.4,59.6,Single match found,No matches found,Single match found,DDA for preferred ion,[M+H]+1,352843.4915,541348.7498,597062.0603,857732.8817,531798.3998,490512.6157,580392.2975,749797.2962,515494.9594,378468.7395,,726709.0207,319721.5612,564402.6364,350381.9219,392241.7566,578284.2721,,412866.1161,591345.6337,,585924.7039,,629478.1492,889884.1482,414823.8965,,164209.6042,689488.7058,,539873.9167,2.3,3.9,4.5,3.2,5,3.9,3.9,3.7,2.3,4.5,,3.7,4.5,3.4,2.8,1.2,3.4,,3.9,3.4,,2.8,,2.8,3.4,3.9,,1.4,2.8,3.9,,3.4,3.7,2.8,,2,2.6,,3.4,,3.9,1.5,3.9
,FALSE,"(+)-2,5-Dimethoxyamphetamine",C11 H17 N O2,Full match,No results,Full match,1.16,195.12615,213.15977,12.541,10814438.28,0,,,No matches found,No matches found,Single match found,DDA for preferred ion,[M+NH4]+1,,,,,,,,655130.2138,,,10814438.28,,,,,223546.033,,,,,,,,,,,,,,,,,,,,,,,1.7,,,7.3,,,,,5.8,,,,,,,,,,,,,,,,,,,,,,,,,7,,
,FALSE,(+)-Taxifolin,C15 H12 O7,No match,Partial match,Full match,1.1,304.05864,305.06591,6.965,35834.18819,7,83.6,9.2,No matches found,No matches found,Single match found,DDA for preferred ion,[M+H]+1,,,,,,,,,,,,,,26744.51219,35834.18819,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.5,6.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,FALSE,(+-)-alminoprofen,C13 H17 N O2,Full match,Partial match,Full match,0.07,219.12594,220.13322,15.808,31334732.5,4,80.9,63,No matches found,No matches found,Single match found,DDA for preferred ion,[M+H]+1,,,,,,,,,,,,,,,,,,,,,,,349702.9379,1525769.687,31334732.5,,,33920.11498,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.9,5.9,7.8,,,4.9,,,,,,,
,FALSE,(+-)-alminoprofen,C13 H17 N O2,Full match,Partial match,Full match,0.03,219.12594,220.13321,15.342,28048018.11,4,83,51.8,No matches found,No matches found,Single match found,DDA for preferred ion,[M+H]+1,,,,,,,,,,,,,,,,,,,,,,,,1960077.898,28048018.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.1,6.7,,,,,,,,,2.8,
,FALSE,(+-)-alminoprofen,C13 H17 N O2,Full match,Partial match,Full match,-0.04,219.12592,220.1332,13.782,9865540.274,4,82.2,51.4,No matches found,No matches found,Single match found,DDA for preferred ion,[M+H]+1,,,,,,,,,,,,,,,,,,,,,,,,857284.2901,9865540.274,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.8,6.7,,,,,,,,,,
,FALSE,(+-)-alminoprofen,C13 H17 N O2,Full match,Partial match,Full match,-0.22,219.12588,220.13315,13.523,1257825.492,4,83.5,9.2,No matches found,No matches found,Single match found,DDA for preferred ion,[M+H]+1,,,,,,,,,,,,,,,,,,,,,,,,,1257825.492,,52083.59133,60475.58255,,58463.73899,32921.98247,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.7,,4.9,6.5,,3.3,3.8,,,,
