Sample Name,Location,Matrix
SC_001,Lecheng Stream,Surface Water
SC_002,Lecheng Spring,Surface Water
SC_003,Palapye WWTP (Eff),Waste water
SC_004,Palapye WWTP ,Surface Water
SC_005,Lotsane Dam,Surface Water
SC_007,Francistown WWTP,Surface Water
SC_008,Kasane WWTP (Main),Surface Water
SC_009,Kasane WWTP (Overflow),Surface Water
SC_010,Kasane (Main),Surface Water
SC_011,Kasane (recreational),Surface Water
SC_012,Maun Beach (Before),Surface Water
SC_013,Maun Beach (After),Surface Water
SC_014,Maun WWTP (Main),Waste water
SC_015,Maun WWTP (Overflow),Surface Water
SC_016,Ghanzi WWTP,Surface Water
SC_017,Mogobane dam,Surface Water
SC_018,Maru-a-Pula,Surface Water
SC_020,Glen Valley (Reclamation),Surface Water
SC_021,Glen Valley (Reclamation),Surface Water
SC_022,Glen Valley (Recreational),Surface Water
SC_023,Glen Valley (Recreational),Surface Water
