Tags,Checked,Name,Formula,Annot. Source: Predicted Compositions,Annot. Source: mzCloud Search,Annot. Source: MassList Search,Annot. DeltaMass [ppm],Calc. MW,m/z,RT [min],Area (Max.),# mzCloud Results,mzCloud Best Match,mzCloud Best Match Confidence,Mass List Match: KPS_NPL,Mass List Match: KPS_Psychoactive Substances_v2,Mass List Match: KPS_Pharmaceuticals_Oct22,MS2,Reference Ion,Group Area: CRH_FST1,Group Area: CRH_FST2,Group Area: CRH_FST3,Group Area: CRH_FST4,Group Area: CRH_FST5,Group Area: CRH_INLET,Group Area: LANDFILL_EG_0_3Y,Group Area: LANDFILL_EG_3_10Y,Group Area: LANDFILL_EG_Y104,Group Area: LANDFILL_OP_Y104,Group Area: LYSIMETER_CONTROL_EG_140622,Group Area: LYSIMETER_CONTROL_EG_171221,Group Area: LYSIMETER_CONTROL_EG_250122,Group Area: LYSIMETER_CONTROL_OP_140622,Group Area: LYSIMETER_CONTROL_OP_171221,Group Area: LYSIMETER_CONTROL_OP_260122,Group Area: LYSIMETER_EG_0_3Y_14062022,Group Area: LYSIMETER_EG_03Y_171221,Group Area: LYSIMETER_EG_03Y_250122,Group Area: LYSIMETER_EG_3_10Y__171221,Group Area: LYSIMETER_EG_104_171221,Group Area: LYSIMETER_EG3_104_140622,Group Area: LYSIMETER_EG3_104_250122,Group Area: LYSIMETER_EG3_104_250122_20221003231510,Group Area: LYSIMETER_EG104_140622,Group Area: LYSIMETER_OP_0_3Y_171221,Group Area: LYSIMETER_OP_0_3Y_250122,Group Area: LYSIMETER_OP_3_10Y_171221,Group Area: LYSIMETER_OP_3_10Y_250122,Group Area: LYSIMETER_OP_10Y_140622,Group Area: LYSIMETER_OP_10Y_171222,Group Area: LYSIMETER_OP_7104_250122,Group Area: LYSIMETER_OP0_34_140622,Group Area: LYSIMETER_OP3_104_140622,Group Area: Thailand_sample_1,Group Area: Thailand_sample_2,Group Area: Thailand_sample_3,Group Area: Thailand_sample_4,Group Area: Thailand_sample_5,Group Area: Thailand_sample_6,Group Area: Thailand_sample_7,Group Area: Thailand_sample_8,Peak Rating: BLANK_2.raw (F1),Peak Rating: BLANK_3.raw (F2),Peak Rating: BLANK_4.raw (F3),Peak Rating: BLANK_5.raw (F4),Peak Rating: Blank_6.raw (F5),Peak Rating: BLANK1.raw (F6),Peak Rating: CRH_FST1.raw (F7),Peak Rating: CRH_FST2.raw (F8),Peak Rating: CRH_FST3.raw (F9),Peak Rating: CRH_FST4.raw (F10),Peak Rating: CRH_FST5.raw (F11),Peak Rating: CRH_INLET.raw (F12),Peak Rating: LANDFILL_EG_0_3Y.raw (F13),Peak Rating: LANDFILL_EG_3_10Y.raw (F14),Peak Rating: LANDFILL_EG_Y104.raw (F15),Peak Rating: LANDFILL_OP_Y104.raw (F16),Peak Rating: LYSIMETER_CONTROL_EG_140622.raw (F17),Peak Rating: LYSIMETER_CONTROL_EG_171221.raw (F18),Peak Rating: LYSIMETER_CONTROL_EG_250122.raw (F19),Peak Rating: LYSIMETER_CONTROL_OP_140622.raw (F20),Peak Rating: LYSIMETER_CONTROL_OP_171221.raw (F21),Peak Rating: LYSIMETER_CONTROL_OP_260122.raw (F22),Peak Rating: LYSIMETER_EG_0_3Y_14062022.raw (F23),Peak Rating: LYSIMETER_EG_03Y_171221.raw (F24),Peak Rating: LYSIMETER_EG_03Y_250122.raw (F25),Peak Rating: LYSIMETER_EG_3_10Y__171221.raw (F26),Peak Rating: LYSIMETER_EG_104_171221.raw (F27),Peak Rating: LYSIMETER_EG3_104_140622.raw (F28),Peak Rating: LYSIMETER_EG3_104_250122.raw (F29),Peak Rating: LYSIMETER_EG3_104_250122_20221003231510.raw (F30),Peak Rating: LYSIMETER_EG104_140622.raw (F31),Peak Rating: LYSIMETER_OP_0_3Y_171221.raw (F32),Peak Rating: LYSIMETER_OP_0_3Y_250122.raw (F33),Peak Rating: LYSIMETER_OP_3_10Y_171221.raw (F34),Peak Rating: LYSIMETER_OP_3_10Y_250122.raw (F35),Peak Rating: LYSIMETER_OP_10Y_140622.raw (F36),Peak Rating: LYSIMETER_OP_10Y_171222.raw (F37),Peak Rating: LYSIMETER_OP_7104_250122.raw (F38),Peak Rating: LYSIMETER_OP0_34_140622.raw (F39),Peak Rating: LYSIMETER_OP3_104_140622.raw (F40),Peak Rating: QC_1.raw (F41),Peak Rating: QC_2.raw (F42),Peak Rating: QC_3.raw (F43),Peak Rating: QC_4.raw (F44),Peak Rating: QC_5.raw (F45),Peak Rating: QC_6.raw (F46),Peak Rating: QC_7.raw (F47),Peak Rating: QC_8.raw (F48),Peak Rating: QC_9.raw (F49),Peak Rating: QC_10.raw (F50),Peak Rating: QC_11.raw (F51),Peak Rating: QC_12.raw (F52),Peak Rating: QC_13.raw (F53),Peak Rating: QC_14.raw (F54),Peak Rating: QC_15.raw (F55),Peak Rating: Thailand_sample_1.raw (F56),Peak Rating: Thailand_sample_2.raw (F57),Peak Rating: Thailand_sample_3.raw (F58),Peak Rating: Thailand_sample_4.raw (F59),Peak Rating: Thailand_sample_5.raw (F60),Peak Rating: Thailand_sample_6.raw (F61),Peak Rating: Thailand_sample_7.raw (F62),Peak Rating: Thailand_sample_8.raw (F63)
,FALSE,PEG n8,C16 H34 O9,Full match,Full match,No results,-0.6,370.22006,371.22731,9.063,584358458.4,3,90.4,76.2,No matches found,No matches found,No matches found,DDA for preferred ion,[M+H]+1,,,,,,,,,,10906108.72,,,,,538927245.6,314257759.2,,,,,,,,299447632.8,464949235.8,,584358458.4,395438479.4,,569173256.2,,,,,65424.87264,,,,,,3595288.177,272241.7734,,,,,,,,,,,,,,,,7.3,,,,,10,10,,,,,,,,10,10,,10,10,,10,,,,,,,,,,,,,,,,,,,,2.5,,,,,,9.5,8.6
,FALSE,PEG n10,C20 H42 O11,Not the top hit,Full match,No results,-0.23,458.27261,459.28006,9.212,495537377.1,1,89,81.7,No matches found,No matches found,No matches found,DDA for preferred ion,[M+H]+1,,,,,,,,,,,,,,,,,,,,,,,,,,,,54424.15387,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.8,,,,,,,,10,3.7,4.2,5.5,,6.5,,,2.2,,,,,,,,,,,,,
,FALSE,PEG n8,C16 H34 O9,Full match,Full match,No results,-0.49,370.2201,371.22739,9.024,489060702.1,2,89.2,81.8,No matches found,No matches found,No matches found,DDA for preferred ion,[M+H]+1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,489060702.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,7.3,8.9,,,,,,,,,,
,FALSE,PEG n8,C16 H34 O9,Not the top hit,Full match,No results,-0.55,370.22008,371.22735,8.895,480060697.4,3,89.6,75,No matches found,No matches found,No matches found,DDA for preferred ion,[M+H]+1,,,,,,,1099288.191,,,,392874155.8,,,359428610.2,,,257227152.6,,387400093.5,,,408684149.6,,,,8399975.515,,,,,1719669.865,,,480060697.4,,160201.5689,1437509.196,,,40446.8411,,,,,,,,,,,,,,,6.7,,,,10,,,10,,,10,,8.9,,,10,,,,8.9,,,,,8.9,,,8.9,,,2.1,1.2,,5.4,,,,1.5,,,,,3.3,,4.2,10,,,2.7,,
,FALSE,PEG n8,C16 H34 O9,Full match,Full match,No results,-0.55,370.22008,371.22734,8.231,441662215,2,90.9,76.8,No matches found,No matches found,No matches found,DDA for preferred ion,[M+H]+1,,,,,,,,,159206.2122,,2937009.972,1457355.709,,2848156.642,,126710.9661,,3235498.303,2874942.11,223854.0093,,3518960.129,4576466.006,2185622.861,56163.36986,441662215,303644.2963,2781764.104,,262690.6471,,,345311.695,3681399.333,,10138302.32,,,,,,,,,,,,,,,,,,,,,7.5,,8.9,10,,10,,6.1,,7.3,8.9,1,,7.3,10,7.3,6.8,8.9,1,9.5,,5.9,,,3.2,8.9,,3.5,,,,,,,,,,,,2.8,6.8,,8.9,,,,,,
,FALSE,PEG n8,C16 H34 O9,Not the top hit,Full match,No results,-0.63,370.22005,371.22732,9.009,409868173.2,3,89.9,82.3,No matches found,No matches found,No matches found,DDA for preferred ion,[M+H]+1,,,,,,,,,398700838.2,,,,409868173.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,8.9,,,,,,,,,,,,,,,,,,,,,,,7.3,,,,,,,,,,,,7.3,,,,,,,,,
,FALSE,PEG n8,C16 H34 O9,Full match,Full match,No results,-0.68,370.22003,371.22733,8.625,356951894.8,3,90.4,76.1,No matches found,No matches found,No matches found,DDA for preferred ion,[M+H]+1,,,,,,,,,,,,,,,,,,,,,,,,,84431.67865,,,,,265112.6141,,,,,,,,,,,,105754.858,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.8,,,,,3.7,,,,,,10,,,,,,,,,,,,,,,,,,,,,8.3
,FALSE,PEG n8,C16 H34 O9,Full match,Full match,No results,-0.59,370.22006,371.22736,8.674,348106726.5,3,89.7,55.8,No matches found,No matches found,No matches found,DDA for preferred ion,[M+H]+1,,,,,,,,3633165.968,231193.3055,280308016.8,,,,,,,,,,,,,84858.42723,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,3.2,10,,,,,,,,,,,,,2.8,,,,,,,,,,,,,,,,,,,,,,,10,8.9,,,,,,,,,,
,FALSE,PEG n8,C16 H34 O9,Full match,Full match,No results,-0.55,370.22008,371.22737,9.159,300956643.6,3,91.6,77.9,No matches found,No matches found,No matches found,DDA for preferred ion,[M+H]+1,,,,,,,,,,6199856.097,,,,,,,,,,,,,,,,,,,,,,,,27967034.28,,70476.13543,,,,,,,,,,,,,,,,,,,,,,7.3,,,,,,,,,,,,,,,,,,,,,,,,7.3,,,,,,,10,10,8.9,,,8.9,,7.3,10,,3,,,,,,
,FALSE,PEG n8,C16 H34 O9,Full match,Full match,No results,-0.53,370.22009,371.22739,8.645,274447649.5,3,90.8,76.7,No matches found,No matches found,No matches found,DDA for preferred ion,[M+H]+1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,310190.3357,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.9,,,9.7,,,,,,
,FALSE,PEG n8,C16 H34 O9,Full match,Full match,No results,-0.55,370.22008,371.22735,9.177,270692423.4,3,88.8,81.5,No matches found,No matches found,No matches found,DDA for preferred ion,[M+H]+1,,,,,,,,,,,,,,21777098.13,,,,,,,,25605423.05,,,,19823881.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.3,,,,,,,,7.3,,,,4.6,,,,,,,,,,,,,,8.9,6.7,,,8.9,,,7.3,,,,,,,,,,
,FALSE,PEG n13,C26 H54 O14,No match,Full match,No results,-0.19,590.35124,608.38512,9.799,262208025.9,1,86.4,79.8,No matches found,No matches found,No matches found,DDA for preferred ion,[M+NH4]+1,,,,,,,,,,,,,,172679179.2,,,,,,,,,,,,,,,,,,,,192397542.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,10,,10,,,,,,,,,,,10,,,,,,,,,,
,FALSE,PEG n7,C14 H30 O8,Full match,Full match,No results,-0.37,326.19395,327.20131,8.675,253958685.2,1,89,81.7,No matches found,No matches found,No matches found,DDA for preferred ion,[M+H]+1,,,,,,,,686035.9153,,10625811.51,,,218171454,,253958685.2,,,,,,,,,157867251.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.3,,7.3,,,8.9,,8.9,,,,,,,,,8.9,,,,,,,,,,,,,,,,,,,,,,7.3,8.9,,,,,,,,,,
,FALSE,PEG n8,C16 H34 O9,Full match,Full match,No results,-0.59,370.22007,393.20917,9.211,244806582.2,3,90.2,75.9,No matches found,No matches found,No matches found,DDA for preferred ion,[M+Na]+1,,,,,,,,,,1024335.853,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,3.5,,,,,,,,,
