"peak_number","name","formula","annot_delta_mass_ppm","calc_mw","m_z","rt_min","mass_list_name","feedpump","newdry","olddry","centrin","digesterC","digesterA","digesterB","digesterD"
3605,"(+)-ar-Turmerone","C15 H20 O",0,216.15141,217.15869,21.242,"mz_cloud",873217.33215188,10255456.0496695,7593422.11600101,NA,NA,NA,NA,NA
3396,"(+/-)-Cannabichromeorcin","C17 H22 O2",-0.04,258.16197,259.16925,21.51,"mz_cloud",8563350.28861379,4350010.35425113,4118610.38585115,9741451.66820529,NA,NA,NA,NA
1421,"(+/-)5(6)-EET Ethanolamide","C22 H37 N O3",0.39,363.27748,364.28476,16.258,"mz_cloud",NA,NA,NA,38243241.4375373,NA,NA,NA,NA
2785,"(+/-)5(6)-EET Ethanolamide","C22 H37 N O3",0.38,363.27748,364.28476,18.3,"mz_cloud",NA,NA,NA,NA,8416590.04692555,NA,NA,NA
882,"(1R,4aS)-7-(2-Hydroxypropan-2-yl)-1,4a-dimethyl-9-oxo-3,4,10,10a-tetrahydro-2H-phenanthrene-1-carboxylic acid","C20 H26 O4",0.67,330.18333,331.19061,22.783,"mz_cloud",9231694.2613766,23460278.6632311,23951595.51867,21111772.4237733,32464428.8038197,19069672.0055596,61059061.5382219,24599430.3865108
1251,"(1S,4S,5R,10S,13S,17S,19S,20R)-10-hydroxy-4,5,9,9,13,19,20-heptamethyl-24-oxahexacyclo[15.5.2.0Âa,Âaâ¸.0â´,Âaâ·.0âµ,Âaâ´.0â¸,ÂaÂl]tetracos-15-en-23-one","C30 H46 O3",0.01,454.3447,455.35196,23.72,"mz_cloud",NA,27143164.5070127,12765307.8119313,13971997.4448367,20348904.4636025,22141052.2025619,30835057.0366575,24727384.4312155
2801,"(1S,4S,5R,10S,13S,17S,19S,20R)-10-hydroxy-4,5,9,9,13,19,20-heptamethyl-24-oxahexacyclo[15.5.2.0Âa,Âaâ¸.0â´,Âaâ·.0âµ,Âaâ´.0â¸,ÂaÂl]tetracos-15-en-23-one","C30 H46 O3",0.04,454.34471,455.35199,20.905,"mz_cloud",6681823.05070649,NA,NA,NA,NA,NA,NA,NA
3806,"(2E,4E)-N-(2-methylpropyl)deca-2,4-dienamide","C14 H25 N O",-0.01,223.19361,224.20089,22.709,"mz_cloud",NA,NA,NA,NA,4317155.07788455,5806209.39323752,NA,NA
1264,"(2R,5R,6R)-3-[(1E,3E)-hepta-1,3-dien-1-yl]-5,6-dihydroxy-2-(hydroxymethyl)cyclohexan-1-one","C14 H22 O4",0.13,254.15184,255.15908,16.726,"mz_cloud",11814541.3847212,24042443.0956465,36976733.3862024,8292410.99489305,5840109.44470923,NA,NA,27710677.0519574
3297,"(3E)-3-(3-Oxo-1,3-dihydro-2H-indol-2-ylidene)-1,3-dihydro-2H-indol-2-one_BTM03005","C16 H10 N2 O3",0.23,278.06921,279.07648,10.755,"itn_cyp_metabolites",9105388.04348497,NA,NA,NA,NA,NA,NA,NA
1641,"(E)-Squalene","C30 H50",0.05,410.39127,411.39855,22.105,"kps_pharmaceuticals_oct22",NA,24779321.9804582,4342209.65941913,16735389.8907859,8862400.92986693,6159124.11714109,NA,8020771.77090221
3656,"(R)-Lisofylline","C13 H20 N4 O3",-3.81,280.15247,298.18647,17.051,"kps_pharmaceuticals_oct22",NA,NA,NA,NA,NA,NA,5839311.34379853,NA
5056,"(Z)-Hexadec-9-enoic acid","C16 H30 O2",-0.18,254.22453,255.23181,22.446,"kps_pharmaceuticals_oct22",3988619.53130132,NA,NA,NA,NA,NA,NA,NA
3593,"1,2,2,6,6-Pentamethyl-4-piperidyl methacrylate","C14 H25 N O2",-0.07,239.18851,240.19579,17.047,"mz_cloud",6176373.85303154,NA,4939182.89038482,NA,NA,NA,NA,NA
900,"1,3-Diphenylacetone","C15 H14 O",-0.03,210.10446,211.11174,18.907,"mz_cloud",NA,NA,NA,4663664.03930933,NA,NA,3717512.33812122,NA
3309,"1,4-dihydroxyheptadec-16-en-2-yl acetate","C19 H36 O4",0.5,328.26152,329.26883,22.438,"mz_cloud",5798539.58803281,6327135.62222432,9691692.84607157,5565623.50404017,6920783.9299904,NA,4000222.06520204,6348075.22314036
4308,"1-(piperidinomethyl)-2-naphthol","C16 H19 N O",-0.01,241.14666,242.15395,17.163,"mz_cloud",5990954.38046375,NA,NA,NA,NA,NA,NA,NA
