"peak_number","name","formula","annot_delta_mass_ppm","calc_mw","m_z","rt_min","mass_list_name","mean_area","sample_location"
1880,"(+)-2,5-Dimethoxyamphetamine","C11 H17 N O2",0.08,195.12594,196.13323,11.334,"kps_pharmaceuticals_oct22",3957015.33010283,"palapye wwtp surface water"
1497,"(+)-2,5-Dimethoxyamphetamine","C11 H17 N O2",0.12,195.12595,196.13323,10.33,"kps_pharmaceuticals_oct22",736189.987677405,"kasane wwtp (main) surface water"
1880,"(+)-2,5-Dimethoxyamphetamine","C11 H17 N O2",0.08,195.12594,196.13323,11.334,"kps_pharmaceuticals_oct22",2608283.75512497,"kasane wwtp (overflow) surface water"
1497,"(+)-2,5-Dimethoxyamphetamine","C11 H17 N O2",0.12,195.12595,196.13323,10.33,"kps_pharmaceuticals_oct22",6138226.13014879,"maun wwtp (main) waste water"
1443,"(+)-2,5-Dimethoxyamphetamine","C11 H17 N O2",0.2,195.12597,196.13324,9.383,"kps_pharmaceuticals_oct22",6069308.03427755,"maun wwtp (overflow) surface water"
4919,"(+)-Taxifolin","C15 H12 O7",3.09,304.05924,305.06652,7.005,"kps_pharmaceuticals_oct22",1492786.05538931,"palapye wwtp (eff) waste water"
4919,"(+)-Taxifolin","C15 H12 O7",3.09,304.05924,305.06652,7.005,"kps_pharmaceuticals_oct22",1812777.88813363,"palapye wwtp surface water"
4919,"(+)-Taxifolin","C15 H12 O7",3.09,304.05924,305.06652,7.005,"kps_pharmaceuticals_oct22",809699.15169133,"francistown wwtp surface water"
4919,"(+)-Taxifolin","C15 H12 O7",3.09,304.05924,305.06652,7.005,"kps_pharmaceuticals_oct22",370112.62865267,"maun wwtp (overflow) surface water"
4919,"(+)-Taxifolin","C15 H12 O7",3.09,304.05924,305.06652,7.005,"kps_pharmaceuticals_oct22",669641.826996539,"ghanzi wwtp surface water"
4919,"(+)-Taxifolin","C15 H12 O7",3.09,304.05924,305.06652,7.005,"kps_pharmaceuticals_oct22",1189865.31209213,"glen valley (reclamation) surface water"
4919,"(+)-Taxifolin","C15 H12 O7",3.09,304.05924,305.06652,7.005,"kps_pharmaceuticals_oct22",400555.237221839,"glen valley (recreational) surface water"
1097,"(+-)-alminoprofen","C13 H17 N O2",0.51,219.12604,220.13332,4.64,"kps_pharmaceuticals_oct22",1866088.15210649,"palapye wwtp (eff) waste water"
1097,"(+-)-alminoprofen","C13 H17 N O2",0.51,219.12604,220.13332,4.64,"kps_pharmaceuticals_oct22",1921174.65339049,"palapye wwtp surface water"
3594,"(+-)-alminoprofen","C13 H17 N O2",0.4,219.12602,220.13329,8.848,"kps_pharmaceuticals_oct22",1490601.54432692,"kasane wwtp (main) surface water"
1179,"(+-)-alminoprofen","C13 H17 N O2",0.53,219.12604,220.13332,7.213,"kps_pharmaceuticals_oct22",7339833.37405451,"kasane wwtp (overflow) surface water"
7328,"(+-)-alminoprofen","C13 H17 N O2",0.44,219.12603,220.1333,17.753,"kps_pharmaceuticals_oct22",972451.314773273,"kasane (recreational) surface water"
3036,"(+-)-alminoprofen","C13 H17 N O2",0.41,219.12602,220.13329,6.833,"kps_pharmaceuticals_oct22",277365.067422186,"maun beach (before) surface water"
1179,"(+-)-alminoprofen","C13 H17 N O2",0.53,219.12604,220.13332,7.213,"kps_pharmaceuticals_oct22",692500.353265573,"maun beach (after) surface water"
1076,"(+-)-alminoprofen","C13 H17 N O2",0.4,219.12602,220.13329,9.926,"kps_pharmaceuticals_oct22",8137227.74330898,"maun wwtp (main) waste water"
1076,"(+-)-alminoprofen","C13 H17 N O2",0.4,219.12602,220.13329,9.926,"kps_pharmaceuticals_oct22",5201180.05939418,"maun wwtp (overflow) surface water"
1179,"(+-)-alminoprofen","C13 H17 N O2",0.53,219.12604,220.13332,7.213,"kps_pharmaceuticals_oct22",682250.007919269,"ghanzi wwtp surface water"
1097,"(+-)-alminoprofen","C13 H17 N O2",0.51,219.12604,220.13332,4.64,"kps_pharmaceuticals_oct22",3375367.2590001,"glen valley (reclamation) surface water"
