"peak_number","name","formula","annot_delta_mass_ppm","calc_mw","m_z","rt_min","sample_location","mass_list_name","mean_area"
6986,"(+)-(6s)-Parasorbic Acid","C6 H8 O2",1.29,112.05257,113.05985,6.097,"lysimeter_control_op_260122","kps_pharmaceuticals_oct22",142254.650817712
7360,"(+)-2,5-Dimethoxyamphetamine","C11 H17 N O2",-0.02,195.12593,196.1332,13.041,"thailand_sample_8","kps_pharmaceuticals_oct22",351615.703902479
979,"(+-)-alminoprofen","C13 H17 N O2",0.4,219.12602,220.13329,7.528,"landfill_eg_0_3y","kps_pharmaceuticals_oct22",806290.012095203
979,"(+-)-alminoprofen","C13 H17 N O2",0.4,219.12602,220.13329,7.528,"landfill_eg_3_10y","kps_pharmaceuticals_oct22",6570685.02510042
3969,"(+-)-alminoprofen","C13 H17 N O2",0.38,219.12601,220.13329,8.251,"landfill_eg_y104","kps_pharmaceuticals_oct22",234766.925112829
979,"(+-)-alminoprofen","C13 H17 N O2",0.4,219.12602,220.13329,7.528,"landfill_op_y104","kps_pharmaceuticals_oct22",1345260.06400925
979,"(+-)-alminoprofen","C13 H17 N O2",0.4,219.12602,220.13329,7.528,"lysimeter_control_eg_171221","kps_pharmaceuticals_oct22",950446.922854823
979,"(+-)-alminoprofen","C13 H17 N O2",0.4,219.12602,220.13329,7.528,"lysimeter_control_eg_250122","kps_pharmaceuticals_oct22",108878.076307982
5665,"(+-)-alminoprofen","C13 H17 N O2",0.45,219.12603,220.1333,6.912,"lysimeter_control_op_171221","kps_pharmaceuticals_oct22",152270.068028423
979,"(+-)-alminoprofen","C13 H17 N O2",0.4,219.12602,220.13329,7.528,"lysimeter_eg_03y_171221","kps_pharmaceuticals_oct22",2909521.97501615
979,"(+-)-alminoprofen","C13 H17 N O2",0.4,219.12602,220.13329,7.528,"lysimeter_eg_03y_250122","kps_pharmaceuticals_oct22",278118.688634563
979,"(+-)-alminoprofen","C13 H17 N O2",0.4,219.12602,220.13329,7.528,"lysimeter_eg_0_3y_14062022","kps_pharmaceuticals_oct22",144143.867524629
4253,"(+-)-alminoprofen","C13 H17 N O2",0.41,219.12602,220.13329,14.154,"lysimeter_op_10y_140622","kps_pharmaceuticals_oct22",285635.693037182
4253,"(+-)-alminoprofen","C13 H17 N O2",0.41,219.12602,220.13329,14.154,"lysimeter_op_10y_171222","kps_pharmaceuticals_oct22",202317.214966176
883,"(+/-)-3,4-(Methylenedioxy)amphetamine","C10 H13 N O2",0.19,179.09466,180.10194,3.72,"landfill_eg_3_10y","kps_psychoactive_substances_v2",3433816.64369214
1064,"(+/-)-3,4-(Methylenedioxy)amphetamine","C10 H13 N O2",0.16,179.09466,180.10193,4.653,"landfill_eg_y104","kps_psychoactive_substances_v2",1130371.56332848
332,"(+/-)-3,4-(Methylenedioxy)amphetamine","C10 H13 N O2",0.19,179.09466,180.10194,2.235,"landfill_op_y104","kps_psychoactive_substances_v2",5931114.90996706
1064,"(+/-)-3,4-(Methylenedioxy)amphetamine","C10 H13 N O2",0.16,179.09466,180.10193,4.653,"lysimeter_control_eg_171221","kps_psychoactive_substances_v2",1877443.37166608
332,"(+/-)-3,4-(Methylenedioxy)amphetamine","C10 H13 N O2",0.19,179.09466,180.10194,2.235,"lysimeter_control_op_140622","kps_psychoactive_substances_v2",1573486.71615114
332,"(+/-)-3,4-(Methylenedioxy)amphetamine","C10 H13 N O2",0.19,179.09466,180.10194,2.235,"lysimeter_control_op_260122","kps_psychoactive_substances_v2",3009199.34822645
1703,"(+/-)-3,4-(Methylenedioxy)amphetamine","C10 H13 N O2",0.15,179.09466,180.10194,6.373,"lysimeter_eg_03y_171221","kps_psychoactive_substances_v2",3831869.00929528
1703,"(+/-)-3,4-(Methylenedioxy)amphetamine","C10 H13 N O2",0.15,179.09466,180.10194,6.373,"lysimeter_eg_03y_250122","kps_psychoactive_substances_v2",440484.737233893
1703,"(+/-)-3,4-(Methylenedioxy)amphetamine","C10 H13 N O2",0.15,179.09466,180.10194,6.373,"lysimeter_eg_0_3y_14062022","kps_psychoactive_substances_v2",364000.832897473
1816,"(+/-)-3,4-(Methylenedioxy)amphetamine","C10 H13 N O2",0.18,179.09466,180.10194,8.898,"lysimeter_eg_3_10y_171221","kps_psychoactive_substances_v2",855796.474637459
4186,"(+/-)-3,4-(Methylenedioxy)amphetamine","C10 H13 N O2",0.22,179.09467,180.10194,17.453,"lysimeter_op_0_3y_171221","kps_psychoactive_substances_v2",1344194.69647883
1816,"(+/-)-3,4-(Methylenedioxy)amphetamine","C10 H13 N O2",0.18,179.09466,180.10194,8.898,"lysimeter_op_10y_171222","kps_psychoactive_substances_v2",299439.922591046
332,"(+/-)-3,4-(Methylenedioxy)amphetamine","C10 H13 N O2",0.19,179.09466,180.10194,2.235,"thailand_sample_7","kps_psychoactive_substances_v2",18102333.3079857
332,"(+/-)-3,4-(Methylenedioxy)amphetamine","C10 H13 N O2",0.19,179.09466,180.10194,2.235,"thailand_sample_8","kps_psychoactive_substances_v2",17183059.073914
896,"(+/-)5(6)-EET Ethanolamide","C22 H37 N O3",0.1,363.27738,364.28466,16.144,"landfill_eg_3_10y","mz_cloud",7211594.27219315
896,"(+/-)5(6)-EET Ethanolamide","C22 H37 N O3",0.1,363.27738,364.28466,16.144,"lysimeter_control_eg_171221","mz_cloud",224849.702561802
896,"(+/-)5(6)-EET Ethanolamide","C22 H37 N O3",0.1,363.27738,364.28466,16.144,"lysimeter_eg_03y_171221","mz_cloud",416487.681236222
3724,"(+/-)5(6)-EET Ethanolamide","C22 H37 N O3",0.07,363.27737,364.28465,15.022,"thailand_sample_7","mz_cloud",1571059.36150085
3724,"(+/-)5(6)-EET Ethanolamide","C22 H37 N O3",0.07,363.27737,364.28465,15.022,"thailand_sample_8","mz_cloud",1520943.58205034
4174,"(1R,9R)-3-(2-Fluorophenyl)-11-(phenylsulfonyl)-7,11-diazatricyclo[7.3.1.02,7]trideca-2,4-dien-6-one","C23 H21 F N2 O3 S",1.36,424.12627,425.13354,19.506,"crh_fst1","mz_cloud",1198263.90945578
4174,"(1R,9R)-3-(2-Fluorophenyl)-11-(phenylsulfonyl)-7,11-diazatricyclo[7.3.1.02,7]trideca-2,4-dien-6-one","C23 H21 F N2 O3 S",1.36,424.12627,425.13354,19.506,"crh_fst5","mz_cloud",1071421.91247657
4174,"(1R,9R)-3-(2-Fluorophenyl)-11-(phenylsulfonyl)-7,11-diazatricyclo[7.3.1.02,7]trideca-2,4-dien-6-one","C23 H21 F N2 O3 S",1.36,424.12627,425.13354,19.506,"crh_inlet","mz_cloud",1306097.6653337
4174,"(1R,9R)-3-(2-Fluorophenyl)-11-(phenylsulfonyl)-7,11-diazatricyclo[7.3.1.02,7]trideca-2,4-dien-6-one","C23 H21 F N2 O3 S",1.36,424.12627,425.13354,19.506,"landfill_eg_y104","mz_cloud",822884.506617758
4174,"(1R,9R)-3-(2-Fluorophenyl)-11-(phenylsulfonyl)-7,11-diazatricyclo[7.3.1.02,7]trideca-2,4-dien-6-one","C23 H21 F N2 O3 S",1.36,424.12627,425.13354,19.506,"lysimeter_control_eg_171221","mz_cloud",890502.773767772
4174,"(1R,9R)-3-(2-Fluorophenyl)-11-(phenylsulfonyl)-7,11-diazatricyclo[7.3.1.02,7]trideca-2,4-dien-6-one","C23 H21 F N2 O3 S",1.36,424.12627,425.13354,19.506,"lysimeter_eg3_104_140622","mz_cloud",1072660.58853258
4174,"(1R,9R)-3-(2-Fluorophenyl)-11-(phenylsulfonyl)-7,11-diazatricyclo[7.3.1.02,7]trideca-2,4-dien-6-one","C23 H21 F N2 O3 S",1.36,424.12627,425.13354,19.506,"lysimeter_eg3_104_250122_20221003231510","mz_cloud",1080286.68361994
4174,"(1R,9R)-3-(2-Fluorophenyl)-11-(phenylsulfonyl)-7,11-diazatricyclo[7.3.1.02,7]trideca-2,4-dien-6-one","C23 H21 F N2 O3 S",1.36,424.12627,425.13354,19.506,"lysimeter_op3_104_140622","mz_cloud",1143971.89546093
727,"(1R,9S)-11-(4-Fluorobenzoyl)-5-(4-methoxyphenyl)-7,11-diazatricyclo[7.3.1.02,7]trideca-2,4-dien-6-one","C25 H23 F N2 O3",2.41,418.17028,419.17756,20.199,"crh_fst1","mz_cloud",6564240.84509841
727,"(1R,9S)-11-(4-Fluorobenzoyl)-5-(4-methoxyphenyl)-7,11-diazatricyclo[7.3.1.02,7]trideca-2,4-dien-6-one","C25 H23 F N2 O3",2.41,418.17028,419.17756,20.199,"crh_fst2","mz_cloud",7314359.28534978
727,"(1R,9S)-11-(4-Fluorobenzoyl)-5-(4-methoxyphenyl)-7,11-diazatricyclo[7.3.1.02,7]trideca-2,4-dien-6-one","C25 H23 F N2 O3",2.41,418.17028,419.17756,20.199,"crh_fst3","mz_cloud",8212368.25926525
727,"(1R,9S)-11-(4-Fluorobenzoyl)-5-(4-methoxyphenyl)-7,11-diazatricyclo[7.3.1.02,7]trideca-2,4-dien-6-one","C25 H23 F N2 O3",2.41,418.17028,419.17756,20.199,"crh_fst4","mz_cloud",7281302.37821766
727,"(1R,9S)-11-(4-Fluorobenzoyl)-5-(4-methoxyphenyl)-7,11-diazatricyclo[7.3.1.02,7]trideca-2,4-dien-6-one","C25 H23 F N2 O3",2.41,418.17028,419.17756,20.199,"crh_fst5","mz_cloud",7446223.10775904
727,"(1R,9S)-11-(4-Fluorobenzoyl)-5-(4-methoxyphenyl)-7,11-diazatricyclo[7.3.1.02,7]trideca-2,4-dien-6-one","C25 H23 F N2 O3",2.41,418.17028,419.17756,20.199,"crh_inlet","mz_cloud",8856830.50461465
727,"(1R,9S)-11-(4-Fluorobenzoyl)-5-(4-methoxyphenyl)-7,11-diazatricyclo[7.3.1.02,7]trideca-2,4-dien-6-one","C25 H23 F N2 O3",2.41,418.17028,419.17756,20.199,"landfill_eg_0_3y","mz_cloud",5452450.03292151
727,"(1R,9S)-11-(4-Fluorobenzoyl)-5-(4-methoxyphenyl)-7,11-diazatricyclo[7.3.1.02,7]trideca-2,4-dien-6-one","C25 H23 F N2 O3",2.41,418.17028,419.17756,20.199,"landfill_eg_3_10y","mz_cloud",5105734.38212597
727,"(1R,9S)-11-(4-Fluorobenzoyl)-5-(4-methoxyphenyl)-7,11-diazatricyclo[7.3.1.02,7]trideca-2,4-dien-6-one","C25 H23 F N2 O3",2.41,418.17028,419.17756,20.199,"landfill_eg_y104","mz_cloud",6648432.31249644
727,"(1R,9S)-11-(4-Fluorobenzoyl)-5-(4-methoxyphenyl)-7,11-diazatricyclo[7.3.1.02,7]trideca-2,4-dien-6-one","C25 H23 F N2 O3",2.41,418.17028,419.17756,20.199,"landfill_op_y104","mz_cloud",5464844.13614641
727,"(1R,9S)-11-(4-Fluorobenzoyl)-5-(4-methoxyphenyl)-7,11-diazatricyclo[7.3.1.02,7]trideca-2,4-dien-6-one","C25 H23 F N2 O3",2.41,418.17028,419.17756,20.199,"lysimeter_control_eg_140622","mz_cloud",6780237.63527777
1493,"(1R,9S)-11-(4-Fluorobenzoyl)-5-(4-methoxyphenyl)-7,11-diazatricyclo[7.3.1.02,7]trideca-2,4-dien-6-one","C25 H23 F N2 O3",2.18,418.17018,419.17746,20.938,"lysimeter_control_eg_171221","mz_cloud",2729710.12498593
727,"(1R,9S)-11-(4-Fluorobenzoyl)-5-(4-methoxyphenyl)-7,11-diazatricyclo[7.3.1.02,7]trideca-2,4-dien-6-one","C25 H23 F N2 O3",2.41,418.17028,419.17756,20.199,"lysimeter_control_eg_250122","mz_cloud",6246425.12722442
727,"(1R,9S)-11-(4-Fluorobenzoyl)-5-(4-methoxyphenyl)-7,11-diazatricyclo[7.3.1.02,7]trideca-2,4-dien-6-one","C25 H23 F N2 O3",2.41,418.17028,419.17756,20.199,"lysimeter_control_op_140622","mz_cloud",6746695.27431181
727,"(1R,9S)-11-(4-Fluorobenzoyl)-5-(4-methoxyphenyl)-7,11-diazatricyclo[7.3.1.02,7]trideca-2,4-dien-6-one","C25 H23 F N2 O3",2.41,418.17028,419.17756,20.199,"lysimeter_control_op_171221","mz_cloud",6397272.19560187
727,"(1R,9S)-11-(4-Fluorobenzoyl)-5-(4-methoxyphenyl)-7,11-diazatricyclo[7.3.1.02,7]trideca-2,4-dien-6-one","C25 H23 F N2 O3",2.41,418.17028,419.17756,20.199,"lysimeter_control_op_260122","mz_cloud",6469499.80520564
727,"(1R,9S)-11-(4-Fluorobenzoyl)-5-(4-methoxyphenyl)-7,11-diazatricyclo[7.3.1.02,7]trideca-2,4-dien-6-one","C25 H23 F N2 O3",2.41,418.17028,419.17756,20.199,"lysimeter_eg104_140622","mz_cloud",6983076.40089912
727,"(1R,9S)-11-(4-Fluorobenzoyl)-5-(4-methoxyphenyl)-7,11-diazatricyclo[7.3.1.02,7]trideca-2,4-dien-6-one","C25 H23 F N2 O3",2.41,418.17028,419.17756,20.199,"lysimeter_eg3_104_140622","mz_cloud",6517161.77482739
727,"(1R,9S)-11-(4-Fluorobenzoyl)-5-(4-methoxyphenyl)-7,11-diazatricyclo[7.3.1.02,7]trideca-2,4-dien-6-one","C25 H23 F N2 O3",2.41,418.17028,419.17756,20.199,"lysimeter_eg3_104_250122","mz_cloud",8085942.92502565
727,"(1R,9S)-11-(4-Fluorobenzoyl)-5-(4-methoxyphenyl)-7,11-diazatricyclo[7.3.1.02,7]trideca-2,4-dien-6-one","C25 H23 F N2 O3",2.41,418.17028,419.17756,20.199,"lysimeter_eg3_104_250122_20221003231510","mz_cloud",6566168.6372909
727,"(1R,9S)-11-(4-Fluorobenzoyl)-5-(4-methoxyphenyl)-7,11-diazatricyclo[7.3.1.02,7]trideca-2,4-dien-6-one","C25 H23 F N2 O3",2.41,418.17028,419.17756,20.199,"lysimeter_eg_03y_171221","mz_cloud",7535425.88263462
727,"(1R,9S)-11-(4-Fluorobenzoyl)-5-(4-methoxyphenyl)-7,11-diazatricyclo[7.3.1.02,7]trideca-2,4-dien-6-one","C25 H23 F N2 O3",2.41,418.17028,419.17756,20.199,"lysimeter_eg_03y_250122","mz_cloud",6719297.12021893
727,"(1R,9S)-11-(4-Fluorobenzoyl)-5-(4-methoxyphenyl)-7,11-diazatricyclo[7.3.1.02,7]trideca-2,4-dien-6-one","C25 H23 F N2 O3",2.41,418.17028,419.17756,20.199,"lysimeter_eg_0_3y_14062022","mz_cloud",7254851.37485839
727,"(1R,9S)-11-(4-Fluorobenzoyl)-5-(4-methoxyphenyl)-7,11-diazatricyclo[7.3.1.02,7]trideca-2,4-dien-6-one","C25 H23 F N2 O3",2.41,418.17028,419.17756,20.199,"lysimeter_eg_104_171221","mz_cloud",6509802.19840423
727,"(1R,9S)-11-(4-Fluorobenzoyl)-5-(4-methoxyphenyl)-7,11-diazatricyclo[7.3.1.02,7]trideca-2,4-dien-6-one","C25 H23 F N2 O3",2.41,418.17028,419.17756,20.199,"lysimeter_eg_3_10y_171221","mz_cloud",5856363.1195581
727,"(1R,9S)-11-(4-Fluorobenzoyl)-5-(4-methoxyphenyl)-7,11-diazatricyclo[7.3.1.02,7]trideca-2,4-dien-6-one","C25 H23 F N2 O3",2.41,418.17028,419.17756,20.199,"lysimeter_op0_34_140622","mz_cloud",6189915.67194859
727,"(1R,9S)-11-(4-Fluorobenzoyl)-5-(4-methoxyphenyl)-7,11-diazatricyclo[7.3.1.02,7]trideca-2,4-dien-6-one","C25 H23 F N2 O3",2.41,418.17028,419.17756,20.199,"lysimeter_op3_104_140622","mz_cloud",6868276.10363282
727,"(1R,9S)-11-(4-Fluorobenzoyl)-5-(4-methoxyphenyl)-7,11-diazatricyclo[7.3.1.02,7]trideca-2,4-dien-6-one","C25 H23 F N2 O3",2.41,418.17028,419.17756,20.199,"lysimeter_op_0_3y_171221","mz_cloud",6340976.66076406
727,"(1R,9S)-11-(4-Fluorobenzoyl)-5-(4-methoxyphenyl)-7,11-diazatricyclo[7.3.1.02,7]trideca-2,4-dien-6-one","C25 H23 F N2 O3",2.41,418.17028,419.17756,20.199,"lysimeter_op_0_3y_250122","mz_cloud",6219901.00902228
727,"(1R,9S)-11-(4-Fluorobenzoyl)-5-(4-methoxyphenyl)-7,11-diazatricyclo[7.3.1.02,7]trideca-2,4-dien-6-one","C25 H23 F N2 O3",2.41,418.17028,419.17756,20.199,"lysimeter_op_10y_140622","mz_cloud",7621874.88077259
727,"(1R,9S)-11-(4-Fluorobenzoyl)-5-(4-methoxyphenyl)-7,11-diazatricyclo[7.3.1.02,7]trideca-2,4-dien-6-one","C25 H23 F N2 O3",2.41,418.17028,419.17756,20.199,"lysimeter_op_10y_171222","mz_cloud",6157762.51718305
727,"(1R,9S)-11-(4-Fluorobenzoyl)-5-(4-methoxyphenyl)-7,11-diazatricyclo[7.3.1.02,7]trideca-2,4-dien-6-one","C25 H23 F N2 O3",2.41,418.17028,419.17756,20.199,"lysimeter_op_3_10y_171221","mz_cloud",6946030.63486055
727,"(1R,9S)-11-(4-Fluorobenzoyl)-5-(4-methoxyphenyl)-7,11-diazatricyclo[7.3.1.02,7]trideca-2,4-dien-6-one","C25 H23 F N2 O3",2.41,418.17028,419.17756,20.199,"lysimeter_op_3_10y_250122","mz_cloud",6605736.53326411
727,"(1R,9S)-11-(4-Fluorobenzoyl)-5-(4-methoxyphenyl)-7,11-diazatricyclo[7.3.1.02,7]trideca-2,4-dien-6-one","C25 H23 F N2 O3",2.41,418.17028,419.17756,20.199,"lysimeter_op_7104_250122","mz_cloud",6714863.80786084
727,"(1R,9S)-11-(4-Fluorobenzoyl)-5-(4-methoxyphenyl)-7,11-diazatricyclo[7.3.1.02,7]trideca-2,4-dien-6-one","C25 H23 F N2 O3",2.41,418.17028,419.17756,20.199,"thailand_sample_1","mz_cloud",5799058.67522232
727,"(1R,9S)-11-(4-Fluorobenzoyl)-5-(4-methoxyphenyl)-7,11-diazatricyclo[7.3.1.02,7]trideca-2,4-dien-6-one","C25 H23 F N2 O3",2.41,418.17028,419.17756,20.199,"thailand_sample_2","mz_cloud",5878042.31803888
727,"(1R,9S)-11-(4-Fluorobenzoyl)-5-(4-methoxyphenyl)-7,11-diazatricyclo[7.3.1.02,7]trideca-2,4-dien-6-one","C25 H23 F N2 O3",2.41,418.17028,419.17756,20.199,"thailand_sample_3","mz_cloud",5317265.76592556
727,"(1R,9S)-11-(4-Fluorobenzoyl)-5-(4-methoxyphenyl)-7,11-diazatricyclo[7.3.1.02,7]trideca-2,4-dien-6-one","C25 H23 F N2 O3",2.41,418.17028,419.17756,20.199,"thailand_sample_5","mz_cloud",6911030.38954166
727,"(1R,9S)-11-(4-Fluorobenzoyl)-5-(4-methoxyphenyl)-7,11-diazatricyclo[7.3.1.02,7]trideca-2,4-dien-6-one","C25 H23 F N2 O3",2.41,418.17028,419.17756,20.199,"thailand_sample_6","mz_cloud",6027914.65007053
727,"(1R,9S)-11-(4-Fluorobenzoyl)-5-(4-methoxyphenyl)-7,11-diazatricyclo[7.3.1.02,7]trideca-2,4-dien-6-one","C25 H23 F N2 O3",2.41,418.17028,419.17756,20.199,"thailand_sample_7","mz_cloud",5527322.57428903
727,"(1R,9S)-11-(4-Fluorobenzoyl)-5-(4-methoxyphenyl)-7,11-diazatricyclo[7.3.1.02,7]trideca-2,4-dien-6-one","C25 H23 F N2 O3",2.41,418.17028,419.17756,20.199,"thailand_sample_8","mz_cloud",6358334.03498438
2798,"(2-Nitro-1-propenyl)benzene","C9 H9 N O2",0.18,163.06336,164.07063,2.478,"landfill_eg_0_3y","kps_psychoactive_substances_v2",1256059.2792905
2798,"(2-Nitro-1-propenyl)benzene","C9 H9 N O2",0.18,163.06336,164.07063,2.478,"landfill_eg_3_10y","kps_psychoactive_substances_v2",2238273.50772596
3824,"(2-Nitro-1-propenyl)benzene","C9 H9 N O2",0.23,163.06337,164.07064,2.138,"landfill_op_y104","kps_psychoactive_substances_v2",899790.656607016
3008,"(2-Nitro-1-propenyl)benzene","C9 H9 N O2",0.08,163.06334,164.07061,1.306,"lysimeter_control_eg_140622","kps_psychoactive_substances_v2",132055.455129473
3708,"(2-Nitro-1-propenyl)benzene","C9 H9 N O2",0.21,163.06336,164.07064,3.363,"lysimeter_control_eg_171221","kps_psychoactive_substances_v2",1562977.62234517
3008,"(2-Nitro-1-propenyl)benzene","C9 H9 N O2",0.08,163.06334,164.07061,1.306,"lysimeter_control_op_171221","kps_psychoactive_substances_v2",821967.909737436
3008,"(2-Nitro-1-propenyl)benzene","C9 H9 N O2",0.08,163.06334,164.07061,1.306,"lysimeter_control_op_260122","kps_psychoactive_substances_v2",389061.892694958
