"peak_number","name","formula","annot_delta_mass_ppm","calc_mw","m_z","rt_min","mass_list_name","palapye wwtp surface water","kasane wwtp (main) surface water","kasane wwtp (overflow) surface water","maun wwtp (main) waste water","maun wwtp (overflow) surface water","palapye wwtp (eff) waste water","francistown wwtp surface water","ghanzi wwtp surface water","glen valley (reclamation) surface water","glen valley (recreational) surface water","kasane (recreational) surface water","maun beach (before) surface water","maun beach (after) surface water","lecheng stream surface water","lecheng spring surface water","lotsane dam surface water","kasane (main) surface water","mogobane dam surface water","maru-a-pula surface water"
1880,"(+)-2,5-Dimethoxyamphetamine","C11 H17 N O2",0.08,195.12594,196.13323,11.334,"kps_pharmaceuticals_oct22",3957015.33010283,NA,2608283.75512497,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1497,"(+)-2,5-Dimethoxyamphetamine","C11 H17 N O2",0.12,195.12595,196.13323,10.33,"kps_pharmaceuticals_oct22",NA,736189.987677405,NA,6138226.13014879,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1443,"(+)-2,5-Dimethoxyamphetamine","C11 H17 N O2",0.2,195.12597,196.13324,9.383,"kps_pharmaceuticals_oct22",NA,NA,NA,NA,6069308.03427755,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4919,"(+)-Taxifolin","C15 H12 O7",3.09,304.05924,305.06652,7.005,"kps_pharmaceuticals_oct22",1812777.88813363,NA,NA,NA,370112.62865267,1492786.05538931,809699.15169133,669641.826996539,1189865.31209213,400555.237221839,NA,NA,NA,NA,NA,NA,NA,NA,NA
1097,"(+-)-alminoprofen","C13 H17 N O2",0.51,219.12604,220.13332,4.64,"kps_pharmaceuticals_oct22",1921174.65339049,NA,NA,NA,NA,1866088.15210649,NA,NA,3375367.2590001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3594,"(+-)-alminoprofen","C13 H17 N O2",0.4,219.12602,220.13329,8.848,"kps_pharmaceuticals_oct22",NA,1490601.54432692,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1179,"(+-)-alminoprofen","C13 H17 N O2",0.53,219.12604,220.13332,7.213,"kps_pharmaceuticals_oct22",NA,NA,7339833.37405451,NA,NA,NA,NA,682250.007919269,NA,3633992.05578108,NA,NA,692500.353265573,NA,NA,NA,NA,NA,NA
7328,"(+-)-alminoprofen","C13 H17 N O2",0.44,219.12603,220.1333,17.753,"kps_pharmaceuticals_oct22",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,972451.314773273,NA,NA,NA,NA,NA,NA,NA,NA
3036,"(+-)-alminoprofen","C13 H17 N O2",0.41,219.12602,220.13329,6.833,"kps_pharmaceuticals_oct22",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,277365.067422186,NA,NA,NA,NA,NA,NA,NA
1076,"(+-)-alminoprofen","C13 H17 N O2",0.4,219.12602,220.13329,9.926,"kps_pharmaceuticals_oct22",NA,NA,NA,8137227.74330898,5201180.05939418,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3529,"(+/-)-3,4-(Methylenedioxy)amphetamine","C10 H13 N O2",0.32,179.09469,180.10196,14.005,"itn_kps",NA,NA,NA,NA,NA,NA,2700607.39017756,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2146,"(+/-)-3,4-(Methylenedioxy)amphetamine","C10 H13 N O2",0.32,179.09469,180.10197,2.217,"itn_kps",NA,NA,4216760.08550982,2854980.66148447,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1163,"(+/-)-3,4-(Methylenedioxy)amphetamine","C10 H13 N O2",0.36,179.09469,180.10197,4.416,"itn_kps",NA,NA,NA,NA,6389527.6833987,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6785,"(-)-Ifosfamide","C7 H15 Cl2 N2 O2 P",-0.47,260.0247,261.03198,8.03,"kps_pharmaceuticals_oct22",NA,NA,NA,NA,NA,NA,NA,273961.357441913,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
301,"(1R,9S)-11-(4-Fluorobenzoyl)-5-(4-methoxyphenyl)-7,11-diazatricyclo[7.3.1.02,7]trideca-2,4-dien-6-one","C25 H23 F N2 O3",2.37,418.17026,419.17754,19.459,"mz_cloud",NA,NA,NA,NA,NA,NA,NA,NA,4509737.96256554,4324141.42591958,NA,NA,453718.404149856,618469.698773351,NA,NA,1434034.86212866,254204.584211755,864378.249184736
416,"(1R,9S)-11-(4-Fluorobenzoyl)-5-(4-methoxyphenyl)-7,11-diazatricyclo[7.3.1.02,7]trideca-2,4-dien-6-one","C25 H23 F N2 O3",2.37,418.17026,419.17754,20.009,"mz_cloud",NA,2276728.35624669,NA,6662330.57260567,1822666.26018587,NA,NA,1328108.68755854,NA,NA,2414907.34259206,1673874.40797325,NA,NA,754906.990680159,964771.556474316,NA,NA,NA
1831,"(1S,2S,4aR,7R,8aR)-1-[(3Z)-5-hydroxy-3-methylpent-3-en-1-yl]-2,5,5,8a-tetramethyl-decahydronaphthalene-2,7-diol","C20 H36 O3",0.08,324.26647,347.25569,20.163,"mz_cloud",NA,5086807.64598585,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1902,"(2-Nitro-1-propenyl)benzene","C9 H9 N O2",0.21,163.06336,164.07064,7.933,"itn_cyp_metabolites",2757537.54296586,NA,NA,NA,NA,2783923.57763158,3951082.92068736,NA,1143057.87567194,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3151,"(2-Nitro-1-propenyl)benzene","C9 H9 N O2",-0.5,163.06325,164.07064,10.565,"itn_cyp_metabolites",NA,267748.835367732,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1015,"(2-Nitro-1-propenyl)benzene","C9 H9 N O2",0.2,163.06336,164.07064,5.86,"itn_cyp_metabolites",NA,NA,8304677.0270453,NA,442266.002039085,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3202,"(2-{[(1S,4S)-4-{3,5-Dimethyl-1-[4-(2-methyl-2-propanyl)phenyl]-1H-pyrazol-4-yl}-2-cyclopenten-1-yl]amino}-2-oxoethoxy)acetic acid","C24 H31 N3 O4",0.26,425.23157,426.23884,13.959,"mz_cloud",2883275.75256597,NA,NA,NA,NA,2362158.7749977,2739580.94883382,NA,955733.720059454,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2067,"(2E)-5-hydroxy-N-[3-(5-{3-[(2E)-5-hydroxy-3-methylpent-2-enamido]propyl}-3,6-dioxopiperazin-2-yl)propyl]-3-methylpent-2-enamide","C22 H36 N4 O6",-3,452.26213,475.25132,13.948,"mz_cloud",NA,NA,NA,NA,NA,NA,NA,NA,3436079.08790692,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3363,"(2E,4E)-N-(2-methylpropyl)deca-2,4-dienamide","C14 H25 N O",0.51,223.19373,224.201,7.489,"mz_cloud",2688395.36488621,NA,NA,NA,NA,2393501.24585806,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5410,"(2R)-1-(5-hydroxy-3-methylpentyl)-2,5,5,8a-tetramethyl-decahydronaphthalen-2-ol","C20 H38 O2",0.38,310.2873,333.27652,20.13,"mz_cloud",NA,NA,NA,1394947.66514915,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1620118.77595377,NA,NA
2520,"(2R)-N-[(2S)-1-Amino-3-cyclohexyl-1-oxo-2-propanyl]-1-(cyclohexylcarbonyl)-2-piperazinecarboxamide","C21 H36 N4 O3",-3.05,392.27754,415.26675,19.274,"mz_cloud",1353210.49330234,NA,NA,NA,NA,1240934.08213243,3825410.78803066,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3334,"(2S,3R,4S,5S,6R)-2-{[(2R,3R,4S,5S,6R)-4,5-dihydroxy-2-[(3-hydroxy-6-methylheptyl)oxy]-6-(hydroxymethyl)oxan-3-yl]oxy}-6-(hydroxymethyl)oxane-3,4,5-triol","C20 H38 O12",0.34,470.23649,493.22579,10.908,"mz_cloud",NA,NA,NA,NA,NA,NA,2858198.58598738,NA,NA,NA,NA,NA,1521777.60069243,NA,NA,NA,NA,NA,NA
1566,"(2S,8R)-8-hydroxy-2-[(1S)-1-hydroxyheptyl]-3,4,5,6,7,8-hexahydro-2H-1-benzopyran-5-one","C16 H26 O4",0.71,282.18331,305.17258,15.538,"mz_cloud",3828571.60838535,NA,NA,NA,NA,3331427.2714223,5869215.08347464,NA,2116112.21565238,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1319,"(3E)-3-(3-Oxo-1,3-dihydro-2H-indol-2-ylidene)-1,3-dihydro-2H-indol-2-one","C16 H10 N2 O2",0.43,262.07434,263.08162,13.018,"itn_kps",NA,709350.502926754,NA,NA,NA,NA,460778.59500333,NA,NA,1220801.44638632,NA,NA,NA,NA,NA,NA,NA,NA,NA
9585,"(3E)-3-(3-Oxo-1,3-dihydro-2H-indol-2-ylidene)-1,3-dihydro-2H-indol-2-one_BTM03005","C16 H10 N2 O3",-4.38,278.06792,279.0752,5.336,"itn_cyp_metabolites",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,193656.901129519,NA,NA,NA,NA,NA,NA,NA,169463.245003979
6830,"(4-Fluorophenyl){1-[(2-phenyl-1H-imidazol-4-yl)methyl]-4-piperidinyl}methanone","C22 H22 F N3 O",1.35,363.17518,364.18246,21.133,"mz_cloud",1121572.43686713,297626.190297916,204733.181009621,NA,324646.02162282,542833.949376336,388990.398790724,NA,201101.426208778,NA,NA,NA,NA,NA,377900.780724974,365209.476238501,225684.231432905,NA,NA
9429,"(4aR,7aS)-6-Isobutyl-4-(4-pyridinylmethyl)hexahydropyrrolo[3,4-b][1,4]oxazin-3(2H)-one","C16 H23 N3 O2",0.7,289.17923,290.18651,7.277,"mz_cloud",NA,296548.717386366,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
918,"(4aS,9aR)-2-Benzoyl-7-[2-(1H-imidazol-4-yl)ethyl]decahydro-6H-pyrido[3,4-d]azepin-6-one","C21 H26 N4 O2",-3.55,366.20428,389.19351,17.585,"mz_cloud",NA,NA,NA,NA,NA,NA,NA,NA,9344709.8432532,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
910,"(6-fluoro-4H-1,3-benzodioxin-8-yl)methyl N-[1-(6-methyl-3-pyridyl)ethylidene]aminomethanehydrazonothioate","C18 H19 F N4 O2 S",3.6,374.12262,375.1299,9.574,"mz_cloud",2336959.34923944,NA,NA,NA,NA,1392133.17494754,9130518.60940353,434739.116981028,669531.320953133,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8068,"(7E,13E)-11,12-Dihydroxy-3-isobutyl-4,5,8-trimethyl-3,3a,4,6a,9,10,11,12-octahydro-1H-cycloundeca[d]isoindole-1,15(2H)-dione","C24 H35 N O4",0.29,401.25672,402.26396,19.047,"mz_cloud",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,742692.048363868,NA,NA,NA,NA,NA,NA
