"peak_number","unique_id","name","formula","annot_source_predicted_compositions","annot_source_mz_cloud_search","annot_source_mass_list_search","annot_delta_mass_ppm","calc_mw","m_z","rt_min","area_max","number_mz_cloud_results","mz_cloud_best_match","mz_cloud_best_match_confidence","ms2","reference_ion","sample","group_area","peak_rating","replicate","sample_location","mass_list_name","mass_list_match"
2077,"11-Nor-9-carboxy-delta-9-tetrahydrocannabinol_19.107","11-Nor-9-carboxy-delta-9-tetrahydrocannabinol","C21 H28 O4","No match","Not the top hit","Full match",0.62,344.19897,345.20625,19.107,24111792.3993498,2,80.1,50.2,"DDA for preferred ion","[M+H]+1","13_digester1a",14846068.2126291,6.4,"1","digesterA","kps_cannabinoids","Multiple matches found"
2077,"11-Nor-9-carboxy-delta-9-tetrahydrocannabinol_19.107","11-Nor-9-carboxy-delta-9-tetrahydrocannabinol","C21 H28 O4","No match","Not the top hit","Full match",0.62,344.19897,345.20625,19.107,24111792.3993498,2,80.1,50.2,"DDA for preferred ion","[M+H]+1","14_digester1b",9780431.99831303,7.7,"2","digesterA","kps_cannabinoids","Multiple matches found"
1356,"11-Nor-9-carboxy-delta-9-tetrahydrocannabinol_19.256","11-Nor-9-carboxy-delta-9-tetrahydrocannabinol","C21 H28 O4","Not the top hit","Not the top hit","Full match",0.68,344.19899,345.20627,19.256,40362181.4455642,2,79.1,49.5,"DDA for preferred ion","[M+H]+1","19_digester4a",40362181.4455642,6.2,"1","digesterD","kps_cannabinoids","Multiple matches found"
1356,"11-Nor-9-carboxy-delta-9-tetrahydrocannabinol_19.256","11-Nor-9-carboxy-delta-9-tetrahydrocannabinol","C21 H28 O4","Not the top hit","Not the top hit","Full match",0.68,344.19899,345.20627,19.256,40362181.4455642,2,79.1,49.5,"DDA for preferred ion","[M+H]+1","20_digester4b",20441734.3559383,5.3,"2","digesterD","kps_cannabinoids","Multiple matches found"
3008,"11-Nor-9-carboxy-delta-9-tetrahydrocannabinol_19.608","11-Nor-9-carboxy-delta-9-tetrahydrocannabinol","C21 H28 O4","Full match","Partial match","Full match",0.47,344.19892,345.2062,19.608,14337299.3136892,2,78.7,74.2,"DDA for preferred ion","[M+H]+1","5_centrin_b",10410212.7353501,7.7,"2","centrin","kps_cannabinoids","Multiple matches found"
3008,"11-Nor-9-carboxy-delta-9-tetrahydrocannabinol_19.608","11-Nor-9-carboxy-delta-9-tetrahydrocannabinol","C21 H28 O4","Full match","Partial match","Full match",0.47,344.19892,345.2062,19.608,14337299.3136892,2,78.7,74.2,"DDA for preferred ion","[M+H]+1","6_centrin_c",10784108.2066802,6.6,"3","centrin","kps_cannabinoids","Multiple matches found"
3454,"11-Nor-9-carboxy-delta-9-tetrahydrocannabinol_21.046","11-Nor-9-carboxy-delta-9-tetrahydrocannabinol","C21 H28 O4","Not the top hit","Partial match","Full match",0.42,344.1989,345.20618,21.046,11401431.057054,2,78.1,73.8,"DDA for preferred ion","[M+H]+1","13_digester1a",2885887.45407659,8.2,"1","digesterA","kps_cannabinoids","Multiple matches found"
3454,"11-Nor-9-carboxy-delta-9-tetrahydrocannabinol_21.046","11-Nor-9-carboxy-delta-9-tetrahydrocannabinol","C21 H28 O4","Not the top hit","Partial match","Full match",0.42,344.1989,345.20618,21.046,11401431.057054,2,78.1,73.8,"DDA for preferred ion","[M+H]+1","14_digester1b",3599896.39109785,7.6,"2","digesterA","kps_cannabinoids","Multiple matches found"
3454,"11-Nor-9-carboxy-delta-9-tetrahydrocannabinol_21.046","11-Nor-9-carboxy-delta-9-tetrahydrocannabinol","C21 H28 O4","Not the top hit","Partial match","Full match",0.42,344.1989,345.20618,21.046,11401431.057054,2,78.1,73.8,"DDA for preferred ion","[M+H]+1","17_digester3a",5976654.31383282,8.5,"1","digesterC","kps_cannabinoids","Multiple matches found"
3454,"11-Nor-9-carboxy-delta-9-tetrahydrocannabinol_21.046","11-Nor-9-carboxy-delta-9-tetrahydrocannabinol","C21 H28 O4","Not the top hit","Partial match","Full match",0.42,344.1989,345.20618,21.046,11401431.057054,2,78.1,73.8,"DDA for preferred ion","[M+H]+1","18_digester3b",5908009.95396925,7.9,"2","digesterC","kps_cannabinoids","Multiple matches found"
