"peak_number","unique_id","name","formula","annot_source_predicted_compositions","annot_source_mz_cloud_search","annot_source_mass_list_search","annot_delta_mass_ppm","calc_mw","m_z","rt_min","area_max","number_mz_cloud_results","mz_cloud_best_match","mz_cloud_best_match_confidence","ms2","reference_ion","sample_location","group_area","peak_rating","mass_list_name","mass_list_match"
1,"PEG n8_8.98","PEG n8","C16 H34 O9","Not the top hit","Full match","No results",-0.58,370.22007,371.22734,8.98,4449273525.1311,1,99.6,98.9,"DDA for preferred ion","[M+H]+1","crh_fst1",765828.196099901,7.5,"mz_cloud","No matches found"
1,"PEG n8_8.98","PEG n8","C16 H34 O9","Not the top hit","Full match","No results",-0.58,370.22007,371.22734,8.98,4449273525.1311,1,99.6,98.9,"DDA for preferred ion","[M+H]+1","crh_fst1",765828.196099901,7.5,"mz_cloud","No matches found"
1,"PEG n8_8.98","PEG n8","C16 H34 O9","Not the top hit","Full match","No results",-0.58,370.22007,371.22734,8.98,4449273525.1311,1,99.6,98.9,"DDA for preferred ion","[M+H]+1","crh_fst1",765828.196099901,7.5,"mz_cloud","No matches found"
1,"PEG n8_8.98","PEG n8","C16 H34 O9","Not the top hit","Full match","No results",-0.58,370.22007,371.22734,8.98,4449273525.1311,1,99.6,98.9,"DDA for preferred ion","[M+H]+1","crh_fst2",745139.487097997,7.5,"mz_cloud","No matches found"
1,"PEG n8_8.98","PEG n8","C16 H34 O9","Not the top hit","Full match","No results",-0.58,370.22007,371.22734,8.98,4449273525.1311,1,99.6,98.9,"DDA for preferred ion","[M+H]+1","crh_fst2",745139.487097997,7.5,"mz_cloud","No matches found"
1,"PEG n8_8.98","PEG n8","C16 H34 O9","Not the top hit","Full match","No results",-0.58,370.22007,371.22734,8.98,4449273525.1311,1,99.6,98.9,"DDA for preferred ion","[M+H]+1","crh_fst2",745139.487097997,7.5,"mz_cloud","No matches found"
1,"PEG n8_8.98","PEG n8","C16 H34 O9","Not the top hit","Full match","No results",-0.58,370.22007,371.22734,8.98,4449273525.1311,1,99.6,98.9,"DDA for preferred ion","[M+H]+1","crh_fst3",720274.795364777,8,"mz_cloud","No matches found"
1,"PEG n8_8.98","PEG n8","C16 H34 O9","Not the top hit","Full match","No results",-0.58,370.22007,371.22734,8.98,4449273525.1311,1,99.6,98.9,"DDA for preferred ion","[M+H]+1","crh_fst3",720274.795364777,8,"mz_cloud","No matches found"
1,"PEG n8_8.98","PEG n8","C16 H34 O9","Not the top hit","Full match","No results",-0.58,370.22007,371.22734,8.98,4449273525.1311,1,99.6,98.9,"DDA for preferred ion","[M+H]+1","crh_fst3",720274.795364777,8,"mz_cloud","No matches found"
1,"PEG n8_8.98","PEG n8","C16 H34 O9","Not the top hit","Full match","No results",-0.58,370.22007,371.22734,8.98,4449273525.1311,1,99.6,98.9,"DDA for preferred ion","[M+H]+1","crh_fst4",908994.560358047,5.3,"mz_cloud","No matches found"
1,"PEG n8_8.98","PEG n8","C16 H34 O9","Not the top hit","Full match","No results",-0.58,370.22007,371.22734,8.98,4449273525.1311,1,99.6,98.9,"DDA for preferred ion","[M+H]+1","crh_fst4",908994.560358047,5.3,"mz_cloud","No matches found"
1,"PEG n8_8.98","PEG n8","C16 H34 O9","Not the top hit","Full match","No results",-0.58,370.22007,371.22734,8.98,4449273525.1311,1,99.6,98.9,"DDA for preferred ion","[M+H]+1","crh_fst4",908994.560358047,5.3,"mz_cloud","No matches found"
1,"PEG n8_8.98","PEG n8","C16 H34 O9","Not the top hit","Full match","No results",-0.58,370.22007,371.22734,8.98,4449273525.1311,1,99.6,98.9,"DDA for preferred ion","[M+H]+1","crh_fst5",1248617.0380725,5.3,"mz_cloud","No matches found"
1,"PEG n8_8.98","PEG n8","C16 H34 O9","Not the top hit","Full match","No results",-0.58,370.22007,371.22734,8.98,4449273525.1311,1,99.6,98.9,"DDA for preferred ion","[M+H]+1","crh_fst5",1248617.0380725,5.3,"mz_cloud","No matches found"
1,"PEG n8_8.98","PEG n8","C16 H34 O9","Not the top hit","Full match","No results",-0.58,370.22007,371.22734,8.98,4449273525.1311,1,99.6,98.9,"DDA for preferred ion","[M+H]+1","crh_fst5",1248617.0380725,5.3,"mz_cloud","No matches found"
1,"PEG n8_8.98","PEG n8","C16 H34 O9","Not the top hit","Full match","No results",-0.58,370.22007,371.22734,8.98,4449273525.1311,1,99.6,98.9,"DDA for preferred ion","[M+H]+1","crh_inlet",2974486.56398672,8.4,"mz_cloud","No matches found"
1,"PEG n8_8.98","PEG n8","C16 H34 O9","Not the top hit","Full match","No results",-0.58,370.22007,371.22734,8.98,4449273525.1311,1,99.6,98.9,"DDA for preferred ion","[M+H]+1","crh_inlet",2974486.56398672,8.4,"mz_cloud","No matches found"
1,"PEG n8_8.98","PEG n8","C16 H34 O9","Not the top hit","Full match","No results",-0.58,370.22007,371.22734,8.98,4449273525.1311,1,99.6,98.9,"DDA for preferred ion","[M+H]+1","crh_inlet",2974486.56398672,8.4,"mz_cloud","No matches found"
1,"PEG n8_8.98","PEG n8","C16 H34 O9","Not the top hit","Full match","No results",-0.58,370.22007,371.22734,8.98,4449273525.1311,1,99.6,98.9,"DDA for preferred ion","[M+H]+1","landfill_eg_0_3y",1084786.79726545,8,"mz_cloud","No matches found"
1,"PEG n8_8.98","PEG n8","C16 H34 O9","Not the top hit","Full match","No results",-0.58,370.22007,371.22734,8.98,4449273525.1311,1,99.6,98.9,"DDA for preferred ion","[M+H]+1","landfill_eg_0_3y",1084786.79726545,8,"mz_cloud","No matches found"
1,"PEG n8_8.98","PEG n8","C16 H34 O9","Not the top hit","Full match","No results",-0.58,370.22007,371.22734,8.98,4449273525.1311,1,99.6,98.9,"DDA for preferred ion","[M+H]+1","landfill_eg_0_3y",1084786.79726545,8,"mz_cloud","No matches found"
