"peak_number","name","formula","annot_source_predicted_compositions","annot_source_mz_cloud_search","annot_source_mass_list_search","annot_delta_mass_ppm","calc_mw","m_z","rt_min","area_max","number_mz_cloud_results","mz_cloud_best_match","mz_cloud_best_match_confidence","ms2","reference_ion","sample","group_area","peak_rating","replicate","sample_location","mass_list_name","mass_list_match"
6785,"(-)-Ifosfamide","C7 H15 Cl2 N2 O2 P","No match","Not the top hit","Full match",-0.47,260.0247,261.03198,8.03,1136146.68434978,4,83.5,9.2,"DDA for preferred ion","[M+H]+1","sc16_1",273961.357441913,6.8,"1","sc16","kps_pharmaceuticals_oct22","Single match found"
6785,"(-)-Ifosfamide","C7 H15 Cl2 N2 O2 P","No match","Not the top hit","Full match",-0.47,260.0247,261.03198,8.03,1136146.68434978,4,83.5,9.2,"DDA for preferred ion","[M+H]+1","sc16_2",309227.767603291,6.3,"2","sc16","kps_pharmaceuticals_oct22","Single match found"
1097,"(+-)-alminoprofen","C13 H17 N O2","Full match","Partial match","Full match",0.51,219.12604,220.13332,4.64,7979875.42679937,2,81.2,9.1,"DDA for preferred ion","[M+H]+1","sc003_1",1866088.15210649,5.1,"1","sc003","kps_pharmaceuticals_oct22","Single match found"
1097,"(+-)-alminoprofen","C13 H17 N O2","Full match","Partial match","Full match",0.51,219.12604,220.13332,4.64,7979875.42679937,2,81.2,9.1,"DDA for preferred ion","[M+H]+1","sc003_2",1665842.64171194,5.7,"2","sc003","kps_pharmaceuticals_oct22","Single match found"
4146,"(+-)-alminoprofen","C13 H17 N O2","Full match","Partial match","Full match",0.39,219.12601,220.13329,11.169,2287318.92996559,2,78.1,8.9,"DDA for preferred ion","[M+H]+1","sc003_2",522680.842749997,6.1,"2","sc003","kps_pharmaceuticals_oct22","Single match found"
1097,"(+-)-alminoprofen","C13 H17 N O2","Full match","Partial match","Full match",0.51,219.12604,220.13332,4.64,7979875.42679937,2,81.2,9.1,"DDA for preferred ion","[M+H]+1","sc004_1",1921174.65339049,5.1,"1","sc004","kps_pharmaceuticals_oct22","Single match found"
4146,"(+-)-alminoprofen","C13 H17 N O2","Full match","Partial match","Full match",0.39,219.12601,220.13329,11.169,2287318.92996559,2,78.1,8.9,"DDA for preferred ion","[M+H]+1","sc004_2",765439.478032036,8.6,"2","sc004","kps_pharmaceuticals_oct22","Single match found"
3594,"(+-)-alminoprofen","C13 H17 N O2","Full match","Partial match","Full match",0.4,219.12602,220.13329,8.848,2656512.25988885,2,76.6,8.8,"DDA for preferred ion","[M+H]+1","sc008_1",1490601.54432692,5.3,"1","sc008","kps_pharmaceuticals_oct22","Single match found"
7328,"(+-)-alminoprofen","C13 H17 N O2","Not the top hit","No results","Full match",0.44,219.12603,220.1333,17.753,972451.314773273,0,NA,NA,"DDA for preferred ion","[M+H]+1","sc008_1",818482.121785412,5.9,"1","sc008","kps_pharmaceuticals_oct22","Single match found"
7328,"(+-)-alminoprofen","C13 H17 N O2","Not the top hit","No results","Full match",0.44,219.12603,220.1333,17.753,972451.314773273,0,NA,NA,"DDA for preferred ion","[M+H]+1","sc008_2",845726.043435472,7,"2","sc008","kps_pharmaceuticals_oct22","Single match found"
