"peak_number","name","formula","annot_source_predicted_compositions","annot_source_mz_cloud_search","annot_source_mass_list_search","annot_delta_mass_ppm","calc_mw","m_z","rt_min","area_max","number_mz_cloud_results","mz_cloud_best_match","mz_cloud_best_match_confidence","ms2","reference_ion","sample_location","group_area","peak_rating","mass_list_name","mass_list_match"
9,"Deferoxamine","C25 H48 N6 O8","Full match","No results","Full match",-2.77,560.35181,561.35909,10.492,394259272.033369,0,NA,NA,"DDA for preferred ion","[M+H]+1","landfill_eg_y104",90945705.2935766,7.3,"kps_pharmaceuticals_oct22","Single match found"
9,"Deferoxamine","C25 H48 N6 O8","Full match","No results","Full match",-2.77,560.35181,561.35909,10.492,394259272.033369,0,NA,NA,"DDA for preferred ion","[M+H]+1","landfill_op_y104",34088026.7712221,9.5,"kps_pharmaceuticals_oct22","Single match found"
9,"Deferoxamine","C25 H48 N6 O8","Full match","No results","Full match",-2.77,560.35181,561.35909,10.492,394259272.033369,0,NA,NA,"DDA for preferred ion","[M+H]+1","lysimeter_control_eg_140622",112530626.321451,8.4,"kps_pharmaceuticals_oct22","Single match found"
9,"Deferoxamine","C25 H48 N6 O8","Full match","No results","Full match",-2.77,560.35181,561.35909,10.492,394259272.033369,0,NA,NA,"DDA for preferred ion","[M+H]+1","lysimeter_control_eg_171221",154741.415536238,6.8,"kps_pharmaceuticals_oct22","Single match found"
9,"Deferoxamine","C25 H48 N6 O8","Full match","No results","Full match",-2.77,560.35181,561.35909,10.492,394259272.033369,0,NA,NA,"DDA for preferred ion","[M+H]+1","lysimeter_control_eg_250122",104951861.567324,8.4,"kps_pharmaceuticals_oct22","Single match found"
9,"Deferoxamine","C25 H48 N6 O8","Full match","No results","Full match",-2.77,560.35181,561.35909,10.492,394259272.033369,0,NA,NA,"DDA for preferred ion","[M+H]+1","lysimeter_control_op_140622",120146158.835752,9.5,"kps_pharmaceuticals_oct22","Single match found"
9,"Deferoxamine","C25 H48 N6 O8","Full match","No results","Full match",-2.77,560.35181,561.35909,10.492,394259272.033369,0,NA,NA,"DDA for preferred ion","[M+H]+1","lysimeter_control_op_171221",106257976.149031,5.7,"kps_pharmaceuticals_oct22","Single match found"
9,"Deferoxamine","C25 H48 N6 O8","Full match","No results","Full match",-2.77,560.35181,561.35909,10.492,394259272.033369,0,NA,NA,"DDA for preferred ion","[M+H]+1","lysimeter_control_op_260122",95023831.6473373,9.5,"kps_pharmaceuticals_oct22","Single match found"
9,"Deferoxamine","C25 H48 N6 O8","Full match","No results","Full match",-2.77,560.35181,561.35909,10.492,394259272.033369,0,NA,NA,"DDA for preferred ion","[M+H]+1","lysimeter_eg_0_3y_14062022",60387371.9839751,9.5,"kps_pharmaceuticals_oct22","Single match found"
9,"Deferoxamine","C25 H48 N6 O8","Full match","No results","Full match",-2.77,560.35181,561.35909,10.492,394259272.033369,0,NA,NA,"DDA for preferred ion","[M+H]+1","lysimeter_eg_03y_250122",82350692.9199794,9.5,"kps_pharmaceuticals_oct22","Single match found"
9,"Deferoxamine","C25 H48 N6 O8","Full match","No results","Full match",-2.77,560.35181,561.35909,10.492,394259272.033369,0,NA,NA,"DDA for preferred ion","[M+H]+1","lysimeter_eg_3_10y_171221",112770.493308466,7.6,"kps_pharmaceuticals_oct22","Single match found"
9,"Deferoxamine","C25 H48 N6 O8","Full match","No results","Full match",-2.77,560.35181,561.35909,10.492,394259272.033369,0,NA,NA,"DDA for preferred ion","[M+H]+1","lysimeter_eg3_104_140622",117315410.957475,8.4,"kps_pharmaceuticals_oct22","Single match found"
9,"Deferoxamine","C25 H48 N6 O8","Full match","No results","Full match",-2.77,560.35181,561.35909,10.492,394259272.033369,0,NA,NA,"DDA for preferred ion","[M+H]+1","lysimeter_eg3_104_250122",155049573.504197,9.5,"kps_pharmaceuticals_oct22","Single match found"
9,"Deferoxamine","C25 H48 N6 O8","Full match","No results","Full match",-2.77,560.35181,561.35909,10.492,394259272.033369,0,NA,NA,"DDA for preferred ion","[M+H]+1","lysimeter_eg3_104_250122_20221003231510",69511375.2875762,10,"kps_pharmaceuticals_oct22","Single match found"
9,"Deferoxamine","C25 H48 N6 O8","Full match","No results","Full match",-2.77,560.35181,561.35909,10.492,394259272.033369,0,NA,NA,"DDA for preferred ion","[M+H]+1","lysimeter_eg104_140622",155824145.668608,7.8,"kps_pharmaceuticals_oct22","Single match found"
9,"Deferoxamine","C25 H48 N6 O8","Full match","No results","Full match",-2.77,560.35181,561.35909,10.492,394259272.033369,0,NA,NA,"DDA for preferred ion","[M+H]+1","lysimeter_op_0_3y_171221",56388168.6683877,8.4,"kps_pharmaceuticals_oct22","Single match found"
9,"Deferoxamine","C25 H48 N6 O8","Full match","No results","Full match",-2.77,560.35181,561.35909,10.492,394259272.033369,0,NA,NA,"DDA for preferred ion","[M+H]+1","lysimeter_op_0_3y_250122",115588838.166834,8.9,"kps_pharmaceuticals_oct22","Single match found"
9,"Deferoxamine","C25 H48 N6 O8","Full match","No results","Full match",-2.77,560.35181,561.35909,10.492,394259272.033369,0,NA,NA,"DDA for preferred ion","[M+H]+1","lysimeter_op_3_10y_171221",79718487.9818386,7.3,"kps_pharmaceuticals_oct22","Single match found"
9,"Deferoxamine","C25 H48 N6 O8","Full match","No results","Full match",-2.77,560.35181,561.35909,10.492,394259272.033369,0,NA,NA,"DDA for preferred ion","[M+H]+1","lysimeter_op_10y_140622",110558336.450068,9.5,"kps_pharmaceuticals_oct22","Single match found"
9,"Deferoxamine","C25 H48 N6 O8","Full match","No results","Full match",-2.77,560.35181,561.35909,10.492,394259272.033369,0,NA,NA,"DDA for preferred ion","[M+H]+1","lysimeter_op_10y_171222",15037420.6197665,6.7,"kps_pharmaceuticals_oct22","Single match found"
9,"Deferoxamine","C25 H48 N6 O8","Full match","No results","Full match",-2.77,560.35181,561.35909,10.492,394259272.033369,0,NA,NA,"DDA for preferred ion","[M+H]+1","lysimeter_op0_34_140622",132938855.062092,8.4,"kps_pharmaceuticals_oct22","Single match found"
9,"Deferoxamine","C25 H48 N6 O8","Full match","No results","Full match",-2.77,560.35181,561.35909,10.492,394259272.033369,0,NA,NA,"DDA for preferred ion","[M+H]+1","lysimeter_op3_104_140622",119101256.31956,8.4,"kps_pharmaceuticals_oct22","Single match found"
