"peak_number","unique_id","name","formula","annot_source_predicted_compositions","annot_source_mz_cloud_search","annot_source_mass_list_search","annot_delta_mass_ppm","calc_mw","m_z","rt_min","area_max","number_mz_cloud_results","mz_cloud_best_match","mz_cloud_best_match_confidence","ms2","reference_ion","sample","group_area","peak_rating","replicate","sample_location","mass_list_name","mass_list_match"
3151,"(2-Nitro-1-propenyl)benzene_10.565","(2-Nitro-1-propenyl)benzene","C9 H9 N O2","Full match","No results","Full match",-0.5,163.06325,164.07064,10.565,3031195.0121881,0,NA,NA,"DDA for preferred ion","[M+H]+1","sc007_1",3031195.0121881,6.2,"1","sc007","itn_cyp_metabolites","Single match found"
3151,"(2-Nitro-1-propenyl)benzene_10.565","(2-Nitro-1-propenyl)benzene","C9 H9 N O2","Full match","No results","Full match",-0.5,163.06325,164.07064,10.565,3031195.0121881,0,NA,NA,"DDA for preferred ion","[M+H]+1","sc007_2",2852207.19540927,7.8,"2","sc007","itn_cyp_metabolites","Single match found"
3151,"(2-Nitro-1-propenyl)benzene_10.565","(2-Nitro-1-propenyl)benzene","C9 H9 N O2","Full match","No results","Full match",-0.5,163.06325,164.07064,10.565,3031195.0121881,0,NA,NA,"DDA for preferred ion","[M+H]+1","sc008_1",267748.835367732,6.8,"1","sc008","itn_cyp_metabolites","Single match found"
3151,"(2-Nitro-1-propenyl)benzene_10.565","(2-Nitro-1-propenyl)benzene","C9 H9 N O2","Full match","No results","Full match",-0.5,163.06325,164.07064,10.565,3031195.0121881,0,NA,NA,"DDA for preferred ion","[M+H]+1","sc008_2",283056.968635703,5.2,"2","sc008","itn_cyp_metabolites","Single match found"
3336,"(2-Nitro-1-propenyl)benzene_10.713","(2-Nitro-1-propenyl)benzene","C9 H9 N O2","Full match","No results","Full match",0.24,163.06337,164.07065,10.713,2857343.23445736,0,NA,NA,"DDA for preferred ion","[M+H]+1","sc007_1",2710888.3830019,7.3,"1","sc007","itn_cyp_metabolites","Single match found"
3336,"(2-Nitro-1-propenyl)benzene_10.713","(2-Nitro-1-propenyl)benzene","C9 H9 N O2","Full match","No results","Full match",0.24,163.06337,164.07065,10.713,2857343.23445736,0,NA,NA,"DDA for preferred ion","[M+H]+1","sc007_2",2857343.23445736,7.3,"2","sc007","itn_cyp_metabolites","Single match found"
4079,"(2-Nitro-1-propenyl)benzene_11.916","(2-Nitro-1-propenyl)benzene","C9 H9 N O2","Full match","No results","Full match",0.13,163.06335,164.07063,11.916,2327276.56372743,0,NA,NA,"DDA for preferred ion","[M+H]+1","sc007_1",2044808.40532014,8.4,"1","sc007","itn_cyp_metabolites","Single match found"
4079,"(2-Nitro-1-propenyl)benzene_11.916","(2-Nitro-1-propenyl)benzene","C9 H9 N O2","Full match","No results","Full match",0.13,163.06335,164.07063,11.916,2327276.56372743,0,NA,NA,"DDA for preferred ion","[M+H]+1","sc007_2",2327276.56372743,6.2,"2","sc007","itn_cyp_metabolites","Single match found"
3700,"(2-Nitro-1-propenyl)benzene_12.046","(2-Nitro-1-propenyl)benzene","C9 H9 N O2","Full match","No results","Full match",0.19,163.06336,164.07064,12.046,2584883.96012489,0,NA,NA,"DDA for preferred ion","[M+H]+1","sc008_1",955423.430744617,5.3,"1","sc008","itn_cyp_metabolites","Single match found"
3700,"(2-Nitro-1-propenyl)benzene_12.046","(2-Nitro-1-propenyl)benzene","C9 H9 N O2","Full match","No results","Full match",0.19,163.06336,164.07064,12.046,2584883.96012489,0,NA,NA,"DDA for preferred ion","[M+H]+1","sc008_2",1338831.75379134,5.3,"2","sc008","itn_cyp_metabolites","Single match found"
1015,"(2-Nitro-1-propenyl)benzene_5.86","(2-Nitro-1-propenyl)benzene","C9 H9 N O2","Full match","No results","Full match",0.2,163.06336,164.07064,5.86,8570959.40624703,0,NA,NA,"DDA for preferred ion","[M+H]+1","sc009_1",8304677.0270453,8.4,"1","sc009","itn_cyp_metabolites","Single match found"
1015,"(2-Nitro-1-propenyl)benzene_5.86","(2-Nitro-1-propenyl)benzene","C9 H9 N O2","Full match","No results","Full match",0.2,163.06336,164.07064,5.86,8570959.40624703,0,NA,NA,"DDA for preferred ion","[M+H]+1","sc009_2",8570959.40624703,8.4,"2","sc009","itn_cyp_metabolites","Single match found"
2222,"(2-Nitro-1-propenyl)benzene_6.745","(2-Nitro-1-propenyl)benzene","C9 H9 N O2","Full match","No results","Full match",0.23,163.06337,164.07064,6.745,4307984.41533685,0,NA,NA,"DDA for preferred ion","[M+H]+1","sc003_1",2252300.57544968,5.7,"1","sc003","itn_cyp_metabolites","Single match found"
2222,"(2-Nitro-1-propenyl)benzene_6.745","(2-Nitro-1-propenyl)benzene","C9 H9 N O2","Full match","No results","Full match",0.23,163.06337,164.07064,6.745,4307984.41533685,0,NA,NA,"DDA for preferred ion","[M+H]+1","sc003_2",2056277.85780557,6.2,"2","sc003","itn_cyp_metabolites","Single match found"
2222,"(2-Nitro-1-propenyl)benzene_6.745","(2-Nitro-1-propenyl)benzene","C9 H9 N O2","Full match","No results","Full match",0.23,163.06337,164.07064,6.745,4307984.41533685,0,NA,NA,"DDA for preferred ion","[M+H]+1","sc007_1",4307984.41533685,6.7,"1","sc007","itn_cyp_metabolites","Single match found"
2222,"(2-Nitro-1-propenyl)benzene_6.745","(2-Nitro-1-propenyl)benzene","C9 H9 N O2","Full match","No results","Full match",0.23,163.06337,164.07064,6.745,4307984.41533685,0,NA,NA,"DDA for preferred ion","[M+H]+1","sc007_2",4188871.42594701,5.7,"2","sc007","itn_cyp_metabolites","Single match found"
1902,"(2-Nitro-1-propenyl)benzene_7.933","(2-Nitro-1-propenyl)benzene","C9 H9 N O2","Full match","No results","Full match",0.21,163.06336,164.07064,7.933,4963925.30407342,0,NA,NA,"DDA for preferred ion","[M+H]+1","sc003_1",2783923.57763158,6.2,"1","sc003","itn_cyp_metabolites","Single match found"
1902,"(2-Nitro-1-propenyl)benzene_7.933","(2-Nitro-1-propenyl)benzene","C9 H9 N O2","Full match","No results","Full match",0.21,163.06336,164.07064,7.933,4963925.30407342,0,NA,NA,"DDA for preferred ion","[M+H]+1","sc003_2",2406090.53146772,7.8,"2","sc003","itn_cyp_metabolites","Single match found"
1902,"(2-Nitro-1-propenyl)benzene_7.933","(2-Nitro-1-propenyl)benzene","C9 H9 N O2","Full match","No results","Full match",0.21,163.06336,164.07064,7.933,4963925.30407342,0,NA,NA,"DDA for preferred ion","[M+H]+1","sc007_1",3951082.92068736,9.5,"1","sc007","itn_cyp_metabolites","Single match found"
