"peak_number","unique_id","name","formula","annot_source_predicted_compositions","annot_source_mz_cloud_search","annot_source_mass_list_search","annot_delta_mass_ppm","calc_mw","m_z","rt_min","area_max","number_mz_cloud_results","mz_cloud_best_match","mz_cloud_best_match_confidence","ms2","reference_ion","sample","group_area","peak_rating","replicate","sample_location","mass_list_name","mass_list_match"
327,"4-Epianhydrotetracycline_18.118","4-Epianhydrotetracycline","C22 H22 N2 O7","Not the top hit","Not the top hit","Full match",0,426.1427,427.14998,18.118,152896979.60441,2,78.6,74.1,"DDA for preferred ion","[M+H]+1","15_digester2a",109114161.969796,6.2,"1","digesterB","itn_kps","Single match found"
327,"4-Epianhydrotetracycline_18.118","4-Epianhydrotetracycline","C22 H22 N2 O7","Not the top hit","Not the top hit","Full match",0,426.1427,427.14998,18.118,152896979.60441,2,78.6,74.1,"DDA for preferred ion","[M+H]+1","16_digester2b",152896979.60441,6.7,"2","digesterB","itn_kps","Single match found"
1227,"8-Hydroxychinolin_10.523","8-Hydroxychinolin","C9 H7 N O","Full match","Partial match","Full match",0.33,145.05281,146.06009,10.523,45002287.019782,3,92.7,9.6,"DDA for preferred ion","[M+H]+1","7_newdry_a",16530920.0213353,5.3,"1","newdry","itn_kps","Single match found"
1227,"8-Hydroxychinolin_10.523","8-Hydroxychinolin","C9 H7 N O","Full match","Partial match","Full match",0.33,145.05281,146.06009,10.523,45002287.019782,3,92.7,9.6,"DDA for preferred ion","[M+H]+1","9_newdry_c",29273902.6471398,5.9,"3","newdry","itn_kps","Single match found"
814,"8-Hydroxychinolin_11.007","8-Hydroxychinolin","C9 H7 N O","Full match","Partial match","Full match",0.33,145.05281,146.06009,11.007,67172276.939106,3,90.8,58.8,"DDA for preferred ion","[M+H]+1","4_centrin_a",20767185.0303922,7,"1","centrin","itn_kps","Single match found"
814,"8-Hydroxychinolin_11.007","8-Hydroxychinolin","C9 H7 N O","Full match","Partial match","Full match",0.33,145.05281,146.06009,11.007,67172276.939106,3,90.8,58.8,"DDA for preferred ion","[M+H]+1","5_centrin_b",16530110.9559188,6.4,"2","centrin","itn_kps","Single match found"
814,"8-Hydroxychinolin_11.007","8-Hydroxychinolin","C9 H7 N O","Full match","Partial match","Full match",0.33,145.05281,146.06009,11.007,67172276.939106,3,90.8,58.8,"DDA for preferred ion","[M+H]+1","6_centrin_c",14320859.8418189,6.1,"3","centrin","itn_kps","Single match found"
814,"8-Hydroxychinolin_11.007","8-Hydroxychinolin","C9 H7 N O","Full match","Partial match","Full match",0.33,145.05281,146.06009,11.007,67172276.939106,3,90.8,58.8,"DDA for preferred ion","[M+H]+1","17_digester3a",20298698.331247,7,"1","digesterC","itn_kps","Single match found"
814,"8-Hydroxychinolin_11.007","8-Hydroxychinolin","C9 H7 N O","Full match","Partial match","Full match",0.33,145.05281,146.06009,11.007,67172276.939106,3,90.8,58.8,"DDA for preferred ion","[M+H]+1","18_digester3b",19603382.4482657,6.4,"2","digesterC","itn_kps","Single match found"
814,"8-Hydroxychinolin_11.007","8-Hydroxychinolin","C9 H7 N O","Full match","Partial match","Full match",0.33,145.05281,146.06009,11.007,67172276.939106,3,90.8,58.8,"DDA for preferred ion","[M+H]+1","19_digester4a",45967437.3116095,5.1,"1","digesterD","itn_kps","Single match found"
