"peak_number","unique_id","name","formula","annot_source_predicted_compositions","annot_source_mz_cloud_search","annot_source_mass_list_search","annot_delta_mass_ppm","calc_mw","m_z","rt_min","area_max","number_mz_cloud_results","mz_cloud_best_match","mz_cloud_best_match_confidence","ms2","reference_ion","sample","group_area","peak_rating","mass_list_name","mass_list_match"
13,"Actinobolin_8.373","Actinobolin","C13 H20 N2 O6","Not the top hit","No results","Full match",4.78,300.13357,301.14085,8.373,237467940.453589,0,NA,NA,"DDA for preferred ion","[M+H]+1","sc003_1",65040175.0873418,7.8,"itn_kps","Single match found"
13,"Actinobolin_8.373","Actinobolin","C13 H20 N2 O6","Not the top hit","No results","Full match",4.78,300.13357,301.14085,8.373,237467940.453589,0,NA,NA,"DDA for preferred ion","[M+H]+1","sc003_2",66843445.3955735,8.4,"itn_kps","Single match found"
13,"Actinobolin_8.373","Actinobolin","C13 H20 N2 O6","Not the top hit","No results","Full match",4.78,300.13357,301.14085,8.373,237467940.453589,0,NA,NA,"DDA for preferred ion","[M+H]+1","sc007_1",237467940.453589,8.4,"itn_kps","Single match found"
13,"Actinobolin_8.373","Actinobolin","C13 H20 N2 O6","Not the top hit","No results","Full match",4.78,300.13357,301.14085,8.373,237467940.453589,0,NA,NA,"DDA for preferred ion","[M+H]+1","sc007_2",236297600.871158,8.4,"itn_kps","Single match found"
13,"Actinobolin_8.373","Actinobolin","C13 H20 N2 O6","Not the top hit","No results","Full match",4.78,300.13357,301.14085,8.373,237467940.453589,0,NA,NA,"DDA for preferred ion","[M+H]+1","sc008_1",9620383.1102905,8.4,"itn_kps","Single match found"
13,"Actinobolin_8.373","Actinobolin","C13 H20 N2 O6","Not the top hit","No results","Full match",4.78,300.13357,301.14085,8.373,237467940.453589,0,NA,NA,"DDA for preferred ion","[M+H]+1","sc008_2",9480883.32595018,9.5,"itn_kps","Single match found"
13,"Actinobolin_8.373","Actinobolin","C13 H20 N2 O6","Not the top hit","No results","Full match",4.78,300.13357,301.14085,8.373,237467940.453589,0,NA,NA,"DDA for preferred ion","[M+H]+1","sc020_1",52513958.5605478,7.8,"itn_kps","Single match found"
13,"Actinobolin_8.373","Actinobolin","C13 H20 N2 O6","Not the top hit","No results","Full match",4.78,300.13357,301.14085,8.373,237467940.453589,0,NA,NA,"DDA for preferred ion","[M+H]+1","sc020_2",51852049.9582724,8.4,"itn_kps","Single match found"
63,"Sulfamethoxazole_8.845","Sulfamethoxazole","C10 H11 N3 O3 S","Not the top hit","Full match","Full match",0.24,253.05217,254.05946,8.845,70021956.6721053,2,96.8,92.8,"DDA for preferred ion","[M+H]+1","qc15x",315689.930507353,5.2,"itn_kps","Single match found"
63,"Sulfamethoxazole_8.845","Sulfamethoxazole","C10 H11 N3 O3 S","Not the top hit","Full match","Full match",0.24,253.05217,254.05946,8.845,70021956.6721053,2,96.8,92.8,"DDA for preferred ion","[M+H]+1","sc003_1",7201919.75879883,8.4,"itn_kps","Single match found"
