"name","sample_location","mean_area"
"(+)-CP 47,497","digesterD",16850645.3923474
"(+)-ar-Turmerone","feedpump",873961.990276285
"(+)-ar-Turmerone","newdry",7665758.43177334
"(+)-ar-Turmerone","olddry",9092032.20033231
"(+/-)-C75","control",36182090.2065066
"(+/-)-C75","feedpump",40336931.476399
"(+/-)-C75","mix",87434451.856127
"(+/-)-CP 47,497-C7-Hydroxy metabolite","centrin",9335300.13952208
"(+/-)-CP 47,497-C7-Hydroxy metabolite","control",7626064.47894854
"(+/-)-CP 47,497-C7-Hydroxy metabolite","feedpump",66000402.6526508
"(+/-)-CP 47,497-C7-Hydroxy metabolite","mix",27970734.6307191
"(+/-)-CP 47,497-C7-Hydroxy metabolite","newdry",6235023.91434485
"(+/-)-CP 47,497-C7-Hydroxy metabolite","olddry",5263578.13626202
"(+/-)-CP 47,497-C8-Homolog","control",33149872.395785
"(+/-)-CP 47,497-C8-Homolog","feedpump",33393807.7046906
"(+/-)-CP 47,497-C8-Homolog","mix",124821198.979606
"(+/-)-Cannabichromeorcin","centrin",9036076.27022827
"(+/-)-Cannabichromeorcin","control",3065459.48359287
"(+/-)-Cannabichromeorcin","feedpump",10410129.9194116
"(+/-)-Cannabichromeorcin","mix",100842140.265437
"(+/-)-Cannabichromeorcin","newdry",5098514.27392205
"(+/-)-Cannabichromeorcin","olddry",5938941.08223925
"(+/-)-threo-Isopropylphenidate","mix",20749585.5738975
"(+/-)-threo-Methylnaphthidate","mix",1821162.85371578
"(+/-)12(13)-DiHOME","centrin",37619895.9776585
"(+/-)12(13)-DiHOME","digesterA",22486943.0428088
"(+/-)12(13)-DiHOME","digesterB",17164214.1158798
"(+/-)12(13)-DiHOME","digesterC",37402753.5193131
"(+/-)12(13)-DiHOME","digesterD",43022216.6802283
"(+/-)12(13)-DiHOME","feedpump",147083513.540001
"(+/-)12(13)-DiHOME","mix",53135786.2002293
"(+/-)12(13)-DiHOME","newdry",35380050.6165066
"(+/-)12(13)-DiHOME","olddry",10648329.5206098
"(+/-)5(6)-EET Ethanolamide","centrin",27619480.5887027
"(+/-)5(6)-EET Ethanolamide","digesterC",11348069.6224823
"(+/-)5(6)-EET Ethanolamide","mix",1203650.12949877
"(1'S,2'R,4'S,7'R,9'R,10'R,11'S)-4',10'-dihydroxy-2'-(hydroxymethyl)-1',5'-dimethyl-8'-oxaspiro[oxirane-2,12'-tricyclo[7.2.1.0Â?,â·]dodecan]-5'-en-11'-yl acetate","control",10243705.6571784
"(11E,15Z)-9,10,13-trihydroxyoctadeca-11,15-dienoic acid","centrin",8585935.84455984
"(11E,15Z)-9,10,13-trihydroxyoctadeca-11,15-dienoic acid","control",7826930.07708908
