"peak_number","unique_id","name","formula","annot_source_predicted_compositions","annot_source_mz_cloud_search","annot_source_mass_list_search","annot_delta_mass_ppm","calc_mw","m_z","rt_min","area_max","number_mz_cloud_results","mz_cloud_best_match","mz_cloud_best_match_confidence","ms2","reference_ion","sample","group_area","peak_rating","mass_list_name","mass_list_match"
32,"[Metaldehyde]_9.553","[Metaldehyde]",NA,"No match","No results","Full match",NA,176.10489,177.11217,9.553,146427085.70742,0,NA,NA,"DDA for preferred ion","[M+H]+1","landfill_eg_y104",126805565.693567,8.4,"kps_npl","Single match found"
32,"[Metaldehyde]_9.553","[Metaldehyde]",NA,"No match","No results","Full match",NA,176.10489,177.11217,9.553,146427085.70742,0,NA,NA,"DDA for preferred ion","[M+H]+1","landfill_op_y104",49030253.6887657,8.4,"kps_npl","Single match found"
32,"[Metaldehyde]_9.553","[Metaldehyde]",NA,"No match","No results","Full match",NA,176.10489,177.11217,9.553,146427085.70742,0,NA,NA,"DDA for preferred ion","[M+H]+1","lysimeter_control_eg_140622",101943231.308048,9.5,"kps_npl","Single match found"
32,"[Metaldehyde]_9.553","[Metaldehyde]",NA,"No match","No results","Full match",NA,176.10489,177.11217,9.553,146427085.70742,0,NA,NA,"DDA for preferred ion","[M+H]+1","lysimeter_control_eg_250122",123743089.807793,7.8,"kps_npl","Single match found"
32,"[Metaldehyde]_9.553","[Metaldehyde]",NA,"No match","No results","Full match",NA,176.10489,177.11217,9.553,146427085.70742,0,NA,NA,"DDA for preferred ion","[M+H]+1","lysimeter_control_op_140622",92030550.5760189,8.9,"kps_npl","Single match found"
32,"[Metaldehyde]_9.553","[Metaldehyde]",NA,"No match","No results","Full match",NA,176.10489,177.11217,9.553,146427085.70742,0,NA,NA,"DDA for preferred ion","[M+H]+1","lysimeter_control_op_171221",145176138.691396,6.7,"kps_npl","Single match found"
32,"[Metaldehyde]_9.553","[Metaldehyde]",NA,"No match","No results","Full match",NA,176.10489,177.11217,9.553,146427085.70742,0,NA,NA,"DDA for preferred ion","[M+H]+1","lysimeter_control_op_260122",74996411.6749313,8.4,"kps_npl","Single match found"
32,"[Metaldehyde]_9.553","[Metaldehyde]",NA,"No match","No results","Full match",NA,176.10489,177.11217,9.553,146427085.70742,0,NA,NA,"DDA for preferred ion","[M+H]+1","lysimeter_eg_0_3y_14062022",64763180.6319827,8.4,"kps_npl","Single match found"
32,"[Metaldehyde]_9.553","[Metaldehyde]",NA,"No match","No results","Full match",NA,176.10489,177.11217,9.553,146427085.70742,0,NA,NA,"DDA for preferred ion","[M+H]+1","lysimeter_eg_03y_250122",100662764.378921,7.8,"kps_npl","Single match found"
32,"[Metaldehyde]_9.553","[Metaldehyde]",NA,"No match","No results","Full match",NA,176.10489,177.11217,9.553,146427085.70742,0,NA,NA,"DDA for preferred ion","[M+H]+1","lysimeter_eg3_104_140622",112596038.732812,7.8,"kps_npl","Single match found"
32,"[Metaldehyde]_9.553","[Metaldehyde]",NA,"No match","No results","Full match",NA,176.10489,177.11217,9.553,146427085.70742,0,NA,NA,"DDA for preferred ion","[M+H]+1","lysimeter_eg3_104_250122",146427085.70742,7.8,"kps_npl","Single match found"
32,"[Metaldehyde]_9.553","[Metaldehyde]",NA,"No match","No results","Full match",NA,176.10489,177.11217,9.553,146427085.70742,0,NA,NA,"DDA for preferred ion","[M+H]+1","lysimeter_eg3_104_250122_20221003231510",68818042.457714,8.4,"kps_npl","Single match found"
