"peak_number","unique_id","name","formula","annot_source_predicted_compositions","annot_source_mz_cloud_search","annot_source_mass_list_search","annot_delta_mass_ppm","calc_mw","m_z","rt_min","area_max","number_mz_cloud_results","mz_cloud_best_match","mz_cloud_best_match_confidence","ms2","reference_ion","sample","group_area","peak_rating","replicate","sample_location","mass_list_name","mass_list_match"
1880,"(+)-2,5-Dimethoxyamphetamine_11.334","(+)-2,5-Dimethoxyamphetamine","C11 H17 N O2","Full match","No results","Full match",0.08,195.12594,196.13323,11.334,5007885.99531316,0,NA,NA,"DDA for preferred ion","[M+H]+1","sc004_2",3957015.33010283,5.1,"2","sc004","kps_pharmaceuticals_oct22","Single match found"
1497,"(+)-2,5-Dimethoxyamphetamine_10.33","(+)-2,5-Dimethoxyamphetamine","C11 H17 N O2","Full match","No results","Full match",0.12,195.12595,196.13323,10.33,6138226.13014879,0,NA,NA,"DDA for preferred ion","[M+H]+1","sc008_2",736189.987677405,5.3,"2","sc008","kps_pharmaceuticals_oct22","Single match found"
1880,"(+)-2,5-Dimethoxyamphetamine_11.334","(+)-2,5-Dimethoxyamphetamine","C11 H17 N O2","Full match","No results","Full match",0.08,195.12594,196.13323,11.334,5007885.99531316,0,NA,NA,"DDA for preferred ion","[M+H]+1","sc009_1",2608283.75512497,7.8,"1","sc009","kps_pharmaceuticals_oct22","Single match found"
1497,"(+)-2,5-Dimethoxyamphetamine_10.33","(+)-2,5-Dimethoxyamphetamine","C11 H17 N O2","Full match","No results","Full match",0.12,195.12595,196.13323,10.33,6138226.13014879,0,NA,NA,"DDA for preferred ion","[M+H]+1","sc014_1",6138226.13014879,5.1,"1","sc014","kps_pharmaceuticals_oct22","Single match found"
1443,"(+)-2,5-Dimethoxyamphetamine_9.383","(+)-2,5-Dimethoxyamphetamine","C11 H17 N O2","Full match","No results","Full match",0.2,195.12597,196.13324,9.383,6317448.59051914,0,NA,NA,"DDA for preferred ion","[M+H]+1","sc015_1",6069308.03427755,6.7,"1","sc015","kps_pharmaceuticals_oct22","Single match found"
4919,"(+)-Taxifolin_7.005","(+)-Taxifolin","C15 H12 O7","No match","Invalid mass","Full match",3.09,304.05924,305.06652,7.005,1871532.06235288,3,89.1,9.5,"DDA for preferred ion","[M+H]+1","sc003_1",1492786.05538931,8.6,"1","sc003","kps_pharmaceuticals_oct22","Single match found"
4919,"(+)-Taxifolin_7.005","(+)-Taxifolin","C15 H12 O7","No match","Invalid mass","Full match",3.09,304.05924,305.06652,7.005,1871532.06235288,3,89.1,9.5,"DDA for preferred ion","[M+H]+1","sc004_1",1812777.88813363,8.9,"1","sc004","kps_pharmaceuticals_oct22","Single match found"
4919,"(+)-Taxifolin_7.005","(+)-Taxifolin","C15 H12 O7","No match","Invalid mass","Full match",3.09,304.05924,305.06652,7.005,1871532.06235288,3,89.1,9.5,"DDA for preferred ion","[M+H]+1","sc007_1",809699.15169133,9.1,"1","sc007","kps_pharmaceuticals_oct22","Single match found"
4919,"(+)-Taxifolin_7.005","(+)-Taxifolin","C15 H12 O7","No match","Invalid mass","Full match",3.09,304.05924,305.06652,7.005,1871532.06235288,3,89.1,9.5,"DDA for preferred ion","[M+H]+1","sc015_1",370112.62865267,8.3,"1","sc015","kps_pharmaceuticals_oct22","Single match found"
4919,"(+)-Taxifolin_7.005","(+)-Taxifolin","C15 H12 O7","No match","Invalid mass","Full match",3.09,304.05924,305.06652,7.005,1871532.06235288,3,89.1,9.5,"DDA for preferred ion","[M+H]+1","sc016_1",669641.826996539,7.7,"1","sc016","kps_pharmaceuticals_oct22","Single match found"
4919,"(+)-Taxifolin_7.005","(+)-Taxifolin","C15 H12 O7","No match","Invalid mass","Full match",3.09,304.05924,305.06652,7.005,1871532.06235288,3,89.1,9.5,"DDA for preferred ion","[M+H]+1","sc020_1",1189865.31209213,8.6,"1","sc020","kps_pharmaceuticals_oct22","Single match found"
4919,"(+)-Taxifolin_7.005","(+)-Taxifolin","C15 H12 O7","No match","Invalid mass","Full match",3.09,304.05924,305.06652,7.005,1871532.06235288,3,89.1,9.5,"DDA for preferred ion","[M+H]+1","sc023_1",400555.237221839,7.2,"1","sc023","kps_pharmaceuticals_oct22","Single match found"
1097,"(+-)-alminoprofen_4.64","(+-)-alminoprofen","C13 H17 N O2","Full match","Partial match","Full match",0.51,219.12604,220.13332,4.64,7979875.42679937,2,81.2,9.1,"DDA for preferred ion","[M+H]+1","sc003_1",1866088.15210649,5.1,"1","sc003","kps_pharmaceuticals_oct22","Single match found"
1097,"(+-)-alminoprofen_4.64","(+-)-alminoprofen","C13 H17 N O2","Full match","Partial match","Full match",0.51,219.12604,220.13332,4.64,7979875.42679937,2,81.2,9.1,"DDA for preferred ion","[M+H]+1","sc004_1",1921174.65339049,5.1,"1","sc004","kps_pharmaceuticals_oct22","Single match found"
3594,"(+-)-alminoprofen_8.848","(+-)-alminoprofen","C13 H17 N O2","Full match","Partial match","Full match",0.4,219.12602,220.13329,8.848,2656512.25988885,2,76.6,8.8,"DDA for preferred ion","[M+H]+1","sc008_1",1490601.54432692,5.3,"1","sc008","kps_pharmaceuticals_oct22","Single match found"
1179,"(+-)-alminoprofen_7.213","(+-)-alminoprofen","C13 H17 N O2","Full match","Partial match","Full match",0.53,219.12604,220.13332,7.213,7530348.81050409,2,83.5,9.2,"DDA for preferred ion","[M+H]+1","sc009_1",7339833.37405451,8.9,"1","sc009","kps_pharmaceuticals_oct22","Single match found"
7328,"(+-)-alminoprofen_17.753","(+-)-alminoprofen","C13 H17 N O2","Not the top hit","No results","Full match",0.44,219.12603,220.1333,17.753,972451.314773273,0,NA,NA,"DDA for preferred ion","[M+H]+1","sc011_1",972451.314773273,7.5,"1","sc011","kps_pharmaceuticals_oct22","Single match found"
3036,"(+-)-alminoprofen_6.833","(+-)-alminoprofen","C13 H17 N O2","Full match","Partial match","Full match",0.41,219.12602,220.13329,6.833,3142568.68596935,2,81.5,9.1,"DDA for preferred ion","[M+H]+1","sc012_1",277365.067422186,6.8,"1","sc012","kps_pharmaceuticals_oct22","Single match found"
1179,"(+-)-alminoprofen_7.213","(+-)-alminoprofen","C13 H17 N O2","Full match","Partial match","Full match",0.53,219.12604,220.13332,7.213,7530348.81050409,2,83.5,9.2,"DDA for preferred ion","[M+H]+1","sc013_1",692500.353265573,6.4,"1","sc013","kps_pharmaceuticals_oct22","Single match found"
1076,"(+-)-alminoprofen_9.926","(+-)-alminoprofen","C13 H17 N O2","Not the top hit","Partial match","Full match",0.4,219.12602,220.13329,9.926,8137227.74330898,2,73.8,8.7,"DDA for preferred ion","[M+H]+1","sc014_1",8137227.74330898,5.1,"1","sc014","kps_pharmaceuticals_oct22","Single match found"
1076,"(+-)-alminoprofen_9.926","(+-)-alminoprofen","C13 H17 N O2","Not the top hit","Partial match","Full match",0.4,219.12602,220.13329,9.926,8137227.74330898,2,73.8,8.7,"DDA for preferred ion","[M+H]+1","sc015_1",5201180.05939418,5.1,"1","sc015","kps_pharmaceuticals_oct22","Single match found"
