"peak_number","unique_id","name","formula","annot_source_predicted_compositions","annot_source_mz_cloud_search","annot_source_mass_list_search","annot_delta_mass_ppm","calc_mw","m_z","rt_min","area_max","number_mz_cloud_results","mz_cloud_best_match","mz_cloud_best_match_confidence","ms2","reference_ion","sample_location","group_area","peak_rating","mass_list_name","mass_list_match"
6986,"(+)-(6s)-Parasorbic Acid_6.097","(+)-(6s)-Parasorbic Acid","C6 H8 O2","Full match","Partial match","Full match",1.29,112.05257,113.05985,6.097,468338.076842942,1,65.1,43.4,"DDA for preferred ion","[M+H]+1","lysimeter_control_op_260122",142254.650817712,6.3,"kps_pharmaceuticals_oct22","Single match found"
7360,"(+)-2,5-Dimethoxyamphetamine_13.041","(+)-2,5-Dimethoxyamphetamine","C11 H17 N O2","Full match","No results","Full match",-0.02,195.12593,196.1332,13.041,365847.755631026,0,NA,NA,"DDA for preferred ion","[M+H]+1","thailand_sample_8",351615.703902479,7.7,"kps_pharmaceuticals_oct22","Single match found"
979,"(+-)-alminoprofen_7.528","(+-)-alminoprofen","C13 H17 N O2","Not the top hit","Partial match","Full match",0.4,219.12602,220.13329,7.528,6570685.02510042,2,84.1,9.2,"DDA for preferred ion","[M+H]+1","landfill_eg_0_3y",806290.012095203,5.3,"kps_pharmaceuticals_oct22","Single match found"
979,"(+-)-alminoprofen_7.528","(+-)-alminoprofen","C13 H17 N O2","Not the top hit","Partial match","Full match",0.4,219.12602,220.13329,7.528,6570685.02510042,2,84.1,9.2,"DDA for preferred ion","[M+H]+1","landfill_eg_3_10y",6570685.02510042,7.8,"kps_pharmaceuticals_oct22","Single match found"
3969,"(+-)-alminoprofen_8.251","(+-)-alminoprofen","C13 H17 N O2","Full match","Partial match","Full match",0.38,219.12601,220.13329,8.251,1444014.52135407,2,66.8,47.5,"DDA for preferred ion","[M+H]+1","landfill_eg_y104",234766.925112829,5.2,"kps_pharmaceuticals_oct22","Single match found"
979,"(+-)-alminoprofen_7.528","(+-)-alminoprofen","C13 H17 N O2","Not the top hit","Partial match","Full match",0.4,219.12602,220.13329,7.528,6570685.02510042,2,84.1,9.2,"DDA for preferred ion","[M+H]+1","landfill_op_y104",1345260.06400925,5.7,"kps_pharmaceuticals_oct22","Single match found"
979,"(+-)-alminoprofen_7.528","(+-)-alminoprofen","C13 H17 N O2","Not the top hit","Partial match","Full match",0.4,219.12602,220.13329,7.528,6570685.02510042,2,84.1,9.2,"DDA for preferred ion","[M+H]+1","lysimeter_control_eg_171221",950446.922854823,5.9,"kps_pharmaceuticals_oct22","Single match found"
979,"(+-)-alminoprofen_7.528","(+-)-alminoprofen","C13 H17 N O2","Not the top hit","Partial match","Full match",0.4,219.12602,220.13329,7.528,6570685.02510042,2,84.1,9.2,"DDA for preferred ion","[M+H]+1","lysimeter_control_eg_250122",108878.076307982,7.1,"kps_pharmaceuticals_oct22","Single match found"
5665,"(+-)-alminoprofen_6.912","(+-)-alminoprofen","C13 H17 N O2","Not the top hit","Partial match","Full match",0.45,219.12603,220.1333,6.912,821843.938765202,2,81.9,9.1,"DDA for preferred ion","[M+H]+1","lysimeter_control_op_171221",152270.068028423,6.3,"kps_pharmaceuticals_oct22","Single match found"
979,"(+-)-alminoprofen_7.528","(+-)-alminoprofen","C13 H17 N O2","Not the top hit","Partial match","Full match",0.4,219.12602,220.13329,7.528,6570685.02510042,2,84.1,9.2,"DDA for preferred ion","[M+H]+1","lysimeter_eg_03y_171221",2909521.97501615,7.8,"kps_pharmaceuticals_oct22","Single match found"
