"peak_number","unique_id","name","formula","annot_source_predicted_compositions","annot_source_mz_cloud_search","annot_source_mass_list_search","annot_delta_mass_ppm","calc_mw","m_z","rt_min","area_max","number_mz_cloud_results","mz_cloud_best_match","mz_cloud_best_match_confidence","ms2","reference_ion","sample","group_area","peak_rating","mass_list_name","mass_list_match"
1,"Bethanidine_6.467","Bethanidine","C10 H15 N3","Full match","No results","Full match",0.18,177.12663,178.13391,6.467,1181520008.73917,0,NA,NA,"DDA for preferred ion","[M+H]+1","qc15x",144542967.005669,8.4,"kps_pharmaceuticals_oct22","Single match found"
1,"Bethanidine_6.467","Bethanidine","C10 H15 N3","Full match","No results","Full match",0.18,177.12663,178.13391,6.467,1181520008.73917,0,NA,NA,"DDA for preferred ion","[M+H]+1","sc001_1",942580.398462353,5.3,"kps_pharmaceuticals_oct22","Single match found"
1,"Bethanidine_6.467","Bethanidine","C10 H15 N3","Full match","No results","Full match",0.18,177.12663,178.13391,6.467,1181520008.73917,0,NA,NA,"DDA for preferred ion","[M+H]+1","sc001_2",725684.340525075,7,"kps_pharmaceuticals_oct22","Single match found"
1,"Bethanidine_6.467","Bethanidine","C10 H15 N3","Full match","No results","Full match",0.18,177.12663,178.13391,6.467,1181520008.73917,0,NA,NA,"DDA for preferred ion","[M+H]+1","sc003_2",1158432058.77296,9.5,"kps_pharmaceuticals_oct22","Single match found"
1,"Bethanidine_6.467","Bethanidine","C10 H15 N3","Full match","No results","Full match",0.18,177.12663,178.13391,6.467,1181520008.73917,0,NA,NA,"DDA for preferred ion","[M+H]+1","sc005_1",1595478.61396016,7,"kps_pharmaceuticals_oct22","Single match found"
1,"Bethanidine_6.467","Bethanidine","C10 H15 N3","Full match","No results","Full match",0.18,177.12663,178.13391,6.467,1181520008.73917,0,NA,NA,"DDA for preferred ion","[M+H]+1","sc005_2",1565742.48050864,8,"kps_pharmaceuticals_oct22","Single match found"
1,"Bethanidine_6.467","Bethanidine","C10 H15 N3","Full match","No results","Full match",0.18,177.12663,178.13391,6.467,1181520008.73917,0,NA,NA,"DDA for preferred ion","[M+H]+1","sc007_1",270873691.099352,9.5,"kps_pharmaceuticals_oct22","Single match found"
1,"Bethanidine_6.467","Bethanidine","C10 H15 N3","Full match","No results","Full match",0.18,177.12663,178.13391,6.467,1181520008.73917,0,NA,NA,"DDA for preferred ion","[M+H]+1","sc007_2",292380844.065167,9.5,"kps_pharmaceuticals_oct22","Single match found"
1,"Bethanidine_6.467","Bethanidine","C10 H15 N3","Full match","No results","Full match",0.18,177.12663,178.13391,6.467,1181520008.73917,0,NA,NA,"DDA for preferred ion","[M+H]+1","sc008_1",360218178.448337,9.5,"kps_pharmaceuticals_oct22","Single match found"
1,"Bethanidine_6.467","Bethanidine","C10 H15 N3","Full match","No results","Full match",0.18,177.12663,178.13391,6.467,1181520008.73917,0,NA,NA,"DDA for preferred ion","[M+H]+1","sc009_1",493083385.290219,9.5,"kps_pharmaceuticals_oct22","Single match found"
1,"Bethanidine_6.467","Bethanidine","C10 H15 N3","Full match","No results","Full match",0.18,177.12663,178.13391,6.467,1181520008.73917,0,NA,NA,"DDA for preferred ion","[M+H]+1","sc009_2",494362081.893762,8.4,"kps_pharmaceuticals_oct22","Single match found"
