"peak_number","unique_id","name","formula","annot_source_predicted_compositions","annot_source_mz_cloud_search","annot_source_mass_list_search","annot_delta_mass_ppm","calc_mw","m_z","rt_min","area_max","number_mz_cloud_results","mz_cloud_best_match","mz_cloud_best_match_confidence","ms2","reference_ion","sample","group_area","peak_rating","replicate","sample_location","mass_list_name","mass_list_match"
2146,"(+/-)-3,4-(Methylenedioxy)amphetamine_2.217","(+/-)-3,4-(Methylenedioxy)amphetamine","C10 H13 N O2","Full match","Partial match","Full match",0.32,179.09469,180.10197,2.217,4450756.12295063,3,91.6,61.7,"DDA for preferred ion","[M+H]+1","sc009_1",4216760.08550982,5.7,"1","sc009","kps_psychoactive_substances_v2","Multiple matches found"
2146,"(+/-)-3,4-(Methylenedioxy)amphetamine_2.217","(+/-)-3,4-(Methylenedioxy)amphetamine","C10 H13 N O2","Full match","Partial match","Full match",0.32,179.09469,180.10197,2.217,4450756.12295063,3,91.6,61.7,"DDA for preferred ion","[M+H]+1","sc009_2",4450756.12295063,5.7,"2","sc009","kps_psychoactive_substances_v2","Multiple matches found"
4652,"(+/-)-3,4-(Methylenedioxy)amphetamine_8.403","(+/-)-3,4-(Methylenedioxy)amphetamine","C10 H13 N O2","Full match","Partial match","Full match",0.31,179.09468,180.10196,8.403,2018088.84605796,2,90,56.1,"DDA for preferred ion","[M+H]+1","sc014_1",2018088.84605796,5.1,"1","sc014","kps_psychoactive_substances_v2","Multiple matches found"
4652,"(+/-)-3,4-(Methylenedioxy)amphetamine_8.403","(+/-)-3,4-(Methylenedioxy)amphetamine","C10 H13 N O2","Full match","Partial match","Full match",0.31,179.09468,180.10196,8.403,2018088.84605796,2,90,56.1,"DDA for preferred ion","[M+H]+1","sc014_2",1749549.28705123,8.4,"2","sc014","kps_psychoactive_substances_v2","Multiple matches found"
3151,"(2-Nitro-1-propenyl)benzene_10.565","(2-Nitro-1-propenyl)benzene","C9 H9 N O2","Full match","No results","Full match",-0.5,163.06325,164.07064,10.565,3031195.0121881,0,NA,NA,"DDA for preferred ion","[M+H]+1","sc007_1",3031195.0121881,6.2,"1","sc007","kps_psychoactive_substances_v2","Single match found"
3151,"(2-Nitro-1-propenyl)benzene_10.565","(2-Nitro-1-propenyl)benzene","C9 H9 N O2","Full match","No results","Full match",-0.5,163.06325,164.07064,10.565,3031195.0121881,0,NA,NA,"DDA for preferred ion","[M+H]+1","sc007_2",2852207.19540927,7.8,"2","sc007","kps_psychoactive_substances_v2","Single match found"
3151,"(2-Nitro-1-propenyl)benzene_10.565","(2-Nitro-1-propenyl)benzene","C9 H9 N O2","Full match","No results","Full match",-0.5,163.06325,164.07064,10.565,3031195.0121881,0,NA,NA,"DDA for preferred ion","[M+H]+1","sc008_1",267748.835367732,6.8,"1","sc008","kps_psychoactive_substances_v2","Single match found"
3151,"(2-Nitro-1-propenyl)benzene_10.565","(2-Nitro-1-propenyl)benzene","C9 H9 N O2","Full match","No results","Full match",-0.5,163.06325,164.07064,10.565,3031195.0121881,0,NA,NA,"DDA for preferred ion","[M+H]+1","sc008_2",283056.968635703,5.2,"2","sc008","kps_psychoactive_substances_v2","Single match found"
3336,"(2-Nitro-1-propenyl)benzene_10.713","(2-Nitro-1-propenyl)benzene","C9 H9 N O2","Full match","No results","Full match",0.24,163.06337,164.07065,10.713,2857343.23445736,0,NA,NA,"DDA for preferred ion","[M+H]+1","sc007_1",2710888.3830019,7.3,"1","sc007","kps_psychoactive_substances_v2","Single match found"
3336,"(2-Nitro-1-propenyl)benzene_10.713","(2-Nitro-1-propenyl)benzene","C9 H9 N O2","Full match","No results","Full match",0.24,163.06337,164.07065,10.713,2857343.23445736,0,NA,NA,"DDA for preferred ion","[M+H]+1","sc007_2",2857343.23445736,7.3,"2","sc007","kps_psychoactive_substances_v2","Single match found"
4079,"(2-Nitro-1-propenyl)benzene_11.916","(2-Nitro-1-propenyl)benzene","C9 H9 N O2","Full match","No results","Full match",0.13,163.06335,164.07063,11.916,2327276.56372743,0,NA,NA,"DDA for preferred ion","[M+H]+1","sc007_1",2044808.40532014,8.4,"1","sc007","kps_psychoactive_substances_v2","Single match found"
4079,"(2-Nitro-1-propenyl)benzene_11.916","(2-Nitro-1-propenyl)benzene","C9 H9 N O2","Full match","No results","Full match",0.13,163.06335,164.07063,11.916,2327276.56372743,0,NA,NA,"DDA for preferred ion","[M+H]+1","sc007_2",2327276.56372743,6.2,"2","sc007","kps_psychoactive_substances_v2","Single match found"
3700,"(2-Nitro-1-propenyl)benzene_12.046","(2-Nitro-1-propenyl)benzene","C9 H9 N O2","Full match","No results","Full match",0.19,163.06336,164.07064,12.046,2584883.96012489,0,NA,NA,"DDA for preferred ion","[M+H]+1","sc008_1",955423.430744617,5.3,"1","sc008","kps_psychoactive_substances_v2","Single match found"
3700,"(2-Nitro-1-propenyl)benzene_12.046","(2-Nitro-1-propenyl)benzene","C9 H9 N O2","Full match","No results","Full match",0.19,163.06336,164.07064,12.046,2584883.96012489,0,NA,NA,"DDA for preferred ion","[M+H]+1","sc008_2",1338831.75379134,5.3,"2","sc008","kps_psychoactive_substances_v2","Single match found"
1015,"(2-Nitro-1-propenyl)benzene_5.86","(2-Nitro-1-propenyl)benzene","C9 H9 N O2","Full match","No results","Full match",0.2,163.06336,164.07064,5.86,8570959.40624703,0,NA,NA,"DDA for preferred ion","[M+H]+1","sc009_1",8304677.0270453,8.4,"1","sc009","kps_psychoactive_substances_v2","Single match found"
1015,"(2-Nitro-1-propenyl)benzene_5.86","(2-Nitro-1-propenyl)benzene","C9 H9 N O2","Full match","No results","Full match",0.2,163.06336,164.07064,5.86,8570959.40624703,0,NA,NA,"DDA for preferred ion","[M+H]+1","sc009_2",8570959.40624703,8.4,"2","sc009","kps_psychoactive_substances_v2","Single match found"
2222,"(2-Nitro-1-propenyl)benzene_6.745","(2-Nitro-1-propenyl)benzene","C9 H9 N O2","Full match","No results","Full match",0.23,163.06337,164.07064,6.745,4307984.41533685,0,NA,NA,"DDA for preferred ion","[M+H]+1","sc003_1",2252300.57544968,5.7,"1","sc003","kps_psychoactive_substances_v2","Single match found"
2222,"(2-Nitro-1-propenyl)benzene_6.745","(2-Nitro-1-propenyl)benzene","C9 H9 N O2","Full match","No results","Full match",0.23,163.06337,164.07064,6.745,4307984.41533685,0,NA,NA,"DDA for preferred ion","[M+H]+1","sc003_2",2056277.85780557,6.2,"2","sc003","kps_psychoactive_substances_v2","Single match found"
