"peak_number","unique_id","name","formula","annot_source_predicted_compositions","annot_source_mz_cloud_search","annot_source_mass_list_search","annot_delta_mass_ppm","calc_mw","m_z","rt_min","area_max","number_mz_cloud_results","mz_cloud_best_match","mz_cloud_best_match_confidence","ms2","reference_ion","sample","group_area","peak_rating","mass_list_name","mass_list_match"
192,"2-Ethylmethcathinone_14.76","2-Ethylmethcathinone","C12 H17 N O","Full match","Partial match","Full match",0.15,191.13104,192.13832,14.76,31188813.4602425,3,97.6,90.4,"DDA for preferred ion","[M+H]+1","crh_fst1",300981.987533831,5.5,"kps_psychoactive_substances_v2","Multiple matches found"
192,"2-Ethylmethcathinone_14.76","2-Ethylmethcathinone","C12 H17 N O","Full match","Partial match","Full match",0.15,191.13104,192.13832,14.76,31188813.4602425,3,97.6,90.4,"DDA for preferred ion","[M+H]+1","crh_fst2",175483.789571802,5.2,"kps_psychoactive_substances_v2","Multiple matches found"
192,"2-Ethylmethcathinone_14.76","2-Ethylmethcathinone","C12 H17 N O","Full match","Partial match","Full match",0.15,191.13104,192.13832,14.76,31188813.4602425,3,97.6,90.4,"DDA for preferred ion","[M+H]+1","crh_fst3",351584.879772359,7.2,"kps_psychoactive_substances_v2","Multiple matches found"
192,"2-Ethylmethcathinone_14.76","2-Ethylmethcathinone","C12 H17 N O","Full match","Partial match","Full match",0.15,191.13104,192.13832,14.76,31188813.4602425,3,97.6,90.4,"DDA for preferred ion","[M+H]+1","crh_fst4",156648.043015254,7.4,"kps_psychoactive_substances_v2","Multiple matches found"
192,"2-Ethylmethcathinone_14.76","2-Ethylmethcathinone","C12 H17 N O","Full match","Partial match","Full match",0.15,191.13104,192.13832,14.76,31188813.4602425,3,97.6,90.4,"DDA for preferred ion","[M+H]+1","crh_fst5",249840.114062293,6.6,"kps_psychoactive_substances_v2","Multiple matches found"
192,"2-Ethylmethcathinone_14.76","2-Ethylmethcathinone","C12 H17 N O","Full match","Partial match","Full match",0.15,191.13104,192.13832,14.76,31188813.4602425,3,97.6,90.4,"DDA for preferred ion","[M+H]+1","crh_inlet",144682.968893215,7.4,"kps_psychoactive_substances_v2","Multiple matches found"
192,"2-Ethylmethcathinone_14.76","2-Ethylmethcathinone","C12 H17 N O","Full match","Partial match","Full match",0.15,191.13104,192.13832,14.76,31188813.4602425,3,97.6,90.4,"DDA for preferred ion","[M+H]+1","landfill_eg_0_3y",1366756.98941571,7.3,"kps_psychoactive_substances_v2","Multiple matches found"
192,"2-Ethylmethcathinone_14.76","2-Ethylmethcathinone","C12 H17 N O","Full match","Partial match","Full match",0.15,191.13104,192.13832,14.76,31188813.4602425,3,97.6,90.4,"DDA for preferred ion","[M+H]+1","landfill_eg_3_10y",31188813.4602425,8.4,"kps_psychoactive_substances_v2","Multiple matches found"
192,"2-Ethylmethcathinone_14.76","2-Ethylmethcathinone","C12 H17 N O","Full match","Partial match","Full match",0.15,191.13104,192.13832,14.76,31188813.4602425,3,97.6,90.4,"DDA for preferred ion","[M+H]+1","landfill_eg_y104",433638.582497378,7.2,"kps_psychoactive_substances_v2","Multiple matches found"
192,"2-Ethylmethcathinone_14.76","2-Ethylmethcathinone","C12 H17 N O","Full match","Partial match","Full match",0.15,191.13104,192.13832,14.76,31188813.4602425,3,97.6,90.4,"DDA for preferred ion","[M+H]+1","landfill_op_y104",8449762.39665706,8.4,"kps_psychoactive_substances_v2","Multiple matches found"
192,"2-Ethylmethcathinone_14.76","2-Ethylmethcathinone","C12 H17 N O","Full match","Partial match","Full match",0.15,191.13104,192.13832,14.76,31188813.4602425,3,97.6,90.4,"DDA for preferred ion","[M+H]+1","lysimeter_control_eg_171221",21790713.7348605,8.9,"kps_psychoactive_substances_v2","Multiple matches found"
192,"2-Ethylmethcathinone_14.76","2-Ethylmethcathinone","C12 H17 N O","Full match","Partial match","Full match",0.15,191.13104,192.13832,14.76,31188813.4602425,3,97.6,90.4,"DDA for preferred ion","[M+H]+1","lysimeter_control_eg_250122",155238.020293014,6.8,"kps_psychoactive_substances_v2","Multiple matches found"
192,"2-Ethylmethcathinone_14.76","2-Ethylmethcathinone","C12 H17 N O","Full match","Partial match","Full match",0.15,191.13104,192.13832,14.76,31188813.4602425,3,97.6,90.4,"DDA for preferred ion","[M+H]+1","lysimeter_control_op_171221",10141666.4902658,7.8,"kps_psychoactive_substances_v2","Multiple matches found"
192,"2-Ethylmethcathinone_14.76","2-Ethylmethcathinone","C12 H17 N O","Full match","Partial match","Full match",0.15,191.13104,192.13832,14.76,31188813.4602425,3,97.6,90.4,"DDA for preferred ion","[M+H]+1","lysimeter_control_op_260122",3474328.34051375,8.4,"kps_psychoactive_substances_v2","Multiple matches found"
192,"2-Ethylmethcathinone_14.76","2-Ethylmethcathinone","C12 H17 N O","Full match","Partial match","Full match",0.15,191.13104,192.13832,14.76,31188813.4602425,3,97.6,90.4,"DDA for preferred ion","[M+H]+1","lysimeter_eg_03y_171221",23131457.7239956,8.4,"kps_psychoactive_substances_v2","Multiple matches found"
192,"2-Ethylmethcathinone_14.76","2-Ethylmethcathinone","C12 H17 N O","Full match","Partial match","Full match",0.15,191.13104,192.13832,14.76,31188813.4602425,3,97.6,90.4,"DDA for preferred ion","[M+H]+1","lysimeter_eg_03y_250122",9974654.40751915,8.4,"kps_psychoactive_substances_v2","Multiple matches found"
192,"2-Ethylmethcathinone_14.76","2-Ethylmethcathinone","C12 H17 N O","Full match","Partial match","Full match",0.15,191.13104,192.13832,14.76,31188813.4602425,3,97.6,90.4,"DDA for preferred ion","[M+H]+1","lysimeter_eg_3_10y_171221",1248346.95055959,8.6,"kps_psychoactive_substances_v2","Multiple matches found"
192,"2-Ethylmethcathinone_14.76","2-Ethylmethcathinone","C12 H17 N O","Full match","Partial match","Full match",0.15,191.13104,192.13832,14.76,31188813.4602425,3,97.6,90.4,"DDA for preferred ion","[M+H]+1","lysimeter_eg3_104_140622",455782.278815027,7.7,"kps_psychoactive_substances_v2","Multiple matches found"
192,"2-Ethylmethcathinone_14.76","2-Ethylmethcathinone","C12 H17 N O","Full match","Partial match","Full match",0.15,191.13104,192.13832,14.76,31188813.4602425,3,97.6,90.4,"DDA for preferred ion","[M+H]+1","lysimeter_eg3_104_250122",722114.076253618,8,"kps_psychoactive_substances_v2","Multiple matches found"
192,"2-Ethylmethcathinone_14.76","2-Ethylmethcathinone","C12 H17 N O","Full match","Partial match","Full match",0.15,191.13104,192.13832,14.76,31188813.4602425,3,97.6,90.4,"DDA for preferred ion","[M+H]+1","lysimeter_op_0_3y_171221",12026092.5588221,6.7,"kps_psychoactive_substances_v2","Multiple matches found"
192,"2-Ethylmethcathinone_14.76","2-Ethylmethcathinone","C12 H17 N O","Full match","Partial match","Full match",0.15,191.13104,192.13832,14.76,31188813.4602425,3,97.6,90.4,"DDA for preferred ion","[M+H]+1","lysimeter_op_0_3y_250122",4696492.01006048,8.4,"kps_psychoactive_substances_v2","Multiple matches found"
192,"2-Ethylmethcathinone_14.76","2-Ethylmethcathinone","C12 H17 N O","Full match","Partial match","Full match",0.15,191.13104,192.13832,14.76,31188813.4602425,3,97.6,90.4,"DDA for preferred ion","[M+H]+1","lysimeter_op_3_10y_171221",8869031.6418287,8.4,"kps_psychoactive_substances_v2","Multiple matches found"
192,"2-Ethylmethcathinone_14.76","2-Ethylmethcathinone","C12 H17 N O","Full match","Partial match","Full match",0.15,191.13104,192.13832,14.76,31188813.4602425,3,97.6,90.4,"DDA for preferred ion","[M+H]+1","lysimeter_op_3_10y_250122",276063.670927199,7.2,"kps_psychoactive_substances_v2","Multiple matches found"
