"peak_number","name","formula","calc_mw","m_z","rt_min","sample_location"
1880,"(+)-2,5-Dimethoxyamphetamine","C11 H17 N O2",195.12594,196.13323,11.334,"sc004"
1497,"(+)-2,5-Dimethoxyamphetamine","C11 H17 N O2",195.12595,196.13323,10.33,"sc008"
1880,"(+)-2,5-Dimethoxyamphetamine","C11 H17 N O2",195.12594,196.13323,11.334,"sc009"
1497,"(+)-2,5-Dimethoxyamphetamine","C11 H17 N O2",195.12595,196.13323,10.33,"sc014"
1443,"(+)-2,5-Dimethoxyamphetamine","C11 H17 N O2",195.12597,196.13324,9.383,"sc15"
4919,"(+)-Taxifolin","C15 H12 O7",304.05924,305.06652,7.005,"sc003"
4919,"(+)-Taxifolin","C15 H12 O7",304.05924,305.06652,7.005,"sc004"
4919,"(+)-Taxifolin","C15 H12 O7",304.05924,305.06652,7.005,"sc007"
4919,"(+)-Taxifolin","C15 H12 O7",304.05924,305.06652,7.005,"sc020"
4919,"(+)-Taxifolin","C15 H12 O7",304.05924,305.06652,7.005,"sc023"
4919,"(+)-Taxifolin","C15 H12 O7",304.05924,305.06652,7.005,"sc15"
4919,"(+)-Taxifolin","C15 H12 O7",304.05924,305.06652,7.005,"sc16"
1097,"(+-)-alminoprofen","C13 H17 N O2",219.12604,220.13332,4.64,"sc003"
1097,"(+-)-alminoprofen","C13 H17 N O2",219.12604,220.13332,4.64,"sc004"
3594,"(+-)-alminoprofen","C13 H17 N O2",219.12602,220.13329,8.848,"sc008"
1179,"(+-)-alminoprofen","C13 H17 N O2",219.12604,220.13332,7.213,"sc009"
7328,"(+-)-alminoprofen","C13 H17 N O2",219.12603,220.1333,17.753,"sc011"
3036,"(+-)-alminoprofen","C13 H17 N O2",219.12602,220.13329,6.833,"sc012"
1179,"(+-)-alminoprofen","C13 H17 N O2",219.12604,220.13332,7.213,"sc013"
1076,"(+-)-alminoprofen","C13 H17 N O2",219.12602,220.13329,9.926,"sc014"
1097,"(+-)-alminoprofen","C13 H17 N O2",219.12604,220.13332,4.64,"sc020"
1179,"(+-)-alminoprofen","C13 H17 N O2",219.12604,220.13332,7.213,"sc023"
1076,"(+-)-alminoprofen","C13 H17 N O2",219.12602,220.13329,9.926,"sc15"
1179,"(+-)-alminoprofen","C13 H17 N O2",219.12604,220.13332,7.213,"sc16"
3529,"(+/-)-3,4-(Methylenedioxy)amphetamine","C10 H13 N O2",179.09469,180.10196,14.005,"sc007"
2146,"(+/-)-3,4-(Methylenedioxy)amphetamine","C10 H13 N O2",179.09469,180.10197,2.217,"sc009"
2146,"(+/-)-3,4-(Methylenedioxy)amphetamine","C10 H13 N O2",179.09469,180.10197,2.217,"sc014"
1163,"(+/-)-3,4-(Methylenedioxy)amphetamine","C10 H13 N O2",179.09469,180.10197,4.416,"sc15"
6785,"(-)-Ifosfamide","C7 H15 Cl2 N2 O2 P",260.0247,261.03198,8.03,"sc16"
301,"(1R,9S)-11-(4-Fluorobenzoyl)-5-(4-methoxyphenyl)-7,11-diazatricyclo[7.3.1.02,7]trideca-2,4-dien-6-one","C25 H23 F N2 O3",418.17026,419.17754,19.459,"sc001"
416,"(1R,9S)-11-(4-Fluorobenzoyl)-5-(4-methoxyphenyl)-7,11-diazatricyclo[7.3.1.02,7]trideca-2,4-dien-6-one","C25 H23 F N2 O3",418.17026,419.17754,20.009,"sc002"
416,"(1R,9S)-11-(4-Fluorobenzoyl)-5-(4-methoxyphenyl)-7,11-diazatricyclo[7.3.1.02,7]trideca-2,4-dien-6-one","C25 H23 F N2 O3",418.17026,419.17754,20.009,"sc005"
416,"(1R,9S)-11-(4-Fluorobenzoyl)-5-(4-methoxyphenyl)-7,11-diazatricyclo[7.3.1.02,7]trideca-2,4-dien-6-one","C25 H23 F N2 O3",418.17026,419.17754,20.009,"sc008"
301,"(1R,9S)-11-(4-Fluorobenzoyl)-5-(4-methoxyphenyl)-7,11-diazatricyclo[7.3.1.02,7]trideca-2,4-dien-6-one","C25 H23 F N2 O3",418.17026,419.17754,19.459,"sc010"
416,"(1R,9S)-11-(4-Fluorobenzoyl)-5-(4-methoxyphenyl)-7,11-diazatricyclo[7.3.1.02,7]trideca-2,4-dien-6-one","C25 H23 F N2 O3",418.17026,419.17754,20.009,"sc011"
