"peak_number","name","formula","annot_delta_mass_ppm","calc_mw","m_z","rt_min","sample_location"
1880,"(+)-2,5-Dimethoxyamphetamine","C11 H17 N O2",0.08,195.12594,196.13323,11.334,"sc004"
1497,"(+)-2,5-Dimethoxyamphetamine","C11 H17 N O2",0.12,195.12595,196.13323,10.33,"sc008"
1880,"(+)-2,5-Dimethoxyamphetamine","C11 H17 N O2",0.08,195.12594,196.13323,11.334,"sc009"
1497,"(+)-2,5-Dimethoxyamphetamine","C11 H17 N O2",0.12,195.12595,196.13323,10.33,"sc014"
1443,"(+)-2,5-Dimethoxyamphetamine","C11 H17 N O2",0.2,195.12597,196.13324,9.383,"sc015"
4919,"(+)-Taxifolin","C15 H12 O7",3.09,304.05924,305.06652,7.005,"sc003"
4919,"(+)-Taxifolin","C15 H12 O7",3.09,304.05924,305.06652,7.005,"sc004"
4919,"(+)-Taxifolin","C15 H12 O7",3.09,304.05924,305.06652,7.005,"sc007"
4919,"(+)-Taxifolin","C15 H12 O7",3.09,304.05924,305.06652,7.005,"sc015"
4919,"(+)-Taxifolin","C15 H12 O7",3.09,304.05924,305.06652,7.005,"sc016"
4919,"(+)-Taxifolin","C15 H12 O7",3.09,304.05924,305.06652,7.005,"sc020"
4919,"(+)-Taxifolin","C15 H12 O7",3.09,304.05924,305.06652,7.005,"sc023"
1097,"(+-)-alminoprofen","C13 H17 N O2",0.51,219.12604,220.13332,4.64,"sc003"
1097,"(+-)-alminoprofen","C13 H17 N O2",0.51,219.12604,220.13332,4.64,"sc004"
3594,"(+-)-alminoprofen","C13 H17 N O2",0.4,219.12602,220.13329,8.848,"sc008"
1179,"(+-)-alminoprofen","C13 H17 N O2",0.53,219.12604,220.13332,7.213,"sc009"
7328,"(+-)-alminoprofen","C13 H17 N O2",0.44,219.12603,220.1333,17.753,"sc011"
3036,"(+-)-alminoprofen","C13 H17 N O2",0.41,219.12602,220.13329,6.833,"sc012"
1179,"(+-)-alminoprofen","C13 H17 N O2",0.53,219.12604,220.13332,7.213,"sc013"
1076,"(+-)-alminoprofen","C13 H17 N O2",0.4,219.12602,220.13329,9.926,"sc014"
1076,"(+-)-alminoprofen","C13 H17 N O2",0.4,219.12602,220.13329,9.926,"sc015"
1179,"(+-)-alminoprofen","C13 H17 N O2",0.53,219.12604,220.13332,7.213,"sc016"
1097,"(+-)-alminoprofen","C13 H17 N O2",0.51,219.12604,220.13332,4.64,"sc020"
1179,"(+-)-alminoprofen","C13 H17 N O2",0.53,219.12604,220.13332,7.213,"sc023"
3529,"(+/-)-3,4-(Methylenedioxy)amphetamine","C10 H13 N O2",0.32,179.09469,180.10196,14.005,"sc007"
2146,"(+/-)-3,4-(Methylenedioxy)amphetamine","C10 H13 N O2",0.32,179.09469,180.10197,2.217,"sc009"
2146,"(+/-)-3,4-(Methylenedioxy)amphetamine","C10 H13 N O2",0.32,179.09469,180.10197,2.217,"sc014"
1163,"(+/-)-3,4-(Methylenedioxy)amphetamine","C10 H13 N O2",0.36,179.09469,180.10197,4.416,"sc015"
6785,"(-)-Ifosfamide","C7 H15 Cl2 N2 O2 P",-0.47,260.0247,261.03198,8.03,"sc016"
301,"(1R,9S)-11-(4-Fluorobenzoyl)-5-(4-methoxyphenyl)-7,11-diazatricyclo[7.3.1.02,7]trideca-2,4-dien-6-one","C25 H23 F N2 O3",2.37,418.17026,419.17754,19.459,"sc001"
416,"(1R,9S)-11-(4-Fluorobenzoyl)-5-(4-methoxyphenyl)-7,11-diazatricyclo[7.3.1.02,7]trideca-2,4-dien-6-one","C25 H23 F N2 O3",2.37,418.17026,419.17754,20.009,"sc002"
416,"(1R,9S)-11-(4-Fluorobenzoyl)-5-(4-methoxyphenyl)-7,11-diazatricyclo[7.3.1.02,7]trideca-2,4-dien-6-one","C25 H23 F N2 O3",2.37,418.17026,419.17754,20.009,"sc005"
416,"(1R,9S)-11-(4-Fluorobenzoyl)-5-(4-methoxyphenyl)-7,11-diazatricyclo[7.3.1.02,7]trideca-2,4-dien-6-one","C25 H23 F N2 O3",2.37,418.17026,419.17754,20.009,"sc008"
301,"(1R,9S)-11-(4-Fluorobenzoyl)-5-(4-methoxyphenyl)-7,11-diazatricyclo[7.3.1.02,7]trideca-2,4-dien-6-one","C25 H23 F N2 O3",2.37,418.17026,419.17754,19.459,"sc010"
416,"(1R,9S)-11-(4-Fluorobenzoyl)-5-(4-methoxyphenyl)-7,11-diazatricyclo[7.3.1.02,7]trideca-2,4-dien-6-one","C25 H23 F N2 O3",2.37,418.17026,419.17754,20.009,"sc011"
416,"(1R,9S)-11-(4-Fluorobenzoyl)-5-(4-methoxyphenyl)-7,11-diazatricyclo[7.3.1.02,7]trideca-2,4-dien-6-one","C25 H23 F N2 O3",2.37,418.17026,419.17754,20.009,"sc012"
301,"(1R,9S)-11-(4-Fluorobenzoyl)-5-(4-methoxyphenyl)-7,11-diazatricyclo[7.3.1.02,7]trideca-2,4-dien-6-one","C25 H23 F N2 O3",2.37,418.17026,419.17754,19.459,"sc013"
416,"(1R,9S)-11-(4-Fluorobenzoyl)-5-(4-methoxyphenyl)-7,11-diazatricyclo[7.3.1.02,7]trideca-2,4-dien-6-one","C25 H23 F N2 O3",2.37,418.17026,419.17754,20.009,"sc014"
416,"(1R,9S)-11-(4-Fluorobenzoyl)-5-(4-methoxyphenyl)-7,11-diazatricyclo[7.3.1.02,7]trideca-2,4-dien-6-one","C25 H23 F N2 O3",2.37,418.17026,419.17754,20.009,"sc015"
416,"(1R,9S)-11-(4-Fluorobenzoyl)-5-(4-methoxyphenyl)-7,11-diazatricyclo[7.3.1.02,7]trideca-2,4-dien-6-one","C25 H23 F N2 O3",2.37,418.17026,419.17754,20.009,"sc016"
301,"(1R,9S)-11-(4-Fluorobenzoyl)-5-(4-methoxyphenyl)-7,11-diazatricyclo[7.3.1.02,7]trideca-2,4-dien-6-one","C25 H23 F N2 O3",2.37,418.17026,419.17754,19.459,"sc017"
301,"(1R,9S)-11-(4-Fluorobenzoyl)-5-(4-methoxyphenyl)-7,11-diazatricyclo[7.3.1.02,7]trideca-2,4-dien-6-one","C25 H23 F N2 O3",2.37,418.17026,419.17754,19.459,"sc018"
301,"(1R,9S)-11-(4-Fluorobenzoyl)-5-(4-methoxyphenyl)-7,11-diazatricyclo[7.3.1.02,7]trideca-2,4-dien-6-one","C25 H23 F N2 O3",2.37,418.17026,419.17754,19.459,"sc020"
301,"(1R,9S)-11-(4-Fluorobenzoyl)-5-(4-methoxyphenyl)-7,11-diazatricyclo[7.3.1.02,7]trideca-2,4-dien-6-one","C25 H23 F N2 O3",2.37,418.17026,419.17754,19.459,"sc023"
416,"(1R,9S)-11-(4-Fluorobenzoyl)-5-(4-methoxyphenyl)-7,11-diazatricyclo[7.3.1.02,7]trideca-2,4-dien-6-one","C25 H23 F N2 O3",2.37,418.17026,419.17754,20.009,"solution"
1831,"(1S,2S,4aR,7R,8aR)-1-[(3Z)-5-hydroxy-3-methylpent-3-en-1-yl]-2,5,5,8a-tetramethyl-decahydronaphthalene-2,7-diol","C20 H36 O3",0.08,324.26647,347.25569,20.163,"sc008"
1902,"(2-Nitro-1-propenyl)benzene","C9 H9 N O2",0.21,163.06336,164.07064,7.933,"sc003"
1902,"(2-Nitro-1-propenyl)benzene","C9 H9 N O2",0.21,163.06336,164.07064,7.933,"sc004"
1902,"(2-Nitro-1-propenyl)benzene","C9 H9 N O2",0.21,163.06336,164.07064,7.933,"sc007"
3151,"(2-Nitro-1-propenyl)benzene","C9 H9 N O2",-0.5,163.06325,164.07064,10.565,"sc008"
1015,"(2-Nitro-1-propenyl)benzene","C9 H9 N O2",0.2,163.06336,164.07064,5.86,"sc009"
1015,"(2-Nitro-1-propenyl)benzene","C9 H9 N O2",0.2,163.06336,164.07064,5.86,"sc015"
1902,"(2-Nitro-1-propenyl)benzene","C9 H9 N O2",0.21,163.06336,164.07064,7.933,"sc020"
3202,"(2-{[(1S,4S)-4-{3,5-Dimethyl-1-[4-(2-methyl-2-propanyl)phenyl]-1H-pyrazol-4-yl}-2-cyclopenten-1-yl]amino}-2-oxoethoxy)acetic acid","C24 H31 N3 O4",0.26,425.23157,426.23884,13.959,"sc003"
3202,"(2-{[(1S,4S)-4-{3,5-Dimethyl-1-[4-(2-methyl-2-propanyl)phenyl]-1H-pyrazol-4-yl}-2-cyclopenten-1-yl]amino}-2-oxoethoxy)acetic acid","C24 H31 N3 O4",0.26,425.23157,426.23884,13.959,"sc004"
3202,"(2-{[(1S,4S)-4-{3,5-Dimethyl-1-[4-(2-methyl-2-propanyl)phenyl]-1H-pyrazol-4-yl}-2-cyclopenten-1-yl]amino}-2-oxoethoxy)acetic acid","C24 H31 N3 O4",0.26,425.23157,426.23884,13.959,"sc007"
3202,"(2-{[(1S,4S)-4-{3,5-Dimethyl-1-[4-(2-methyl-2-propanyl)phenyl]-1H-pyrazol-4-yl}-2-cyclopenten-1-yl]amino}-2-oxoethoxy)acetic acid","C24 H31 N3 O4",0.26,425.23157,426.23884,13.959,"sc020"
2067,"(2E)-5-hydroxy-N-[3-(5-{3-[(2E)-5-hydroxy-3-methylpent-2-enamido]propyl}-3,6-dioxopiperazin-2-yl)propyl]-3-methylpent-2-enamide","C22 H36 N4 O6",-3,452.26213,475.25132,13.948,"sc020"
3363,"(2E,4E)-N-(2-methylpropyl)deca-2,4-dienamide","C14 H25 N O",0.51,223.19373,224.201,7.489,"sc003"
3363,"(2E,4E)-N-(2-methylpropyl)deca-2,4-dienamide","C14 H25 N O",0.51,223.19373,224.201,7.489,"sc004"
5410,"(2R)-1-(5-hydroxy-3-methylpentyl)-2,5,5,8a-tetramethyl-decahydronaphthalen-2-ol","C20 H38 O2",0.38,310.2873,333.27652,20.13,"sc010"
5410,"(2R)-1-(5-hydroxy-3-methylpentyl)-2,5,5,8a-tetramethyl-decahydronaphthalen-2-ol","C20 H38 O2",0.38,310.2873,333.27652,20.13,"sc014"
2520,"(2R)-N-[(2S)-1-Amino-3-cyclohexyl-1-oxo-2-propanyl]-1-(cyclohexylcarbonyl)-2-piperazinecarboxamide","C21 H36 N4 O3",-3.05,392.27754,415.26675,19.274,"sc003"
2520,"(2R)-N-[(2S)-1-Amino-3-cyclohexyl-1-oxo-2-propanyl]-1-(cyclohexylcarbonyl)-2-piperazinecarboxamide","C21 H36 N4 O3",-3.05,392.27754,415.26675,19.274,"sc004"
2520,"(2R)-N-[(2S)-1-Amino-3-cyclohexyl-1-oxo-2-propanyl]-1-(cyclohexylcarbonyl)-2-piperazinecarboxamide","C21 H36 N4 O3",-3.05,392.27754,415.26675,19.274,"sc007"
3334,"(2S,3R,4S,5S,6R)-2-{[(2R,3R,4S,5S,6R)-4,5-dihydroxy-2-[(3-hydroxy-6-methylheptyl)oxy]-6-(hydroxymethyl)oxan-3-yl]oxy}-6-(hydroxymethyl)oxane-3,4,5-triol","C20 H38 O12",0.34,470.23649,493.22579,10.908,"sc007"
3334,"(2S,3R,4S,5S,6R)-2-{[(2R,3R,4S,5S,6R)-4,5-dihydroxy-2-[(3-hydroxy-6-methylheptyl)oxy]-6-(hydroxymethyl)oxan-3-yl]oxy}-6-(hydroxymethyl)oxane-3,4,5-triol","C20 H38 O12",0.34,470.23649,493.22579,10.908,"sc013"
1566,"(2S,8R)-8-hydroxy-2-[(1S)-1-hydroxyheptyl]-3,4,5,6,7,8-hexahydro-2H-1-benzopyran-5-one","C16 H26 O4",0.71,282.18331,305.17258,15.538,"sc003"
1566,"(2S,8R)-8-hydroxy-2-[(1S)-1-hydroxyheptyl]-3,4,5,6,7,8-hexahydro-2H-1-benzopyran-5-one","C16 H26 O4",0.71,282.18331,305.17258,15.538,"sc004"
1566,"(2S,8R)-8-hydroxy-2-[(1S)-1-hydroxyheptyl]-3,4,5,6,7,8-hexahydro-2H-1-benzopyran-5-one","C16 H26 O4",0.71,282.18331,305.17258,15.538,"sc007"
1566,"(2S,8R)-8-hydroxy-2-[(1S)-1-hydroxyheptyl]-3,4,5,6,7,8-hexahydro-2H-1-benzopyran-5-one","C16 H26 O4",0.71,282.18331,305.17258,15.538,"sc020"
1319,"(3E)-3-(3-Oxo-1,3-dihydro-2H-indol-2-ylidene)-1,3-dihydro-2H-indol-2-one","C16 H10 N2 O2",0.43,262.07434,263.08162,13.018,"sc007"
1319,"(3E)-3-(3-Oxo-1,3-dihydro-2H-indol-2-ylidene)-1,3-dihydro-2H-indol-2-one","C16 H10 N2 O2",0.43,262.07434,263.08162,13.018,"sc008"
1319,"(3E)-3-(3-Oxo-1,3-dihydro-2H-indol-2-ylidene)-1,3-dihydro-2H-indol-2-one","C16 H10 N2 O2",0.43,262.07434,263.08162,13.018,"sc023"
9585,"(3E)-3-(3-Oxo-1,3-dihydro-2H-indol-2-ylidene)-1,3-dihydro-2H-indol-2-one_BTM03005","C16 H10 N2 O3",-4.38,278.06792,279.0752,5.336,"sc011"
9585,"(3E)-3-(3-Oxo-1,3-dihydro-2H-indol-2-ylidene)-1,3-dihydro-2H-indol-2-one_BTM03005","C16 H10 N2 O3",-4.38,278.06792,279.0752,5.336,"sc018"
