"peak_number","name","formula","calc_mw","m_z","rt_min","sample_location"
6986,"(+)-(6s)-Parasorbic Acid","C6 H8 O2",112.05257,113.05985,6.097,"lysimeter_control_op_260122"
7360,"(+)-2,5-Dimethoxyamphetamine","C11 H17 N O2",195.12593,196.1332,13.041,"thailand_sample_8"
979,"(+-)-alminoprofen","C13 H17 N O2",219.12602,220.13329,7.528,"landfill_eg_0_3y"
979,"(+-)-alminoprofen","C13 H17 N O2",219.12602,220.13329,7.528,"landfill_eg_3_10y"
3969,"(+-)-alminoprofen","C13 H17 N O2",219.12601,220.13329,8.251,"landfill_eg_y104"
979,"(+-)-alminoprofen","C13 H17 N O2",219.12602,220.13329,7.528,"landfill_op_y104"
979,"(+-)-alminoprofen","C13 H17 N O2",219.12602,220.13329,7.528,"lysimeter_control_eg_171221"
979,"(+-)-alminoprofen","C13 H17 N O2",219.12602,220.13329,7.528,"lysimeter_control_eg_250122"
5665,"(+-)-alminoprofen","C13 H17 N O2",219.12603,220.1333,6.912,"lysimeter_control_op_171221"
979,"(+-)-alminoprofen","C13 H17 N O2",219.12602,220.13329,7.528,"lysimeter_eg_03y_171221"
979,"(+-)-alminoprofen","C13 H17 N O2",219.12602,220.13329,7.528,"lysimeter_eg_03y_250122"
979,"(+-)-alminoprofen","C13 H17 N O2",219.12602,220.13329,7.528,"lysimeter_eg_0_3y_14062022"
4253,"(+-)-alminoprofen","C13 H17 N O2",219.12602,220.13329,14.154,"lysimeter_op_10y_140622"
4253,"(+-)-alminoprofen","C13 H17 N O2",219.12602,220.13329,14.154,"lysimeter_op_10y_171222"
883,"(+/-)-3,4-(Methylenedioxy)amphetamine","C10 H13 N O2",179.09466,180.10194,3.72,"landfill_eg_3_10y"
1064,"(+/-)-3,4-(Methylenedioxy)amphetamine","C10 H13 N O2",179.09466,180.10193,4.653,"landfill_eg_y104"
332,"(+/-)-3,4-(Methylenedioxy)amphetamine","C10 H13 N O2",179.09466,180.10194,2.235,"landfill_op_y104"
1064,"(+/-)-3,4-(Methylenedioxy)amphetamine","C10 H13 N O2",179.09466,180.10193,4.653,"lysimeter_control_eg_171221"
332,"(+/-)-3,4-(Methylenedioxy)amphetamine","C10 H13 N O2",179.09466,180.10194,2.235,"lysimeter_control_op_140622"
332,"(+/-)-3,4-(Methylenedioxy)amphetamine","C10 H13 N O2",179.09466,180.10194,2.235,"lysimeter_control_op_260122"
1703,"(+/-)-3,4-(Methylenedioxy)amphetamine","C10 H13 N O2",179.09466,180.10194,6.373,"lysimeter_eg_03y_171221"
1703,"(+/-)-3,4-(Methylenedioxy)amphetamine","C10 H13 N O2",179.09466,180.10194,6.373,"lysimeter_eg_03y_250122"
1703,"(+/-)-3,4-(Methylenedioxy)amphetamine","C10 H13 N O2",179.09466,180.10194,6.373,"lysimeter_eg_0_3y_14062022"
1816,"(+/-)-3,4-(Methylenedioxy)amphetamine","C10 H13 N O2",179.09466,180.10194,8.898,"lysimeter_eg_3_10y_171221"
4186,"(+/-)-3,4-(Methylenedioxy)amphetamine","C10 H13 N O2",179.09467,180.10194,17.453,"lysimeter_op_0_3y_171221"
1816,"(+/-)-3,4-(Methylenedioxy)amphetamine","C10 H13 N O2",179.09466,180.10194,8.898,"lysimeter_op_10y_171222"
332,"(+/-)-3,4-(Methylenedioxy)amphetamine","C10 H13 N O2",179.09466,180.10194,2.235,"thailand_sample_7"
332,"(+/-)-3,4-(Methylenedioxy)amphetamine","C10 H13 N O2",179.09466,180.10194,2.235,"thailand_sample_8"
896,"(+/-)5(6)-EET Ethanolamide","C22 H37 N O3",363.27738,364.28466,16.144,"landfill_eg_3_10y"
896,"(+/-)5(6)-EET Ethanolamide","C22 H37 N O3",363.27738,364.28466,16.144,"lysimeter_control_eg_171221"
896,"(+/-)5(6)-EET Ethanolamide","C22 H37 N O3",363.27738,364.28466,16.144,"lysimeter_eg_03y_171221"
3724,"(+/-)5(6)-EET Ethanolamide","C22 H37 N O3",363.27737,364.28465,15.022,"thailand_sample_7"
