"unique_id","sample_location","mean_group_area","mean_peak_rating","median_group_area","median_peak_rating","sd_group_area","sd_peak_rating","n_group_area","n_peak_rating","se_group_area","se_peak_rating"
"11-Nor-9-carboxy-delta-9-tetrahydrocannabinol_19.107","digesterA",12313250.1054711,7.05,12313250.1054711,7.05,3581945.71816704,0.919238815542512,2,2,2532818.10715803,0.65
"11-Nor-9-carboxy-delta-9-tetrahydrocannabinol_19.256","digesterD",30401957.9007513,5.75,30401957.9007513,5.75,14085883.2213423,0.636396103067893,2,2,9960223.54481295,0.45
"11-Nor-9-carboxy-delta-9-tetrahydrocannabinol_19.608","centrin",10597160.4710151,7.15,10597160.4710151,7.15,264384.023232453,0.777817459305203,2,2,186947.735665049,0.55
"11-Nor-9-carboxy-delta-9-tetrahydrocannabinol_21.046","digesterA",3242891.92258722,7.9,3242891.92258722,7.9,504880.561195532,0.424264068711928,2,2,357004.46851063,0.3
"11-Nor-9-carboxy-delta-9-tetrahydrocannabinol_21.046","digesterC",5942332.13390104,8.2,5942332.13390104,8.2,48538.89234974,0.424264068711928,2,2,34322.179931785,0.3
"11-Nor-9-carboxy-delta-9-tetrahydrocannabinol_21.046","digesterD",6006301.31528055,6.7,6006301.31528055,6.7,1379378.79322904,2.12132034355964,2,2,975368.09851717,1.5
"11-Nor-9-carboxy-delta-9-tetrahydrocannabinol_21.223","centrin",7407952.39248309,7.1,7407952.39248309,7.1,993181.36158755,1.13137084989848,2,2,702285.275726645,0.8
"11-Nor-9-carboxy-delta-9-tetrahydrocannabinol_21.223","olddry",5045180.65909389,6.4,5045180.65909389,6.4,781095.33383527,0.14142135623731,2,2,552317.80730809,0.1
"2,4-Di-tert-butylphenol_20.514","newdry",10096966.6234883,5.9,10096966.6234883,5.9,13135981.4558214,0.848528137423857,2,2,9288541.56495206,0.6
"2,4-Di-tert-butylphenol_20.571","digesterA",10232707.8664546,8.55,10232707.8664546,8.55,1347273.17316004,0.353553390593274,2,2,952665.99685218,0.25
"2,4-Di-tert-butylphenol_20.571","digesterC",12564973.87883,6.1,12564973.87883,6.1,7152886.71456032,0.282842712474619,2,2,5057854.70092477,0.2
"2,4-Di-tert-butylphenol_20.571","feedpump",4033392.13396863,8.7,4726692.45148493,8.7,1311081.58056357,0,3,3,756953.303467937,0
"2,4-Di-tert-butylphenol_20.571","newdry",16618774.7180525,5.7,16618774.7180525,5.7,3809760.1373431,0.282842712474619,2,2,2693907.2278095,0.2
"2,4-Di-tert-butylphenol_20.636","centrin",11623840.3889473,6.75,11623840.3889473,6.75,12299417.4384957,0.353553390593274,2,2,8697001.47540439,0.25
"2,4-Di-tert-butylphenol_20.746","centrin",9104994.23802331,6.75,9104994.23802331,6.75,4939909.06717888,1.34350288425444,2,2,3493043.19984709,0.95
"AB-001_20.591","newdry",3834200.38845565,7.65,3834200.38845565,7.65,1117748.53507438,0.777817459305202,2,2,790367.568812425,0.55
"APP-FUBINACA_10.246","digesterC",21759161.9002004,6.4,21759161.9002004,6.4,6721964.18207165,1.5556349186104,2,2,4753146.45603595,1.1
"Cannabidiolic acid_16.797","centrin",14757395.7693183,6.25,14757395.7693183,6.25,6787089.99520875,1.06066017177982,2,2,4799197.36013548,0.75
"Cannabidiolic acid_16.797","newdry",41740998.5282809,7.8,44567810.7372927,7.8,6326688.5702403,1.1,3,3,3652715.34910717,0.635085296108588
"Cannabidiolic acid_17.677","newdry",12254189.4792069,6.63333333333333,13489125.3802643,7.2,3522364.21810555,1.25033328890074,3,3,2033637.92950714,0.721880260923591
"Cannabigerol_17.407","digesterD",2853329.46347681,7.1,2853329.46347681,7.1,1142650.75755857,1.5556349186104,2,2,807976.09919761,1.1
"Cannabigerol_17.749","newdry",18534415.1596768,8.2,18079801.9323282,8,1191778.37597096,0.818535277187245,3,3,688073.566181209,0.472581562625261
"Cannabigerol_18.531","digesterC",61169965.4691812,7.85,61169965.4691812,7.85,16125439.0100649,2.33345237791561,2,2,11402407.273627,1.65
"Cannabigerol_18.531","digesterD",35080931.1508164,9.3,35080931.1508164,9.3,13618268.4470023,0.989949493661167,2,2,9629569.96689415,0.7
"Cannabigerol_19.199","centrin",35950392.1292371,7.7,35950392.1292371,7.7,11413998.8229922,0.989949493661167,2,2,8070915.96819305,0.7
"Cannabigerol_20.476","digesterD",5919597.40616016,6.3,5919597.40616016,6.3,317696.352410096,0,2,2,224645.24514741,0
"Cannabigerol_20.476","newdry",8419573.65777769,7,8419573.65777769,7,3369769.48444026,1.27279220613579,2,2,2382786.8534832,0.9
"Cannabigerol_23.624","olddry",8425396.14570498,7.55,8425396.14570498,7.55,3094529.67235093,1.06066017177982,2,2,2188162.91590232,0.75
"Cannabigerolic acid_17.49","digesterD",20201521.7340032,7.6,20201521.7340032,7.6,12962562.9855073,2.12132034355964,2,2,9165916.18860995,1.5
"Cannabigerolic acid_17.754","newdry",5741878.44407498,6.95,5741878.44407498,6.95,1756200.19057983,0.636396103067893,2,2,1241821.06388011,0.45
"Cannabigerolic acid_18.037","centrin",42736886.6292152,7.65,42736886.6292152,7.65,34469787.6063142,1.76776695296637,2,2,24373820.5624848,1.25
"Cannabigerolic acid_18.273","newdry",36526206.9400344,7.53333333333333,34293689.0999981,8,7068074.35362072,1.65025250593154,3,3,4080754.63071522,0.95277372853043
"Cannabigerolic acid_18.405","newdry",23071280.6619382,5.96666666666667,27098483.0522645,5.9,8435732.93307358,0.115470053837925,3,3,4870372.67972182,0.0666666666666664
"Cannabinol monomethyl ether_18.752","newdry",47450631.5270107,9.43333333333333,38533138.2610729,9.5,42703133.7215877,0.60277137733417,3,3,24654665.7493992,0.348010216963685
"Cannabinol monomethyl ether_18.752","olddry",4163294.16731146,8.85,4163294.16731146,8.85,3211523.02599809,0.212132034355965,2,2,2270889.70961999,0.15
"Cannabinol monomethyl ether_22.249","digesterA",9252931.27072608,5.8,9252931.27072608,5.8,281768.136260593,0.424264068711928,2,2,199240.15987216,0.3
"Delta 9 Tetrahydrocannabinol (THC)_17.617","centrin",6481887.85837138,9,6481887.85837138,9,1913457.11230576,0,2,2,1353018.49962103,0
"Delta 9 Tetrahydrocannabinol (THC)_17.617","digesterD",8945770.50895754,7.4,8945770.50895754,7.4,8199599.28922452,1.97989898732233,2,2,5797992.26042305,1.4
"Delta 9 Tetrahydrocannabinol (THC)_18.272","newdry",19059990.2085025,6.15,19059990.2085025,6.15,3969667.68604079,1.20208152801713,2,2,2806978.93985655,0.85
"Delta 9 Tetrahydrocannabinol (THC)_19.079","newdry",43623192.5693583,9.3,38542582.9701437,9.5,10436269.6771564,0.346410161513775,3,3,6025383.10744177,0.2
"Delta 9 Tetrahydrocannabinol (THC)_21.116","olddry",3528062.84325152,6.5,3528062.84325152,6.5,368898.026757345,0,2,2,260850.296286455,0
"Delta 9 Tetrahydrocannabinol (THC)_22.115","centrin",6015772.35087762,5.8,6015772.35087762,5.8,893716.827777627,0,2,2,631953.22938209,0
"Delta 9 Tetrahydrocannabinol (THC)_22.115","digesterA",8955626.95866107,6.6,8955626.95866107,6.6,309628.023103061,0,2,2,218940.074781559,0
"Delta 9 Tetrahydrocannabinol (THC)_22.115","digesterB",9142525.06346939,6.45,9142525.06346939,6.45,1090343.1136407,0.212132034355964,2,2,770989.00947539,0.15
"Delta 9 Tetrahydrocannabinol (THC)_22.115","newdry",8616865.01998996,6.16666666666667,8549270.09927213,6.1,757456.20933382,0.115470053837925,3,3,437317.546358235,0.0666666666666667
"Delta 9 Tetrahydrocannabinol (THC)_22.653","centrin",6734113.71792964,7.03333333333333,6558471.22175056,7.4,1335470.11721176,1.09696551146029,3,3,771034.031666911,0.633333333333334
"Delta 9 Tetrahydrocannabinol (THC)_22.653","digesterB",12402175.8222842,6.05,12402175.8222842,6.05,2450208.02836456,0.777817459305202,2,2,1732558.7121743,0.55
"Delta 9 Tetrahydrocannabinol (THC)_22.653","digesterC",8251061.10939763,6.2,8251061.10939763,6.2,1760107.85162804,0.14142135623731,2,2,1244584.19750587,0.1
