"unique_id","sample_location","mean_group_area","mean_peak_rating","median_group_area","median_peak_rating","sd_group_area","sd_peak_rating","n_group_area","n_peak_rating","se_group_area","se_peak_rating"
"(3E)-3-(3-Oxo-1,3-dihydro-2H-indol-2-ylidene)-1,3-dihydro-2H-indol-2-one_BTM03005_10.755","feedpump",10851771.7303474,5.86666666666667,11066009.349282,5.5,1649731.08605204,0.635085296108588,3,3,952472.68662264,0.366666666666667
"4'-Deoxycirramycin�A1_BTM02228_15.423","olddry",12224315.3702144,6.35,12224315.3702144,6.35,1641272.19279619,0.353553390593274,2,2,1160554.6972991,0.25
"6-Allyl-o-cresol_18.702","digesterA",12188048.7794304,6.05,12188048.7794304,6.05,295677.927851949,0.777817459305202,2,2,209075.8678313,0.55
"6-Allyl-o-cresol_18.702","digesterB",8818726.81037313,5.95,8818726.81037313,5.95,2750917.27484847,0.212132034355964,2,2,1945192.25952857,0.15
"6-Allyl-o-cresol_18.702","olddry",1736167.09740985,8.7,1736167.09740985,8.7,60161.8530125042,0,2,2,42540.8542338901,0
"Agroclavine_BTM03062_18.235","digesterC",29286731.7874656,5.75,29286731.7874656,5.75,9900640.6761042,0.919238815542512,2,2,7000810.16016465,0.65
"Agroclavine_BTM03062_18.588","newdry",9828269.86302027,7.25,9828269.86302027,7.25,11596898.751707,1.06066017177982,2,2,8200245.74806583,0.75
"Agroclavine_BTM03062_19.686","digesterA",28239350.916113,7.4,28239350.916113,7.4,7825323.97215853,2.40416305603426,2,2,5533339.64569495,1.7
"Benzylsulfanilamide_BTM04684_19.985","digesterB",6247009.67374413,5.5,6247009.67374413,5.5,446919.013381776,0.424264068711928,2,2,316019.465003455,0.3
"Benzylsulfanilamide_BTM04684_20.91","centrin",27445255.5913972,7.5,29269251.8448221,7.5,3769032.17724729,0.5,3,3,2176051.74211809,0.288675134594813
"Benzylsulfanilamide_BTM04684_20.91","digesterA",24059185.2228416,7,24059185.2228416,7,2680484.74678171,0,2,2,1895388.94131645,0
"Benzylsulfanilamide_BTM04684_20.91","digesterB",21952374.9320741,7,21952374.9320741,7,731890.382839461,0,2,2,517524.652791001,0
"Benzylsulfanilamide_BTM04684_20.91","digesterC",20719899.4559513,7,20719899.4559513,7,644039.603085076,0,2,2,455404.77069415,0
"Benzylsulfanilamide_BTM04684_20.91","digesterD",28929738.2649703,7.15,28929738.2649703,7.15,11971302.8459764,0.212132034355964,2,2,8464989.42202775,0.15
"Benzylsulfanilamide_BTM04684_20.91","feedpump",46579106.3785822,7.55,46579106.3785822,7.55,7765895.88316456,0.353553390593274,2,2,5491317.64097435,0.25
"Benzylsulfanilamide_BTM04684_20.91","newdry",17323438.0643514,8.4,17216614.2945661,9.1,1412715.87195134,1.21243556529821,3,3,815631.888959561,0.7
"Benzylsulfanilamide_BTM04684_20.91","olddry",22372245.8592938,7.6,25262884.9877657,7.5,7865583.42548282,0.6557438524302,3,3,4541196.70803596,0.378593889720018
"Bestatin/Ubenimex_BTM03524_14.2","digesterA",7591811.72568921,6.55,7591811.72568921,6.55,1108985.382731,0.353553390593274,2,2,784171.08436585,0.25
"Bestatin/Ubenimex_BTM03524_14.2","digesterC",7151047.7806661,6.6,7151047.7806661,6.6,677686.65507422,1.13137084989848,2,2,479196.82932261,0.8
"Carvedilol_14.27","olddry",7593009.72658825,6.85,7593009.72658825,6.85,354494.171383841,0.777817459305203,2,2,250665.23247662,0.55
