"unique_id","sample_location","mean_group_area","mean_peak_rating","median_group_area","median_peak_rating","sd_group_area","sd_peak_rating","n_group_area","n_peak_rating","se_group_area","se_peak_rating"
"(2-Nitro-1-propenyl)benzene_10.565","sc007",2941701.10379868,7,2941701.10379868,7,126563.498994086,1.13137084989848,2,2,89493.9083894149,0.8
"(2-Nitro-1-propenyl)benzene_10.565","sc008",275402.902001717,6,275402.902001717,6,10824.4848410897,1.13137084989848,2,2,7654.06663398549,0.8
"(2-Nitro-1-propenyl)benzene_10.713","sc007",2784115.80872963,7.3,2784115.80872963,7.3,103559.218601824,0,2,2,73227.4257277301,0
"(2-Nitro-1-propenyl)benzene_11.916","sc007",2186042.48452379,7.3,2186042.48452379,7.3,199735.150279071,1.5556349186104,2,2,141234.079203645,1.1
"(2-Nitro-1-propenyl)benzene_12.046","sc008",1147127.59226798,5.3,1147127.59226798,5.3,271110.6251897,0,2,2,191704.161523361,0
"(2-Nitro-1-propenyl)benzene_5.86","sc009",8437818.21664616,8.4,8437818.21664616,8.4,188290.07604403,0,2,2,133141.189600864,0
"(2-Nitro-1-propenyl)benzene_6.745","sc003",2154289.21662762,5.95,2154289.21662762,5.95,138608.992912766,0.353553390593274,2,2,98011.358822055,0.25
"(2-Nitro-1-propenyl)benzene_6.745","sc007",4248427.92064193,6.2,4248427.92064193,6.2,84225.6025249572,0.707106781186548,2,2,59556.49469492,0.5
"(2-Nitro-1-propenyl)benzene_7.933","sc003",2595007.05454965,7,2595007.05454965,7,267168.309098835,1.13137084989848,2,2,188916.52308193,0.8
"(2-Nitro-1-propenyl)benzene_7.933","sc007",4457504.11238039,8.65,4457504.11238039,8.65,716187.717565428,1.20208152801713,2,2,506421.19169303,0.85
"(2-Nitro-1-propenyl)benzene_7.933","sc020",1115554.21045512,7.25,1115554.21045512,7.25,38896.0563645959,1.90918830920368,2,2,27503.66521682,1.35
"(2-Nitro-1-propenyl)benzene_8.802","sc007",3059198.84293582,7.55,3059198.84293582,7.55,121099.810849465,1.20208152801713,2,2,85630.4974520651,0.85
"(3E)-3-(3-Oxo-1,3-dihydro-2H-indol-2-ylidene)-1,3-dihydro-2H-indol-2-one_BTM03005_5.336","sc011",179675.604516677,6.65,179675.604516677,6.65,19772.5392894429,0.212132034355964,2,2,13981.2966128425,0.15
"(3E)-3-(3-Oxo-1,3-dihydro-2H-indol-2-ylidene)-1,3-dihydro-2H-indol-2-one_BTM03005_5.336","sc18",147706.427667481,6.8,147706.427667481,6.8,30768.7861513503,0.424264068711928,2,2,21756.8173364985,0.3
"4,5-Methylenedioxy-2-aminoindane_5.145","sc009",938956.719042304,6.7,938956.719042304,6.7,14153.2535740839,1.13137084989848,2,2,10007.8615780875,0.8
"4,5-Methylenedioxy-2-aminoindane_5.983","sc002",804629.569453584,6.45,804629.569453584,6.45,1030.91793352592,0.777817459305202,2,2,728.969061643002,0.55
"4,5-Methylenedioxy-2-aminoindane_5.983","sc023",1728817.4838635,5.9,1728817.4838635,5.9,125766.368172961,1.13137084989848,2,2,88930.251780305,0.8
"4,5-Methylenedioxy-2-aminoindane_9.02","sc009",1505545.52984683,7.9,1505545.52984683,7.9,217486.605313736,0.14142135623731,2,2,153786.253434585,0.1
"4-Epianhydrotetracycline_BTM04992_14.729","sc15",547472.897476292,8,547472.897476292,8,97601.3008471025,0.424264068711929,2,2,69014.5416816145,0.3
"6-Allyl-o-cresol_20.076","sc020",2067295.30308959,6.2,2067295.30308959,6.2,39319.9037065803,0,2,2,27803.370546525,0
"7-hydroxy-staurosporine_19.074","sc003",6724404.2253587,9.2,6724404.2253587,9.2,155452.330162891,0.424264068711928,2,2,109921.39680943,0.3
"7-hydroxy-staurosporine_19.074","sc007",9497368.59477038,8.4,9497368.59477038,8.4,772685.327280687,1.5556349186104,2,2,546371.034643521,1.1
"7-hydroxy-staurosporine_19.074","sc020",6240205.0880657,8.65,6240205.0880657,8.65,46579.0355264194,1.20208152801713,2,2,32936.3518818603,0.85
"7-hydroxy-staurosporine_19.074","sc023",1022410.24069985,8.05,1022410.24069985,8.05,30451.3839315301,0.777817459305202,2,2,21532.3800745,0.55
"7-hydroxy-staurosporine_19.074","sc16",184220.909695264,7.1,184220.909695264,7.1,5642.80282032587,0.424264068711929,2,2,3990.064139151,0.3
"8-Hydroxyquinoline_BTM04160_5.911","sc013",1381781.04898992,6.7,1381781.04898992,6.7,47485.352638192,0.424264068711928,2,2,33577.2148575,0.3
"8-Hydroxyquinoline_BTM04160_6.567","sc007",2700490.17451867,7.05,2700490.17451867,7.05,476698.468197561,1.90918830920368,2,2,337076.719443735,1.35
"8-Hydroxyquinoline_BTM04160_9.293","sc003",3732471.00869326,8.1,3732471.00869326,8.1,81445.5249788173,1.13137084989848,2,2,57590.6830098201,0.8
"8-Hydroxyquinoline_BTM04160_9.293","sc008",899276.489495016,5.85,899276.489495016,5.85,126450.398309168,0.777817459305203,2,2,89413.9341281525,0.55
