"unique_id","sample_location","mean_group_area","mean_peak_rating","median_group_area","median_peak_rating","sd_group_area","sd_peak_rating","n_group_area","n_peak_rating","se_group_area","se_peak_rating"
"4-Epianhydrotetracycline_18.118","digesterB",131005570.787103,6.45,131005570.787103,6.45,30959127.2488895,0.353553390593274,2,2,21891408.817307,0.25
"8-Hydroxychinolin_10.523","newdry",22902411.3342375,5.6,22902411.3342375,5.6,9010649.42724872,0.424264068711929,2,2,6371491.31290225,0.3
"8-Hydroxychinolin_11.007","centrin",17206051.94271,6.5,16530110.9559188,6.4,3275889.08121548,0.458257569495584,3,3,1891335.44287511,0.264575131106459
"8-Hydroxychinolin_11.007","digesterC",19951040.3897564,6.7,19951040.3897564,6.7,491662.575922787,0.424264068711928,2,2,347657.941490648,0.3
"8-Hydroxychinolin_11.007","digesterD",33704531.5704252,5.75,33704531.5704252,5.75,17342367.6132857,0.919238815542512,2,2,12262905.7411842,0.65
"8-Hydroxychinolin_11.007","feedpump",26594917.8093157,6.23333333333333,25016475.2618997,6.4,3718122.06955035,0.288675134594813,3,3,2146658.77773478,0.166666666666667
"8-Hydroxychinolin_11.007","newdry",58346075.6058744,6.9,62177381.5633496,6.7,11242624.8298344,0.346410161513775,3,3,6490932.47190285,0.2
"8-Hydroxychinolin_11.007","olddry",26029064.0051674,6.6,26913583.7079428,6.4,5508620.00798871,0.346410161513775,3,3,3180403.24447564,0.2
"8-Hydroxychinolin_6.775","feedpump",43521506.1914994,6.2,43521506.1914994,6.2,11731481.4969897,1.5556349186104,2,2,8295410.11988595,1.1
"Azithromycin_18.928","newdry",13679652.266101,8.1,13679652.266101,8.1,14683870.1342469,0.848528137423857,2,2,10383064.1459886,0.6
"Cefrotil_13.291","olddry",16647507.3011549,6.95,16647507.3011549,6.95,2238860.22521561,0.777817459305202,2,2,1583113.2473788,0.55
"Ciprofloxacin_11.652","centrin",58682746.8047845,6.45,58682746.8047845,6.45,695702.655076391,0.353553390593274,2,2,491936.065094002,0.25
"Ciprofloxacin_12.312","digesterA",118288279.200886,6.7,118288279.200886,6.7,9000051.44790864,0,2,2,6363997.409844,0
"Ciprofloxacin_12.312","newdry",67128198.3401467,6.5,67128198.3401467,6.5,27743367.4481091,1.13137084989848,2,2,19617523.2555081,0.8
"Clarithromycin_19.488","centrin",3805921.81637717,7.46666666666667,4258647.22521354,7.1,1106653.96145386,0.635085296108588,3,3,638926.962545153,0.366666666666667
"Cryptotanshinone_21.39","centrin",119983941.224184,8.2,112182736.830527,8.4,14399149.7941413,0.346410161513776,3,3,8313353.00974923,0.2
"Cryptotanshinone_21.39","digesterA",352239468.590769,8.4,352239468.590769,8.4,3910193.88296188,0,2,2,2764924.6103965,0
"Cryptotanshinone_21.39","digesterB",151694937.519902,8.4,151694937.519902,8.4,47431584.4223325,0,2,2,33539194.9874535,0
"Cryptotanshinone_21.39","digesterC",207432052.862477,8.95,207432052.862477,8.95,59626333.0138392,0.777817459305202,2,2,42162184.411373,0.55
"Cryptotanshinone_21.39","digesterD",80684198.6341991,7.8,80684198.6341991,7.8,16018001.7229858,0,2,2,11326437.639381,0
"Cryptotanshinone_21.39","feedpump",5486783.86887582,7.63333333333333,5617622.01785439,7.9,702634.481543294,0.461880215351701,3,3,405666.207060934,0.266666666666667
"Cryptotanshinone_21.39","newdry",243880042.331996,7.83333333333333,237083747.44139,7.8,106863841.85621,0.55075705472861,3,3,61697867.8623202,0.317979733805649
"Cryptotanshinone_21.39","olddry",228875431.33353,8.2,223270903.937072,8.4,31984319.8477051,0.346410161513776,3,3,18466155.6739196,0.2
"Erythromycin_23.894","centrin",39547047.4198002,8.56666666666667,36716298.0611977,8.4,4903251.07860525,0.288675134594813,3,3,2830893.33013706,0.166666666666667
"Erythromycin_23.894","digesterA",40763170.7194148,9,40763170.7194148,9,12430295.6259739,0.141421356237309,2,2,8789546.32927965,0.0999999999999996
"Erythromycin_23.894","digesterB",46071228.4502233,8.1,46071228.4502233,8.1,197978.446031852,1.97989898732233,2,2,139991.901717898,1.4
"Erythromycin_23.894","digesterC",23916924.3412539,9.4,23916924.3412539,9.4,12513058.952168,0.424264068711928,2,2,8848068.83846505,0.3
"Erythromycin_23.894","feedpump",22745131.4432285,7.66666666666667,21773714.7506156,8,2260103.42720108,0.577350269189626,3,3,1304871.32209094,0.333333333333333
"Erythromycin_23.894","newdry",36398200.5274432,8.8,33097560.5726132,8.9,7960756.28120524,0.754983443527075,3,3,4596144.78190685,0.435889894354067
"Erythromycin_23.894","olddry",58436545.7990375,8.93333333333333,58148343.9628375,8.9,2666705.80987099,0.55075705472861,3,3,1539623.31717855,0.317979733805648
"Hyperforin_24.381","olddry",18151085.6674797,6.66666666666667,18444093.5381826,6.4,4682559.39041981,0.737111479583199,3,3,2703476.92455529,0.425571511160124
"Kalafungin_16.402","feedpump",10101715.4529358,6.6,10101715.4529358,6.6,1501463.26868123,1.5556349186104,2,2,1061694.85898701,1.1
"Ketoconazole_15.689","olddry",23394877.4013438,7.86666666666667,23878538.3767612,8,5870657.43400036,0.808290376865476,3,3,3389425.64984018,0.466666666666667
"Ketoconazole_17.404","feedpump",107961425.863262,8.65,107961425.863262,8.65,25993055.9591217,1.20208152801713,2,2,18379866.1324564,0.85
"Ketoconazole_17.952","olddry",95775010.4964083,8.65,95775010.4964083,8.65,4245898.22986372,0.353553390593274,2,2,3002303.4305646,0.25
"Ketoconazole_18.053","centrin",53884512.7849947,8.73333333333333,52343371.6338772,8.9,2871428.72361832,1.35769412362775,3,3,1657820.14653986,0.783865067753657
"Ketoconazole_18.053","digesterD",37030064.4023881,6.95,37030064.4023881,6.95,38094120.2736182,0.353553390593274,2,2,26936610.7688113,0.25
"Ketoconazole_18.053","feedpump",16425576.4368499,7.5,16425576.4368499,7.5,1547855.04910545,0,2,2,1094498.8015163,0
"Ketoconazole_18.053","newdry",8619115.52643974,9.03333333333333,9463753.79445967,9.3,1963211.2347256,0.461880215351701,3,3,1133460.53484492,0.266666666666667
"Ketoconazole_19.217","digesterA",41680688.3121331,8.85,41680688.3121331,8.85,44658700.5913291,0.636396103067893,2,2,31578470.0271084,0.45
"Ketoconazole_19.217","digesterB",25434725.1731909,9.4,25434725.1731909,9.4,10662489.697051,0.424264068711928,2,2,7539518.76911645,0.3
"Miconazole_20.536","centrin",18654370.4068794,7.86666666666667,18119394.1204581,8,2102579.47922235,0.808290376865476,3,3,1213924.82832161,0.466666666666667
"Miconazole_20.536","digesterA",29678980.17908,7.75,29678980.17908,7.75,4873.85838899293,0.353553390593274,2,2,3446.33831739984,0.25
"Miconazole_20.536","digesterB",27730672.4416064,8.85,27730672.4416064,8.85,2369576.08436782,0.353553390593274,2,2,1675543.31779395,0.25
"Miconazole_20.536","digesterC",13434887.8568943,8.15,13434887.8568943,8.15,4605177.71626796,0.919238815542512,2,2,3256352.39174225,0.65
"Miconazole_20.536","digesterD",12121186.5623546,7.2,12121186.5623546,7.2,243717.565132549,0,2,2,172334.342999499,0
"Miconazole_20.536","feedpump",2831124.80811775,8,2337793.86995928,8.2,1019204.91069328,0.346410161513775,3,3,588438.229548151,0.2
"Miconazole_20.536","newdry",17254336.1096691,7.8,13722365.2642053,7.7,6125062.49785775,0.173205080756888,3,3,3536306.48194146,0.0999999999999999
"Miconazole_20.536","olddry",18028292.3607022,8.06666666666667,17005560.5301264,8.6,3439650.32805104,0.923760430703401,3,3,1985883.04281845,0.533333333333333
"Pirarubicin_14.727","olddry",9322266.05222116,6.75,9322266.05222116,6.75,5647088.00710481,1.34350288425444,2,2,3993094.22378103,0.95
"Pirarubicin_16.734","olddry",20638301.7157689,8,20638301.7157689,8,468716.391403919,0,2,2,331432.538814999,0
"Pirlimycin_22.416","centrin",10979070.6150348,7.93333333333333,10829272.2433309,8.3,824837.32049208,0.635085296108589,3,3,476220.049023752,0.366666666666667
"Pirlimycin_22.416","digesterA",18236776.5227982,8,18236776.5227982,8,2050087.59583344,0,2,2,1449630.84104025,0
"Pirlimycin_22.416","digesterB",14474058.8565792,7.85,14474058.8565792,7.85,419038.103129122,0.212132034355964,2,2,296304.68429815,0.15
"Pirlimycin_22.416","digesterC",12114815.3744272,8.3,12114815.3744272,8.3,1593519.31293837,0,2,2,1126788.31213045,0
"Pirlimycin_22.416","digesterD",11813490.8236894,8.55,11813490.8236894,8.55,944132.57102745,0.353553390593274,2,2,667602.5433126,0.25
"Pirlimycin_22.416","feedpump",5607112.90571409,7.73333333333333,5536599.29063886,7.9,438210.412271925,0.288675134594813,3,3,253000.899486893,0.166666666666667
"Pirlimycin_22.416","newdry",13965340.0189359,8,13718827.7017568,8,2146461.0354723,0.3,3,3,1239259.85663497,0.173205080756888
"Pirlimycin_22.416","olddry",15676365.1316292,8.46666666666667,15757600.3023231,8.6,972774.617983395,0.416333199893227,3,3,561631.687553549,0.240370085030933
"Pirlimycin_22.542","centrin",6845971.19171419,6.8,6820682.42268964,6.8,412511.906883307,0,3,3,238163.860483003,0
"Pirlimycin_22.542","digesterA",11714645.4633968,7.15,11714645.4633968,7.15,289006.977444523,0.777817459305203,2,2,204358.79356125,0.55
"Pirlimycin_22.542","digesterB",8890420.75356035,6.75,8890420.75356035,6.75,702394.406815516,0.919238815542512,2,2,496667.848126754,0.65
"Pirlimycin_22.542","digesterC",7963052.81312775,6.75,7963052.81312775,6.75,1269323.40896172,1.34350288425444,2,2,897547.18999566,0.95
"Pirlimycin_22.542","digesterD",8510949.87621808,7.55,8510949.87621808,7.55,136640.569394653,0.212132034355964,2,2,96619.4732041499,0.15
"Pirlimycin_22.542","newdry",9510310.95651408,7.03333333333333,9372938.06241999,6.8,1372777.15243482,0.585946527708232,3,3,792573.258495614,0.338296385503074
"Pirlimycin_22.542","olddry",10431942.8716632,7.53333333333333,10070500.7020255,7.7,1459205.29845582,0.288675134594813,3,3,842472.571866395,0.166666666666667
"Pirlimycin_22.633","digesterA",9163312.92618389,7.55,9163312.92618389,7.55,1018119.24269013,0.212132034355964,2,2,719919.020562706,0.15
"Rhodomycin A_21.955","centrin",5861911.61327959,6.93333333333333,5657801.44922523,7.4,1350692.57677423,0.98657657246325,3,3,779822.722793028,0.569600249687836
"Rhodomycin A_21.955","digesterC",5456500.00128389,7.65,5456500.00128389,7.65,57837.3566320253,0.353553390593274,2,2,40897.1870804098,0.25
"Rhodomycin A_21.955","digesterD",7981840.62250751,8.4,7981840.62250751,8.4,1145225.66484827,0.141421356237309,2,2,809796.833603084,0.0999999999999996
"Rhodomycin A_21.955","feedpump",11139766.1790198,8.8,11262622.4001211,8.8,1362424.55015154,0,3,3,786596.180780547,0
"Rhodomycin A_21.955","newdry",5416686.30752356,8.2,5080410.87181069,8.5,1699546.57228022,0.7,3,3,981233.671006288,0.404145188432738
"Tetracycline_17.28","digesterA",121041611.427802,6.7,121041611.427802,6.7,12806263.5891297,0,2,2,9055395.825536,0
"Ubenimex_12.048","centrin",7532075.08972341,6.75,7532075.08972341,6.75,1934504.35275437,0.636396103067893,2,2,1367901.1460675,0.45
"Xibornol_22.365","centrin",38387380.2779155,8.36666666666667,37480261.3766004,8.4,3043257.57154733,0.55075705472861,3,3,1757025.57814622,0.317979733805649
"Xibornol_22.365","digesterA",98414569.7273163,9.2,98414569.7273163,9.2,8420376.17900732,0.424264068711928,2,2,5954105.09631775,0.3
"Xibornol_22.365","digesterB",77158541.4565421,8.9,77158541.4565421,8.9,7716679.65438924,0,2,2,5456516.5118629,0
"Xibornol_22.365","digesterC",47651563.5801092,8.65,47651563.5801092,8.65,5977002.67937836,0.353553390593274,2,2,4226379.1257586,0.25
"Xibornol_22.365","digesterD",42015301.0285787,8.4,42015301.0285787,8.4,6319429.5457268,0,2,2,4468511.48501405,0
"Xibornol_22.365","feedpump",13901177.2816291,8.4,14335244.5569205,8.3,1867890.37039783,0.173205080756887,3,3,1078427.0081659,0.0999999999999997
"Xibornol_22.365","newdry",53953866.2045218,8.9,51356249.4107867,8.9,7853767.81391129,0,3,3,4534374.9615145,0
"Xibornol_22.365","olddry",67515930.1809331,8.73333333333333,62358812.365856,8.9,9536440.34911678,0.288675134594813,3,3,5505866.40267338,0.166666666666667
"Xibornol_22.52","olddry",13955991.7112274,6.2,14061994.8990812,6.1,1352188.45146021,0.953939201416946,3,3,780686.366445656,0.55075705472861
