"unique_id","sample_location","mean_group_area","mean_peak_rating","median_group_area","median_peak_rating","sd_group_area","sd_peak_rating","n_group_area","n_peak_rating","se_group_area","se_peak_rating"
"(+/-)-3,4-(Methylenedioxy)amphetamine_2.217","sc009",4333758.10423023,5.7,4333758.10423023,5.7,165460.184845178,0,2,2,116998.018720405,0
"(+/-)-3,4-(Methylenedioxy)amphetamine_8.403","sc014",1883819.0665546,6.75,1883819.0665546,6.75,189886.143190504,2.33345237791561,2,2,134269.779503365,1.65
"(3E)-3-(3-Oxo-1,3-dihydro-2H-indol-2-ylidene)-1,3-dihydro-2H-indol-2-one_11.043","sc008",317969.978327971,7.65,317969.978327971,7.65,3426.36449323603,1.20208152801713,2,2,2422.805567984,0.85
"(3E)-3-(3-Oxo-1,3-dihydro-2H-indol-2-ylidene)-1,3-dihydro-2H-indol-2-one_13.018","sc007",448593.28917163,7.75,448593.28917163,7.75,17232.6247688541,0.777817459305203,2,2,12185.3058317,0.55
"(3E)-3-(3-Oxo-1,3-dihydro-2H-indol-2-ylidene)-1,3-dihydro-2H-indol-2-one_13.018","sc008",810768.599326254,7.2,810768.599326254,7.2,143426.847398235,1.13137084989848,2,2,101418.0963995,0.8
"(3E)-3-(3-Oxo-1,3-dihydro-2H-indol-2-ylidene)-1,3-dihydro-2H-indol-2-one_13.018","sc023",1017717.37825403,6.65,1017717.37825403,6.65,287204.243454593,1.90918830920368,2,2,203084.068132295,1.35
"2,3-Dihydroxybenzoic acid_9.348","sc009",2749499.66917721,8.1,2749499.66917721,8.1,128500.947946196,1.13137084989848,2,2,90863.8916816551,0.8
"2,3-Dihydroxybenzoic acid_9.591","sc009",2750333.83546912,7.25,2750333.83546912,7.25,979395.129238135,0.777817459305202,2,2,692536.93734536,0.55
"4,5-Methylenedioxy-2-aminoindane_5.145","sc009",938956.719042304,6.7,938956.719042304,6.7,14153.2535740839,1.13137084989848,2,2,10007.8615780875,0.8
"4,5-Methylenedioxy-2-aminoindane_5.983","sc002",804629.569453584,6.45,804629.569453584,6.45,1030.91793352592,0.777817459305202,2,2,728.969061643002,0.55
