"unique_id","sample_location","mean_group_area","mean_peak_rating","median_group_area","median_peak_rating","sd_group_area","sd_peak_rating","n_group_area","n_peak_rating","se_group_area","se_peak_rating"
"(+)-CP 47,497_22.932","digesterD",16850645.3923474,6.55,16850645.3923474,6.55,5317841.14303978,0.636396103067893,2,2,3760281.53351625,0.45
"(+)-ar-Turmerone_21.242","feedpump",873961.990276285,6.5,873217.33215188,5.4,371014.876478331,1.90525588832576,3,3,214205.53880812,1.1
"(+)-ar-Turmerone_21.242","newdry",7665758.43177334,6.06666666666667,6512491.05608628,5.8,2247208.40518787,0.4618802153517,3,3,1297426.37766041,0.266666666666667
"(+)-ar-Turmerone_21.242","olddry",9092032.20033231,6.45,9092032.20033231,6.45,2119354.70597041,1.76776695296637,2,2,1498610.0843313,1.25
"(+/-)-C75_16.404","control",20676815.2860996,7.75,20676815.2860996,7.75,952446.206508693,0.353553390593274,2,2,673481.1713377,0.25
"(+/-)-C75_16.404","mix",9122954.43193886,5.9,7006571.48628902,5.8,4196655.26565873,0.77028133388609,7,7,1586186.5958861,0.2911389784311
"(+/-)-C75_16.589","control",6483192.79281779,7.4,6483192.79281779,7.4,423542.877896781,0,2,2,299490.04108408,0
"(+/-)-C75_17.094","feedpump",15010124.4111377,6.5,15010124.4111377,6.5,746573.440983065,1.69705627484771,2,2,527907.1427729,1.2
"(+/-)-C75_17.229","feedpump",4825598.24680737,6.95,4825598.24680737,6.95,988682.97743476,0.636396103067893,2,2,699104.437787825,0.45
"(+/-)-C75_17.785","feedpump",29424178.981519,8.05,29424178.981519,8.05,542825.483783809,0.777817459305202,2,2,383835.580584399,0.55
"(+/-)-C75_18.303","feedpump",6247391.11692126,8.2,6247391.11692126,8.2,758164.157324913,0.424264068711928,2,2,536103.01689703,0.3
"(+/-)-C75_21.706","control",833167.047677905,7.35,833167.047677905,7.35,92984.8299959634,0.353553390593274,2,2,65750.203837624,0.25
"(+/-)-C75_21.706","mix",941875.952355273,8.32857142857143,961318.622702074,8.2,189883.448383438,0.407080195679286,7,7,71769.197501421,0.153861851632414
"(+/-)-CP 47,497-C7-Hydroxy metabolite_22.535","control",4491318.56600218,7.25,4491318.56600218,7.25,1050131.20571433,0.212132034355965,2,2,742554.896696205,0.15
"(+/-)-CP 47,497-C7-Hydroxy metabolite_22.535","mix",4959944.15863341,6.23333333333333,3781126.13118588,6.5,2225106.40501434,0.737111479583199,3,3,1284665.78191059,0.425571511160123
"(+/-)-CP 47,497-C7-Hydroxy metabolite_22.535","olddry",3390639.16227562,7.06666666666667,2971536.70284095,7.1,1113119.10300977,0.55075705472861,3,3,642659.613762805,0.317979733805648
"(+/-)-CP 47,497-C7-Hydroxy metabolite_23.039","feedpump",63015481.5616023,9.1,67892792.1371098,8.9,18584476.9404451,0.346410161513775,3,3,10729752.7643144,0.2
"(+/-)-CP 47,497-C8-Homolog_21.997","control",33149872.395785,8.2,33149872.395785,8.2,6899436.59622164,0.282842712474619,2,2,4878638.40355495,0.2
"(+/-)-CP 47,497-C8-Homolog_21.997","feedpump",33393807.7046906,7.4,33393807.7046906,7.4,3239243.14781883,1.4142135623731,2,2,2290490.79573475,1
"(+/-)-CP 47,497-C8-Homolog_21.997","mix",24964239.7959213,7.34,27189735.0026817,7,12011931.7743924,0.81117199162693,5,5,5371899.19772622,0.362767142944341
"(+/-)-Cannabichromeorcin_21.51","centrin",9036076.27022827,7.23333333333333,8870627.00008369,7.4,638924.149089215,0.568624070307733,3,3,368883.029468411,0.32829526005987
"(+/-)-Cannabichromeorcin_21.51","feedpump",10410129.9194116,6.6,10926001.8647052,6.6,1650459.65355183,0,3,3,952893.325264764,0
"(+/-)-Cannabichromeorcin_21.51","newdry",5098514.27392205,7,4472110.85190754,7.6,1192268.75390885,1.58745078663875,3,3,688356.686015653,0.916515138991168
"(+/-)-Cannabichromeorcin_21.51","olddry",5938941.08223925,6.6,6759468.26881561,5.8,1578999.01303889,1.3856406460551,3,3,911635.505228155,0.8
