"unique_id","sample_location","mean_group_area","mean_peak_rating","median_group_area","median_peak_rating","sd_group_area","sd_peak_rating","n_group_area","n_peak_rating","se_group_area","se_peak_rating"
"(+)-Aphidicolin_14.271","sc003",1585454.66957301,8.5,1585454.66957301,8.5,100407.312295283,1.4142135623731,2,2,70998.69140471,1
"(+)-Aphidicolin_14.271","sc008",529825.726244541,7.2,529825.726244541,7.2,117656.492942861,0,2,2,83195.704010524,0
"(+)-Aphidicolin_14.271","sc011",823164.618585758,7.5,823164.618585758,7.5,19953.5377338189,0,2,2,14109.281840245,0
"(+)-Aphidicolin_14.271","sc18",1204610.10234666,8.6,1204610.10234666,8.6,141361.220494631,0,2,2,99957.47760856,0
"(+)-Aphidicolin_16.124","sc002",158322.157395691,6.8,158322.157395691,6.8,23018.8587174783,0.424264068711928,2,2,16276.791094304,0.3
"(+)-Aphidicolin_16.124","sc003",1613272.00634754,8.75,1613272.00634754,8.75,136020.930705713,0.212132034355965,2,2,96181.322485315,0.15
"(+)-Aphidicolin_16.124","sc011",259737.26772787,6.55,259737.26772787,6.55,6399.86547786919,0.353553390593274,2,2,4525.38827808299,0.25
"(+)-Aphidicolin_19.891","sc002",3363247.30765773,8.65,3363247.30765773,8.65,385541.59778937,0.353553390593274,2,2,272619.07822636,0.25
"(+)-Aphidicolin_19.891","sc005",2850788.71327168,5.7,2850788.71327168,5.7,59441.9098469248,0,2,2,42031.77753944,0
"(+)-Aphidicolin_19.891","sc011",12906864.2596851,7.55,12906864.2596851,7.55,5431574.29502664,1.20208152801713,2,2,3840703.01653188,0.85
"(+)-Aphidicolin_19.891","sc18",5656232.81855622,7.55,5656232.81855622,7.55,440067.280862035,0.353553390593274,2,2,311174.55847587,0.25
"(+)-Aphidicolin_20.093","sc003",644927.983068011,7.45,644927.983068011,7.45,8444.67891404529,0.353553390593274,2,2,5971.28972506447,0.25
"(+)-Aphidicolin_20.093","sc013",189531.056143205,6.65,189531.056143205,6.65,16077.9067817216,0.212132034355964,2,2,11368.7969126405,0.15
"(+)-Aphidicolin_20.206","sc001",227472.846282811,6.3,227472.846282811,6.3,14138.4055958622,0,2,2,9997.36247199999,0
"(+)-Aphidicolin_20.206","sc003",1865904.72634528,5.4,1865904.72634528,5.4,265723.076939479,0.424264068711929,2,2,187894.58962166,0.3
