"unique_id","sample_location","mean_group_area","mean_peak_rating","median_group_area","median_peak_rating","sd_group_area","sd_peak_rating","n_group_area","n_peak_rating","se_group_area","se_peak_rating"
"(+)-2,5-Dimethoxyamphetamine_10.33","sc014",5983448.91945595,5.1,5983448.91945595,5.1,218888.030508092,0,2,2,154777.21069284,0
"(+)-2,5-Dimethoxyamphetamine_11.024","sc014",1780002.14003775,5.9,1780002.14003775,5.9,213605.242061202,1.13137084989848,2,2,151041.71515847,0.8
"(+)-2,5-Dimethoxyamphetamine_11.334","sc009",3237107.94682227,6.45,3237107.94682227,6.45,889291.700246614,1.90918830920368,2,2,628824.191697295,1.35
"(+)-2,5-Dimethoxyamphetamine_2.039","sc009",1718327.65407391,5.2,1718327.65407391,5.2,350551.044795391,0.14142135623731,2,2,247877.02092685,0.1
"(+)-2,5-Dimethoxyamphetamine_7.906","sc014",2193982.57839735,5.4,2193982.57839735,5.4,253666.682070539,0.424264068711929,2,2,179369.43105317,0.3
"(+)-2,5-Dimethoxyamphetamine_8.53","sc009",552442.522434862,5.8,552442.522434862,5.8,47536.296129204,0.424264068711928,2,2,33613.237345452,0.3
"(+)-2,5-Dimethoxyamphetamine_8.763","sc014",1564376.92156906,5.5,1564376.92156906,5.5,172732.949006166,0.565685424949239,2,2,122140.63957661,0.4
"(+)-2,5-Dimethoxyamphetamine_8.966","sc014",4497994.08690278,5.7,4497994.08690278,5.7,174069.858505553,0,2,2,123085.97734946,0
"(+)-2,5-Dimethoxyamphetamine_8.966","sc15",4512086.47769088,5.4,4512086.47769088,5.4,421631.266673478,0.424264068711929,2,2,298138.32782509,0.3
"(+)-2,5-Dimethoxyamphetamine_9.383","sc15",6193378.31239834,7.55,6193378.31239834,7.55,175461.87000583,1.20208152801713,2,2,124070.278120795,0.85
"(+)-2,5-Dimethoxyamphetamine_9.539","sc014",4246112.64978591,8.1,4246112.64978591,8.1,469953.87079637,0.424264068711929,2,2,332307.56888498,0.3
"(+)-2,5-Dimethoxyamphetamine_9.539","sc15",2952369.96794076,7,2952369.96794076,7,131623.115398579,1.13137084989848,2,2,93071.597459235,0.8
"(+)-2,5-Dimethoxyamphetamine_9.706","sc014",763282.123867166,5.6,763282.123867166,5.6,11368.1228511904,0.424264068711929,2,2,8038.4767574385,0.3
"(+)-2,5-Dimethoxyamphetamine_9.976","sc15",5259316.265888,7.85,5259316.265888,7.85,352932.125655023,0.777817459305203,2,2,249560.69934925,0.55
"(+)-Taxifolin_7.005","sc003",1550767.60504472,8.75,1550767.60504472,8.75,81998.2938900899,0.212132034355965,2,2,57981.54965541,0.15
"(+)-Taxifolin_7.005","sc007",817695.183149823,8.85,817695.183149823,8.85,11308.0961337627,0.353553390593274,2,2,7996.03145849297,0.25
"(+)-Taxifolin_7.005","sc020",1161707.58638438,8.6,1161707.58638438,8.6,39821.0375814817,0,2,2,28157.7257077501,0
"(+)-Taxifolin_7.005","sc023",391007.960318884,6.35,391007.960318884,6.35,13501.8884798911,1.20208152801713,2,2,9547.27690295552,0.85
