"unique_id","sample_location","mean_group_area","mean_peak_rating","median_group_area","median_peak_rating","sd_group_area","sd_peak_rating","n_group_area","n_peak_rating","se_group_area","se_peak_rating"
"(+/-)-3,4-(Methylenedioxy)amphetamine_2.217","sc009",4333758.10423023,5.7,4333758.10423023,5.7,165460.184845178,0,2,2,116998.018720405,0
"(+/-)-3,4-(Methylenedioxy)amphetamine_8.403","sc014",1883819.0665546,6.75,1883819.0665546,6.75,189886.143190504,2.33345237791561,2,2,134269.779503365,1.65
"(2-Nitro-1-propenyl)benzene_10.565","sc007",2941701.10379868,7,2941701.10379868,7,126563.498994086,1.13137084989848,2,2,89493.9083894149,0.8
"(2-Nitro-1-propenyl)benzene_10.565","sc008",275402.902001717,6,275402.902001717,6,10824.4848410897,1.13137084989848,2,2,7654.06663398549,0.8
"(2-Nitro-1-propenyl)benzene_10.713","sc007",2784115.80872963,7.3,2784115.80872963,7.3,103559.218601824,0,2,2,73227.4257277301,0
"(2-Nitro-1-propenyl)benzene_11.916","sc007",2186042.48452379,7.3,2186042.48452379,7.3,199735.150279071,1.5556349186104,2,2,141234.079203645,1.1
"(2-Nitro-1-propenyl)benzene_12.046","sc008",1147127.59226798,5.3,1147127.59226798,5.3,271110.6251897,0,2,2,191704.161523361,0
"(2-Nitro-1-propenyl)benzene_5.86","sc009",8437818.21664616,8.4,8437818.21664616,8.4,188290.07604403,0,2,2,133141.189600864,0
"(2-Nitro-1-propenyl)benzene_6.745","sc003",2154289.21662762,5.95,2154289.21662762,5.95,138608.992912766,0.353553390593274,2,2,98011.358822055,0.25
"(2-Nitro-1-propenyl)benzene_6.745","sc007",4248427.92064193,6.2,4248427.92064193,6.2,84225.6025249572,0.707106781186548,2,2,59556.49469492,0.5
"(2-Nitro-1-propenyl)benzene_7.933","sc003",2595007.05454965,7,2595007.05454965,7,267168.309098835,1.13137084989848,2,2,188916.52308193,0.8
"(2-Nitro-1-propenyl)benzene_7.933","sc007",4457504.11238039,8.65,4457504.11238039,8.65,716187.717565428,1.20208152801713,2,2,506421.19169303,0.85
"(2-Nitro-1-propenyl)benzene_7.933","sc020",1115554.21045512,7.25,1115554.21045512,7.25,38896.0563645959,1.90918830920368,2,2,27503.66521682,1.35
