"name","mass_list_name","mean_area","sample_location"
"(+/-)-3,4-(Methylenedioxy)amphetamine","itn_kps",2700607.39017756,"francistown wwtp surface water"
"(+/-)-3,4-(Methylenedioxy)amphetamine","itn_kps",4216760.08550982,"kasane wwtp (overflow) surface water"
"(+/-)-3,4-(Methylenedioxy)amphetamine","itn_kps",2854980.66148447,"maun wwtp (main) waste water"
"(3E)-3-(3-Oxo-1,3-dihydro-2H-indol-2-ylidene)-1,3-dihydro-2H-indol-2-one","itn_kps",460778.59500333,"francistown wwtp surface water"
"(3E)-3-(3-Oxo-1,3-dihydro-2H-indol-2-ylidene)-1,3-dihydro-2H-indol-2-one","itn_kps",709350.502926754,"kasane wwtp (main) surface water"
"(3E)-3-(3-Oxo-1,3-dihydro-2H-indol-2-ylidene)-1,3-dihydro-2H-indol-2-one","itn_kps",1220801.44638632,"glen valley (recreational) surface water"
"2,3-Dihydroxybenzoic acid","itn_kps",2057796.89812376,"kasane wwtp (overflow) surface water"
"4,5-Methylenedioxy-2-aminoindane","itn_kps",805358.538515227,"lecheng spring surface water"
"4,5-Methylenedioxy-2-aminoindane","itn_kps",1913949.37550194,"kasane wwtp (overflow) surface water"
"4,5-Methylenedioxy-2-aminoindane","itn_kps",1639887.23208319,"glen valley (recreational) surface water"
"5-Hydroxy-4-{(2R)-6-hydroxy-5-[(3E)-4-methyl-6-(2,6,6-trimethyl-1-cyclohexen-1-yl)-3-hexen-1-yl]-5,6-dihydro-2H-pyran-2-yl}-2(5H)-furanone","itn_kps",4576345.95977963,"palapye wwtp surface water"
"8-Hydroxychinolin","itn_kps",484937.208322206,"lecheng stream surface water"
"8-Hydroxychinolin","itn_kps",559960.965154882,"lecheng spring surface water"
"8-Hydroxychinolin","itn_kps",3177770.00748722,"palapye wwtp (eff) waste water"
"8-Hydroxychinolin","itn_kps",2566449.70897825,"palapye wwtp surface water"
"8-Hydroxychinolin","itn_kps",974841.132968034,"lotsane dam surface water"
"8-Hydroxychinolin","itn_kps",1092589.86731417,"francistown wwtp surface water"
"8-Hydroxychinolin","itn_kps",884192.336863019,"kasane wwtp (main) surface water"
"8-Hydroxychinolin","itn_kps",1366343.93428054,"kasane wwtp (overflow) surface water"
