"peak_number","name","formula","annot_delta_mass_ppm","calc_mw","m_z","rt_min","sample_location","mass_list_name","mean_area"
1641,"(E)-Squalene","C30 H50",0.05,410.39127,411.39855,22.105,"newdry","kps_pharmaceuticals_oct22",24779321.9804582
1641,"(E)-Squalene","C30 H50",0.05,410.39127,411.39855,22.105,"olddry","kps_pharmaceuticals_oct22",4342209.65941913
668,"1-oleoylglycerol","C21 H40 O4",0.18,356.29273,379.28193,23.631,"newdry","kps_pharmaceuticals_oct22",29512384.2854936
668,"1-oleoylglycerol","C21 H40 O4",0.18,356.29273,379.28193,23.631,"olddry","kps_pharmaceuticals_oct22",48743271.4231845
115,"17beta-Estradiol","C18 H24 O2",-0.28,272.17755,273.18483,20.433,"newdry","kps_pharmaceuticals_oct22",23383795.5333843
312,"17beta-Estradiol","C18 H24 O2",0.07,272.17765,273.18492,20.667,"olddry","kps_pharmaceuticals_oct22",113552485.251619
176,"3,4-Dimethylaniline","C8 H11 N",1.29,121.08931,122.09658,4.352,"newdry","kps_pharmaceuticals_oct22",43918187.9577646
176,"3,4-Dimethylaniline","C8 H11 N",1.29,121.08931,122.09658,4.352,"olddry","kps_pharmaceuticals_oct22",56754849.0510764
1424,"4-Heptylphenol","C13 H20 O",0.08,192.15143,193.15871,19.111,"newdry","kps_pharmaceuticals_oct22",14451050.2104819
1424,"4-Heptylphenol","C13 H20 O",0.08,192.15143,193.15871,19.111,"olddry","kps_pharmaceuticals_oct22",24271437.4602836
3108,"4-Hexylresorcinol","C12 H18 O2",0.16,194.13071,195.13799,17.551,"olddry","kps_pharmaceuticals_oct22",2079491.08811561
472,"4-Oxosebacic Acid","C10 H16 O5",-0.11,216.09975,239.08898,10.02,"newdry","kps_pharmaceuticals_oct22",10276846.6734374
472,"4-Oxosebacic Acid","C10 H16 O5",-0.11,216.09975,239.08898,10.02,"olddry","kps_pharmaceuticals_oct22",19708493.3293604
2637,"4-piperidin-4-ylbutal","C9 H17 N O",0.15,155.13104,156.13831,23.522,"olddry","kps_pharmaceuticals_oct22",3815867.58228741
2289,"5-Phenylvaleric acid","C11 H14 O2",0.07,178.09939,179.10667,19.51,"newdry","kps_pharmaceuticals_oct22",21206439.4094604
953,"9-Aminocamptothecin","C20 H17 N3 O4",0.19,363.12197,364.12925,9.578,"olddry","kps_pharmaceuticals_oct22",10091224.8444761
3948,"Abexinostat","C21 H23 N3 O5",3.93,397.16533,398.17261,19.42,"olddry","kps_pharmaceuticals_oct22",8938912.45871429
773,"Acitretin","C21 H26 O3",0.64,326.1884,327.19568,17.413,"newdry","kps_pharmaceuticals_oct22",44693244.6798745
4117,"Agomelatine","C15 H17 N O2",-0.01,243.12593,244.1332,16.758,"olddry","kps_pharmaceuticals_oct22",8175408.93165535
1989,"Alfacalcidol","C27 H44 O2",0.1,400.33417,401.34145,23.72,"newdry","kps_pharmaceuticals_oct22",25572538.4650156
1989,"Alfacalcidol","C27 H44 O2",0.1,400.33417,401.34145,23.72,"olddry","kps_pharmaceuticals_oct22",20369682.8915674
188,"Allylestrenol","C21 H32 O",0.67,300.24552,318.27935,18.936,"newdry","kps_pharmaceuticals_oct22",203814222.26025
2124,"Allylprodine","C18 H25 N O2",0.3,287.18862,288.19586,17.464,"newdry","kps_pharmaceuticals_oct22",4783763.22468748
543,"Allylprodine","C18 H25 N O2",0.23,287.18859,288.19586,17.912,"olddry","kps_pharmaceuticals_oct22",24103784.3577728
5208,"Alosetron","C17 H18 N4 O",-3.88,294.14692,295.1542,20.574,"newdry","kps_pharmaceuticals_oct22",3134914.28154589
528,"Alpha-Dimorphecolic","C18 H32 O3",0.44,296.23527,297.24255,17.671,"newdry","kps_pharmaceuticals_oct22",9991233.20934684
2534,"Alverine","C20 H27 N",0.16,281.21439,282.22167,23.141,"newdry","kps_pharmaceuticals_oct22",2220564.52804901
