"name","mass_list_name","mean_area","sample_location"
"(+)-2,5-Dimethoxyamphetamine","kps_pharmaceuticals_oct22",3957015.33010283,"palapye wwtp surface water"
"(+)-2,5-Dimethoxyamphetamine","kps_pharmaceuticals_oct22",736189.987677405,"kasane wwtp (main) surface water"
"(+)-2,5-Dimethoxyamphetamine","kps_pharmaceuticals_oct22",2608283.75512497,"kasane wwtp (overflow) surface water"
"(+)-2,5-Dimethoxyamphetamine","kps_pharmaceuticals_oct22",6138226.13014879,"maun wwtp (main) waste water"
"(+)-Taxifolin","kps_pharmaceuticals_oct22",1492786.05538931,"palapye wwtp (eff) waste water"
"(+)-Taxifolin","kps_pharmaceuticals_oct22",1812777.88813363,"palapye wwtp surface water"
"(+)-Taxifolin","kps_pharmaceuticals_oct22",809699.15169133,"francistown wwtp surface water"
"(+)-Taxifolin","kps_pharmaceuticals_oct22",1189865.31209213,"glen valley (reclamation) surface water"
"(+)-Taxifolin","kps_pharmaceuticals_oct22",400555.237221839,"glen valley (recreational) surface water"
"(+-)-alminoprofen","kps_pharmaceuticals_oct22",1866088.15210649,"palapye wwtp (eff) waste water"
"(+-)-alminoprofen","kps_pharmaceuticals_oct22",1921174.65339049,"palapye wwtp surface water"
"(+-)-alminoprofen","kps_pharmaceuticals_oct22",1490601.54432692,"kasane wwtp (main) surface water"
"(+-)-alminoprofen","kps_pharmaceuticals_oct22",7339833.37405451,"kasane wwtp (overflow) surface water"
"(+-)-alminoprofen","kps_pharmaceuticals_oct22",972451.314773273,"kasane (recreational) surface water"
"(+-)-alminoprofen","kps_pharmaceuticals_oct22",277365.067422186,"maun beach (before) surface water"
"(+-)-alminoprofen","kps_pharmaceuticals_oct22",692500.353265573,"maun beach (after) surface water"
"(+-)-alminoprofen","kps_pharmaceuticals_oct22",8137227.74330898,"maun wwtp (main) waste water"
"(+-)-alminoprofen","kps_pharmaceuticals_oct22",3375367.2590001,"glen valley (reclamation) surface water"
"(+-)-alminoprofen","kps_pharmaceuticals_oct22",3633992.05578108,"glen valley (recreational) surface water"
"(R)-Dipivefrine","kps_pharmaceuticals_oct22",144676.431591127,"kasane (recreational) surface water"
"(R)-Praziquantel","kps_pharmaceuticals_oct22",1531124.25133946,"palapye wwtp (eff) waste water"
