"peak_number","name","formula","calc_mw","m_z","rt_min","sample_location","mass_list_name","mean_area"
6986,"(+)-(6s)-Parasorbic Acid","C6 H8 O2",112.05257,113.05985,6.097,"lysimeter_control_op_260122","kps_pharmaceuticals_oct22",142254.650817712
7360,"(+)-2,5-Dimethoxyamphetamine","C11 H17 N O2",195.12593,196.1332,13.041,"thailand_sample_8","kps_pharmaceuticals_oct22",351615.703902479
979,"(+-)-alminoprofen","C13 H17 N O2",219.12602,220.13329,7.528,"landfill_eg_0_3y","kps_pharmaceuticals_oct22",806290.012095203
979,"(+-)-alminoprofen","C13 H17 N O2",219.12602,220.13329,7.528,"landfill_eg_3_10y","kps_pharmaceuticals_oct22",6570685.02510042
3969,"(+-)-alminoprofen","C13 H17 N O2",219.12601,220.13329,8.251,"landfill_eg_y104","kps_pharmaceuticals_oct22",234766.925112829
979,"(+-)-alminoprofen","C13 H17 N O2",219.12602,220.13329,7.528,"landfill_op_y104","kps_pharmaceuticals_oct22",1345260.06400925
979,"(+-)-alminoprofen","C13 H17 N O2",219.12602,220.13329,7.528,"lysimeter_control_eg_171221","kps_pharmaceuticals_oct22",950446.922854823
979,"(+-)-alminoprofen","C13 H17 N O2",219.12602,220.13329,7.528,"lysimeter_control_eg_250122","kps_pharmaceuticals_oct22",108878.076307982
5665,"(+-)-alminoprofen","C13 H17 N O2",219.12603,220.1333,6.912,"lysimeter_control_op_171221","kps_pharmaceuticals_oct22",152270.068028423
979,"(+-)-alminoprofen","C13 H17 N O2",219.12602,220.13329,7.528,"lysimeter_eg_03y_171221","kps_pharmaceuticals_oct22",2909521.97501615
979,"(+-)-alminoprofen","C13 H17 N O2",219.12602,220.13329,7.528,"lysimeter_eg_03y_250122","kps_pharmaceuticals_oct22",278118.688634563
979,"(+-)-alminoprofen","C13 H17 N O2",219.12602,220.13329,7.528,"lysimeter_eg_0_3y_14062022","kps_pharmaceuticals_oct22",144143.867524629
4253,"(+-)-alminoprofen","C13 H17 N O2",219.12602,220.13329,14.154,"lysimeter_op_10y_140622","kps_pharmaceuticals_oct22",285635.693037182
4253,"(+-)-alminoprofen","C13 H17 N O2",219.12602,220.13329,14.154,"lysimeter_op_10y_171222","kps_pharmaceuticals_oct22",202317.214966176
2650,"(S)-CPW 399","C10 H13 N3 O4",239.09073,240.098,1.392,"lysimeter_op_0_3y_250122","kps_pharmaceuticals_oct22",196406.842845434
2650,"(S)-CPW 399","C10 H13 N3 O4",239.09073,240.098,1.392,"thailand_sample_7","kps_pharmaceuticals_oct22",2381927.86217614
195,"(S)-Histidinol","C6 H11 N3 O",141.09028,142.09755,2.3,"landfill_eg_0_3y","kps_pharmaceuticals_oct22",30818696.4492669
195,"(S)-Histidinol","C6 H11 N3 O",141.09028,142.09755,2.3,"landfill_eg_3_10y","kps_pharmaceuticals_oct22",22016029.6188079
195,"(S)-Histidinol","C6 H11 N3 O",141.09028,142.09755,2.3,"landfill_eg_y104","kps_pharmaceuticals_oct22",3405646.98830913
195,"(S)-Histidinol","C6 H11 N3 O",141.09028,142.09755,2.3,"landfill_op_y104","kps_pharmaceuticals_oct22",1609992.17196215
195,"(S)-Histidinol","C6 H11 N3 O",141.09028,142.09755,2.3,"lysimeter_control_eg_171221","kps_pharmaceuticals_oct22",6377799.83146704
195,"(S)-Histidinol","C6 H11 N3 O",141.09028,142.09755,2.3,"lysimeter_control_eg_250122","kps_pharmaceuticals_oct22",576214.157988345
195,"(S)-Histidinol","C6 H11 N3 O",141.09028,142.09755,2.3,"lysimeter_control_op_171221","kps_pharmaceuticals_oct22",647741.750435627
195,"(S)-Histidinol","C6 H11 N3 O",141.09028,142.09755,2.3,"lysimeter_eg3_104_250122","kps_pharmaceuticals_oct22",425615.335925918
195,"(S)-Histidinol","C6 H11 N3 O",141.09028,142.09755,2.3,"lysimeter_eg_03y_171221","kps_pharmaceuticals_oct22",10802405.0682278
195,"(S)-Histidinol","C6 H11 N3 O",141.09028,142.09755,2.3,"lysimeter_eg_03y_250122","kps_pharmaceuticals_oct22",2084248.8297983
195,"(S)-Histidinol","C6 H11 N3 O",141.09028,142.09755,2.3,"lysimeter_eg_0_3y_14062022","kps_pharmaceuticals_oct22",1193028.51626134
195,"(S)-Histidinol","C6 H11 N3 O",141.09028,142.09755,2.3,"lysimeter_eg_104_171221","kps_pharmaceuticals_oct22",425831.89736158
195,"(S)-Histidinol","C6 H11 N3 O",141.09028,142.09755,2.3,"lysimeter_eg_3_10y_171221","kps_pharmaceuticals_oct22",3954055.40575074
195,"(S)-Histidinol","C6 H11 N3 O",141.09028,142.09755,2.3,"lysimeter_op0_34_140622","kps_pharmaceuticals_oct22",531738.183957159
195,"(S)-Histidinol","C6 H11 N3 O",141.09028,142.09755,2.3,"lysimeter_op_0_3y_171221","kps_pharmaceuticals_oct22",729660.056333511
195,"(S)-Histidinol","C6 H11 N3 O",141.09028,142.09755,2.3,"lysimeter_op_3_10y_171221","kps_pharmaceuticals_oct22",547855.358644733
791,"(S)-MCPG","C10 H11 N O4",209.06887,210.07612,3.222,"landfill_eg_3_10y","kps_pharmaceuticals_oct22",2966512.02648447
1194,"(S)-MCPG","C10 H11 N O4",209.06883,210.07609,1.349,"landfill_op_y104","kps_pharmaceuticals_oct22",5477006.79530099
1194,"(S)-MCPG","C10 H11 N O4",209.06883,210.07609,1.349,"lysimeter_control_eg_140622","kps_pharmaceuticals_oct22",286324.260878993
1194,"(S)-MCPG","C10 H11 N O4",209.06883,210.07609,1.349,"lysimeter_control_eg_171221","kps_pharmaceuticals_oct22",1295181.2701433
1194,"(S)-MCPG","C10 H11 N O4",209.06883,210.07609,1.349,"lysimeter_control_op_140622","kps_pharmaceuticals_oct22",542188.987960583
1194,"(S)-MCPG","C10 H11 N O4",209.06883,210.07609,1.349,"lysimeter_control_op_171221","kps_pharmaceuticals_oct22",1202434.17612295
1194,"(S)-MCPG","C10 H11 N O4",209.06883,210.07609,1.349,"lysimeter_control_op_260122","kps_pharmaceuticals_oct22",724878.450855389
1194,"(S)-MCPG","C10 H11 N O4",209.06883,210.07609,1.349,"lysimeter_eg3_104_250122","kps_pharmaceuticals_oct22",421219.999507913
1194,"(S)-MCPG","C10 H11 N O4",209.06883,210.07609,1.349,"lysimeter_eg3_104_250122_20221003231510","kps_pharmaceuticals_oct22",327822.825371984
