"name","mass_list_name","mean_area","sample_location"
"(S)-(-)-Cathinone","kps_psychoactive_substances_v2",2628955.3211631,"francistown wwtp surface water"
"(S)-(-)-Cathinone","kps_psychoactive_substances_v2",2192107.95262337,"kasane wwtp (overflow) surface water"
"(S)-(-)-Cathinone","kps_psychoactive_substances_v2",607955.603411351,"kasane (main) surface water"
"1,3-Indandione","kps_psychoactive_substances_v2",2794421.91619316,"kasane wwtp (overflow) surface water"
"1,3-Indandione","kps_psychoactive_substances_v2",657789.981040617,"maun beach (before) surface water"
"1-Androstenedione","kps_psychoactive_substances_v2",2796419.37608217,"palapye wwtp (eff) waste water"
"1-Androstenedione","kps_psychoactive_substances_v2",4067615.48017047,"palapye wwtp surface water"
"1-Phenylacetone","kps_psychoactive_substances_v2",1689249.83024868,"palapye wwtp surface water"
"1-Phenylacetone","kps_psychoactive_substances_v2",2008691.33718946,"glen valley (reclamation) surface water"
"1-pentylindole","kps_psychoactive_substances_v2",5288611.41870025,"glen valley (reclamation) surface water"
"17-Methyltestosterone","kps_psychoactive_substances_v2",365024.934867239,"lecheng stream surface water"
"17-Methyltestosterone","kps_psychoactive_substances_v2",7532480.89981767,"lecheng spring surface water"
"17-Methyltestosterone","kps_psychoactive_substances_v2",5635610.62597502,"palapye wwtp (eff) waste water"
"17-Methyltestosterone","kps_psychoactive_substances_v2",6826367.32736372,"palapye wwtp surface water"
"17-Methyltestosterone","kps_psychoactive_substances_v2",10574285.7456997,"lotsane dam surface water"
"17-Methyltestosterone","kps_psychoactive_substances_v2",3003300.37630767,"francistown wwtp surface water"
"17-Methyltestosterone","kps_psychoactive_substances_v2",990166.695408181,"kasane wwtp (main) surface water"
"17-Methyltestosterone","kps_psychoactive_substances_v2",816908.192937226,"maun beach (after) surface water"
"17-Methyltestosterone","kps_psychoactive_substances_v2",3000565.40035638,"maun wwtp (main) waste water"
"17-Methyltestosterone","kps_psychoactive_substances_v2",1223989.59051506,"glen valley (recreational) surface water"
"17beta-Trenbolone","kps_psychoactive_substances_v2",2113939.52241485,"palapye wwtp (eff) waste water"
