"peak_number","name","formula","calc_mw","m_z","rt_min","sample_location","mass_list_name","mean_area"
883,"(+/-)-3,4-(Methylenedioxy)amphetamine","C10 H13 N O2",179.09466,180.10194,3.72,"landfill_eg_3_10y","kps_psychoactive_substances_v2",3433816.64369214
1064,"(+/-)-3,4-(Methylenedioxy)amphetamine","C10 H13 N O2",179.09466,180.10193,4.653,"landfill_eg_y104","kps_psychoactive_substances_v2",1130371.56332848
332,"(+/-)-3,4-(Methylenedioxy)amphetamine","C10 H13 N O2",179.09466,180.10194,2.235,"landfill_op_y104","kps_psychoactive_substances_v2",5931114.90996706
1064,"(+/-)-3,4-(Methylenedioxy)amphetamine","C10 H13 N O2",179.09466,180.10193,4.653,"lysimeter_control_eg_171221","kps_psychoactive_substances_v2",1877443.37166608
332,"(+/-)-3,4-(Methylenedioxy)amphetamine","C10 H13 N O2",179.09466,180.10194,2.235,"lysimeter_control_op_140622","kps_psychoactive_substances_v2",1573486.71615114
332,"(+/-)-3,4-(Methylenedioxy)amphetamine","C10 H13 N O2",179.09466,180.10194,2.235,"lysimeter_control_op_260122","kps_psychoactive_substances_v2",3009199.34822645
1703,"(+/-)-3,4-(Methylenedioxy)amphetamine","C10 H13 N O2",179.09466,180.10194,6.373,"lysimeter_eg_03y_171221","kps_psychoactive_substances_v2",3831869.00929528
1703,"(+/-)-3,4-(Methylenedioxy)amphetamine","C10 H13 N O2",179.09466,180.10194,6.373,"lysimeter_eg_03y_250122","kps_psychoactive_substances_v2",440484.737233893
1703,"(+/-)-3,4-(Methylenedioxy)amphetamine","C10 H13 N O2",179.09466,180.10194,6.373,"lysimeter_eg_0_3y_14062022","kps_psychoactive_substances_v2",364000.832897473
1816,"(+/-)-3,4-(Methylenedioxy)amphetamine","C10 H13 N O2",179.09466,180.10194,8.898,"lysimeter_eg_3_10y_171221","kps_psychoactive_substances_v2",855796.474637459
4186,"(+/-)-3,4-(Methylenedioxy)amphetamine","C10 H13 N O2",179.09467,180.10194,17.453,"lysimeter_op_0_3y_171221","kps_psychoactive_substances_v2",1344194.69647883
1816,"(+/-)-3,4-(Methylenedioxy)amphetamine","C10 H13 N O2",179.09466,180.10194,8.898,"lysimeter_op_10y_171222","kps_psychoactive_substances_v2",299439.922591046
332,"(+/-)-3,4-(Methylenedioxy)amphetamine","C10 H13 N O2",179.09466,180.10194,2.235,"thailand_sample_7","kps_psychoactive_substances_v2",18102333.3079857
332,"(+/-)-3,4-(Methylenedioxy)amphetamine","C10 H13 N O2",179.09466,180.10194,2.235,"thailand_sample_8","kps_psychoactive_substances_v2",17183059.073914
2798,"(2-Nitro-1-propenyl)benzene","C9 H9 N O2",163.06336,164.07063,2.478,"landfill_eg_0_3y","kps_psychoactive_substances_v2",1256059.2792905
2798,"(2-Nitro-1-propenyl)benzene","C9 H9 N O2",163.06336,164.07063,2.478,"landfill_eg_3_10y","kps_psychoactive_substances_v2",2238273.50772596
3824,"(2-Nitro-1-propenyl)benzene","C9 H9 N O2",163.06337,164.07064,2.138,"landfill_op_y104","kps_psychoactive_substances_v2",899790.656607016
