"peak_number","name","formula","annot_delta_mass_ppm","calc_mw","m_z","rt_min","sample_location","mass_list_name","mean_area"
3605,"(+)-ar-Turmerone","C15 H20 O",0,216.15141,217.15869,21.242,"newdry","mz_cloud",10255456.0496695
3605,"(+)-ar-Turmerone","C15 H20 O",0,216.15141,217.15869,21.242,"olddry","mz_cloud",7593422.11600101
3396,"(+/-)-Cannabichromeorcin","C17 H22 O2",-0.04,258.16197,259.16925,21.51,"newdry","mz_cloud",4350010.35425113
3396,"(+/-)-Cannabichromeorcin","C17 H22 O2",-0.04,258.16197,259.16925,21.51,"olddry","mz_cloud",4118610.38585115
882,"(1R,4aS)-7-(2-Hydroxypropan-2-yl)-1,4a-dimethyl-9-oxo-3,4,10,10a-tetrahydro-2H-phenanthrene-1-carboxylic acid","C20 H26 O4",0.67,330.18333,331.19061,22.783,"newdry","mz_cloud",23460278.6632311
882,"(1R,4aS)-7-(2-Hydroxypropan-2-yl)-1,4a-dimethyl-9-oxo-3,4,10,10a-tetrahydro-2H-phenanthrene-1-carboxylic acid","C20 H26 O4",0.67,330.18333,331.19061,22.783,"olddry","mz_cloud",23951595.51867
1251,"(1S,4S,5R,10S,13S,17S,19S,20R)-10-hydroxy-4,5,9,9,13,19,20-heptamethyl-24-oxahexacyclo[15.5.2.0Âa,Âaâ¸.0â´,Âaâ·.0âµ,Âaâ´.0â¸,ÂaÂl]tetracos-15-en-23-one","C30 H46 O3",0.01,454.3447,455.35196,23.72,"newdry","mz_cloud",27143164.5070127
1251,"(1S,4S,5R,10S,13S,17S,19S,20R)-10-hydroxy-4,5,9,9,13,19,20-heptamethyl-24-oxahexacyclo[15.5.2.0Âa,Âaâ¸.0â´,Âaâ·.0âµ,Âaâ´.0â¸,ÂaÂl]tetracos-15-en-23-one","C30 H46 O3",0.01,454.3447,455.35196,23.72,"olddry","mz_cloud",12765307.8119313
1264,"(2R,5R,6R)-3-[(1E,3E)-hepta-1,3-dien-1-yl]-5,6-dihydroxy-2-(hydroxymethyl)cyclohexan-1-one","C14 H22 O4",0.13,254.15184,255.15908,16.726,"newdry","mz_cloud",24042443.0956465
1264,"(2R,5R,6R)-3-[(1E,3E)-hepta-1,3-dien-1-yl]-5,6-dihydroxy-2-(hydroxymethyl)cyclohexan-1-one","C14 H22 O4",0.13,254.15184,255.15908,16.726,"olddry","mz_cloud",36976733.3862024
3593,"1,2,2,6,6-Pentamethyl-4-piperidyl methacrylate","C14 H25 N O2",-0.07,239.18851,240.19579,17.047,"olddry","mz_cloud",4939182.89038482
3309,"1,4-dihydroxyheptadec-16-en-2-yl acetate","C19 H36 O4",0.5,328.26152,329.26883,22.438,"newdry","mz_cloud",6327135.62222432
3309,"1,4-dihydroxyheptadec-16-en-2-yl acetate","C19 H36 O4",0.5,328.26152,329.26883,22.438,"olddry","mz_cloud",9691692.84607157
15,"1-Dodecyl-2-pyrrolidinone","C16 H31 N O",-0.34,253.24048,254.24775,22.289,"newdry","mz_cloud",1155163547.89902
15,"1-Dodecyl-2-pyrrolidinone","C16 H31 N O",-0.34,253.24048,254.24775,22.289,"olddry","mz_cloud",1288523058.79443
3355,"1-Linoleoyl glycerol","C21 H38 O4",0.31,354.27712,355.2844,21.439,"newdry","mz_cloud",6201015.0822685
3402,"1-Pentyl-1H-indole-3-carboxylic acid","C14 H17 N O2",-0.1,231.12591,232.13318,17.823,"newdry","mz_cloud",6694790.46942359
3402,"1-Pentyl-1H-indole-3-carboxylic acid","C14 H17 N O2",-0.1,231.12591,232.13318,17.823,"olddry","mz_cloud",5787570.30615941
6,"1-Tetradecylamine","C14 H31 N",-0.32,213.24558,214.25286,20.391,"newdry","mz_cloud",635092750.302864
6,"1-Tetradecylamine","C14 H31 N",-0.32,213.24558,214.25286,20.391,"olddry","mz_cloud",207781914.622757
3698,"11,13-Dihydroxy-4-methyl-4,5,6,7,8,9-hexahydro-2H-3-benzoxacyclododecine-2,10(1H)-dione","C16 H20 O5",0.2,292.13113,293.13841,19.511,"newdry","mz_cloud",5249775.7909185
3698,"11,13-Dihydroxy-4-methyl-4,5,6,7,8,9-hexahydro-2H-3-benzoxacyclododecine-2,10(1H)-dione","C16 H20 O5",0.2,292.13113,293.13841,19.511,"olddry","mz_cloud",5615110.53034103
1159,"12-Oxo phytodienoic acid","C18 H28 O3",0.15,292.20389,293.21116,17.538,"newdry","mz_cloud",37877932.8287268
2975,"15-Crown-5","C10 H20 O5",0.22,220.13112,221.1384,14.254,"newdry","mz_cloud",14459475.000104
3443,"16-Heptadecyne-1,2,4-triol","C17 H32 O3",0.09,284.23517,285.24243,22.349,"newdry","mz_cloud",5126778.97432413
3443,"16-Heptadecyne-1,2,4-triol","C17 H32 O3",0.09,284.23517,285.24243,22.349,"olddry","mz_cloud",5087321.0393814
1379,"2,2,6,6-Tetramethyl-4-piperidinol","C9 H19 N O",0.15,157.14669,158.15396,16.304,"newdry","mz_cloud",10576121.6858293
1379,"2,2,6,6-Tetramethyl-4-piperidinol","C9 H19 N O",0.15,157.14669,158.15396,16.304,"olddry","mz_cloud",25235796.4120699
1839,"2-Aminooctadec-4-yne-1,3-diol","C18 H35 N O2",0.46,297.26692,298.27419,21.373,"newdry","mz_cloud",10759786.8335095
788,"2-Aminooctadec-4-yne-1,3-diol","C18 H35 N O2",0.43,297.26691,298.27418,22.225,"olddry","mz_cloud",4985818.01715335
569,"2-Ethyl-N-{4-[(2R,3R)-3-(hydroxymethyl)-5-oxo-2-morpholinyl]phenyl}butanamide","C17 H24 N2 O4",0.61,320.1738,321.18109,14.561,"newdry","mz_cloud",30786808.4721785
569,"2-Ethyl-N-{4-[(2R,3R)-3-(hydroxymethyl)-5-oxo-2-morpholinyl]phenyl}butanamide","C17 H24 N2 O4",0.61,320.1738,321.18109,14.561,"olddry","mz_cloud",18654672.7791806
2489,"2-[(3S)-1-(Cyclohexylmethyl)-3-pyrrolidinyl]-5-(1-methyl-1H-imidazol-5-yl)-1,3,4-oxadiazole","C17 H25 N5 O",-3.7,315.20474,316.21202,1.274,"newdry","mz_cloud",16401152.913635
1186,"2-[(3S)-1-(Cyclohexylmethyl)-3-pyrrolidinyl]-5-(1-methyl-1H-imidazol-5-yl)-1,3,4-oxadiazole","C17 H25 N5 O",-3.86,315.20469,316.21197,7.552,"olddry","mz_cloud",42659599.0849308
477,"3,5-di-tert-Butyl-4-hydroxybenzaldehyde","C15 H22 O2",-0.05,234.16197,235.16925,19.669,"olddry","mz_cloud",60906654.50444
2591,"3-Carboxymedetomidine","C13 H14 N2 O2",-0.02,230.10552,231.1128,15.042,"olddry","mz_cloud",7641399.55280989
4860,"3-[(2H-1,3-benzodioxol-5-yl)methyl]-4-[(3,4-dimethoxyphenyl)methyl]oxolan-2-one","C21 H22 O6",-0.02,370.14163,371.14891,19.368,"olddry","mz_cloud",2965509.67360398
854,"3-amino-2-phenyl-2H-pyrazolo[4,3-c]pyridine-4,6-diol","C12 H10 N4 O2",0.02,242.08038,243.08766,13.375,"newdry","mz_cloud",16049973.4404969
854,"3-amino-2-phenyl-2H-pyrazolo[4,3-c]pyridine-4,6-diol","C12 H10 N4 O2",0.02,242.08038,243.08766,13.375,"olddry","mz_cloud",15562035.1923221
2514,"4,4'-Sulfonylbis[2-(prop-2-en-1-yl)phenol]","C18 H18 O4 S",-0.04,330.09257,331.09984,18.563,"olddry","mz_cloud",17417777.2667257
146,"4-[(6E)-3-Hydroxy-8,10-dimethyl-2-(methylamino)-6-dodecen-1-yl]phenol","C21 H35 N O2",0.63,333.26699,334.27426,15.514,"newdry","mz_cloud",12890915.4900963
137,"4-[(6E)-3-Hydroxy-8,10-dimethyl-2-(methylamino)-6-dodecen-1-yl]phenol","C21 H35 N O2",0.6,333.26698,334.27426,17.409,"olddry","mz_cloud",255856613.470628
1914,"4-[3,5-di(tert-butyl)-1H-pyrazol-1-yl]benzoic acid","C18 H24 N2 O2",1.09,300.18411,301.19119,17.56,"newdry","mz_cloud",4023452.11516593
1914,"4-[3,5-di(tert-butyl)-1H-pyrazol-1-yl]benzoic acid","C18 H24 N2 O2",1.09,300.18411,301.19119,17.56,"olddry","mz_cloud",27116940.3084395
3618,"4-amino-1-phenyl-6-(phenylimino)-1,2,5,6-tetrahydro-1,3,5-triazin-2-one","C15 H13 N5 O",0.21,279.11207,280.11934,16.097,"olddry","mz_cloud",9221559.57395578
3688,"4-hydroxy-1-phenyl-1,2-dihydroquinolin-2-one","C15 H11 N O2",0.02,237.07898,238.08626,17.895,"olddry","mz_cloud",7188610.76414287
2737,"4-hydroxy-3-(3-methylbut-2-en-1-yl)benzoic acid","C12 H14 O3",-0.09,206.09428,207.10155,21.492,"olddry","mz_cloud",2362619.46418481
