"peak_number","name","formula","calc_mw","m_z","rt_min","mass_list_name","mean_area","sample_location"
301,"(1R,9S)-11-(4-Fluorobenzoyl)-5-(4-methoxyphenyl)-7,11-diazatricyclo[7.3.1.02,7]trideca-2,4-dien-6-one","C25 H23 F N2 O3",418.17026,419.17754,19.459,"mz_cloud",618469.698773351,"lecheng stream surface water"
416,"(1R,9S)-11-(4-Fluorobenzoyl)-5-(4-methoxyphenyl)-7,11-diazatricyclo[7.3.1.02,7]trideca-2,4-dien-6-one","C25 H23 F N2 O3",418.17026,419.17754,20.009,"mz_cloud",754906.990680159,"lecheng spring surface water"
416,"(1R,9S)-11-(4-Fluorobenzoyl)-5-(4-methoxyphenyl)-7,11-diazatricyclo[7.3.1.02,7]trideca-2,4-dien-6-one","C25 H23 F N2 O3",418.17026,419.17754,20.009,"mz_cloud",964771.556474316,"lotsane dam surface water"
416,"(1R,9S)-11-(4-Fluorobenzoyl)-5-(4-methoxyphenyl)-7,11-diazatricyclo[7.3.1.02,7]trideca-2,4-dien-6-one","C25 H23 F N2 O3",418.17026,419.17754,20.009,"mz_cloud",2276728.35624669,"kasane wwtp (main) surface water"
301,"(1R,9S)-11-(4-Fluorobenzoyl)-5-(4-methoxyphenyl)-7,11-diazatricyclo[7.3.1.02,7]trideca-2,4-dien-6-one","C25 H23 F N2 O3",418.17026,419.17754,19.459,"mz_cloud",1434034.86212866,"kasane (main) surface water"
416,"(1R,9S)-11-(4-Fluorobenzoyl)-5-(4-methoxyphenyl)-7,11-diazatricyclo[7.3.1.02,7]trideca-2,4-dien-6-one","C25 H23 F N2 O3",418.17026,419.17754,20.009,"mz_cloud",2414907.34259206,"kasane (recreational) surface water"
416,"(1R,9S)-11-(4-Fluorobenzoyl)-5-(4-methoxyphenyl)-7,11-diazatricyclo[7.3.1.02,7]trideca-2,4-dien-6-one","C25 H23 F N2 O3",418.17026,419.17754,20.009,"mz_cloud",1673874.40797325,"maun beach (before) surface water"
301,"(1R,9S)-11-(4-Fluorobenzoyl)-5-(4-methoxyphenyl)-7,11-diazatricyclo[7.3.1.02,7]trideca-2,4-dien-6-one","C25 H23 F N2 O3",418.17026,419.17754,19.459,"mz_cloud",453718.404149856,"maun beach (after) surface water"
416,"(1R,9S)-11-(4-Fluorobenzoyl)-5-(4-methoxyphenyl)-7,11-diazatricyclo[7.3.1.02,7]trideca-2,4-dien-6-one","C25 H23 F N2 O3",418.17026,419.17754,20.009,"mz_cloud",6662330.57260567,"maun wwtp (main) waste water"
301,"(1R,9S)-11-(4-Fluorobenzoyl)-5-(4-methoxyphenyl)-7,11-diazatricyclo[7.3.1.02,7]trideca-2,4-dien-6-one","C25 H23 F N2 O3",418.17026,419.17754,19.459,"mz_cloud",4509737.96256554,"glen valley (reclamation) surface water"
301,"(1R,9S)-11-(4-Fluorobenzoyl)-5-(4-methoxyphenyl)-7,11-diazatricyclo[7.3.1.02,7]trideca-2,4-dien-6-one","C25 H23 F N2 O3",418.17026,419.17754,19.459,"mz_cloud",4324141.42591958,"glen valley (recreational) surface water"
1831,"(1S,2S,4aR,7R,8aR)-1-[(3Z)-5-hydroxy-3-methylpent-3-en-1-yl]-2,5,5,8a-tetramethyl-decahydronaphthalene-2,7-diol","C20 H36 O3",324.26647,347.25569,20.163,"mz_cloud",5086807.64598585,"kasane wwtp (main) surface water"
3202,"(2-{[(1S,4S)-4-{3,5-Dimethyl-1-[4-(2-methyl-2-propanyl)phenyl]-1H-pyrazol-4-yl}-2-cyclopenten-1-yl]amino}-2-oxoethoxy)acetic acid","C24 H31 N3 O4",425.23157,426.23884,13.959,"mz_cloud",2362158.7749977,"palapye wwtp (eff) waste water"
3202,"(2-{[(1S,4S)-4-{3,5-Dimethyl-1-[4-(2-methyl-2-propanyl)phenyl]-1H-pyrazol-4-yl}-2-cyclopenten-1-yl]amino}-2-oxoethoxy)acetic acid","C24 H31 N3 O4",425.23157,426.23884,13.959,"mz_cloud",2883275.75256597,"palapye wwtp surface water"
3202,"(2-{[(1S,4S)-4-{3,5-Dimethyl-1-[4-(2-methyl-2-propanyl)phenyl]-1H-pyrazol-4-yl}-2-cyclopenten-1-yl]amino}-2-oxoethoxy)acetic acid","C24 H31 N3 O4",425.23157,426.23884,13.959,"mz_cloud",2739580.94883382,"francistown wwtp surface water"
3202,"(2-{[(1S,4S)-4-{3,5-Dimethyl-1-[4-(2-methyl-2-propanyl)phenyl]-1H-pyrazol-4-yl}-2-cyclopenten-1-yl]amino}-2-oxoethoxy)acetic acid","C24 H31 N3 O4",425.23157,426.23884,13.959,"mz_cloud",955733.720059454,"glen valley (reclamation) surface water"
2067,"(2E)-5-hydroxy-N-[3-(5-{3-[(2E)-5-hydroxy-3-methylpent-2-enamido]propyl}-3,6-dioxopiperazin-2-yl)propyl]-3-methylpent-2-enamide","C22 H36 N4 O6",452.26213,475.25132,13.948,"mz_cloud",3436079.08790692,"glen valley (reclamation) surface water"
3363,"(2E,4E)-N-(2-methylpropyl)deca-2,4-dienamide","C14 H25 N O",223.19373,224.201,7.489,"mz_cloud",2393501.24585806,"palapye wwtp (eff) waste water"
3363,"(2E,4E)-N-(2-methylpropyl)deca-2,4-dienamide","C14 H25 N O",223.19373,224.201,7.489,"mz_cloud",2688395.36488621,"palapye wwtp surface water"
5410,"(2R)-1-(5-hydroxy-3-methylpentyl)-2,5,5,8a-tetramethyl-decahydronaphthalen-2-ol","C20 H38 O2",310.2873,333.27652,20.13,"mz_cloud",1620118.77595377,"kasane (main) surface water"
5410,"(2R)-1-(5-hydroxy-3-methylpentyl)-2,5,5,8a-tetramethyl-decahydronaphthalen-2-ol","C20 H38 O2",310.2873,333.27652,20.13,"mz_cloud",1394947.66514915,"maun wwtp (main) waste water"
2520,"(2R)-N-[(2S)-1-Amino-3-cyclohexyl-1-oxo-2-propanyl]-1-(cyclohexylcarbonyl)-2-piperazinecarboxamide","C21 H36 N4 O3",392.27754,415.26675,19.274,"mz_cloud",1240934.08213243,"palapye wwtp (eff) waste water"
2520,"(2R)-N-[(2S)-1-Amino-3-cyclohexyl-1-oxo-2-propanyl]-1-(cyclohexylcarbonyl)-2-piperazinecarboxamide","C21 H36 N4 O3",392.27754,415.26675,19.274,"mz_cloud",1353210.49330234,"palapye wwtp surface water"
2520,"(2R)-N-[(2S)-1-Amino-3-cyclohexyl-1-oxo-2-propanyl]-1-(cyclohexylcarbonyl)-2-piperazinecarboxamide","C21 H36 N4 O3",392.27754,415.26675,19.274,"mz_cloud",3825410.78803066,"francistown wwtp surface water"
3334,"(2S,3R,4S,5S,6R)-2-{[(2R,3R,4S,5S,6R)-4,5-dihydroxy-2-[(3-hydroxy-6-methylheptyl)oxy]-6-(hydroxymethyl)oxan-3-yl]oxy}-6-(hydroxymethyl)oxane-3,4,5-triol","C20 H38 O12",470.23649,493.22579,10.908,"mz_cloud",2858198.58598738,"francistown wwtp surface water"
3334,"(2S,3R,4S,5S,6R)-2-{[(2R,3R,4S,5S,6R)-4,5-dihydroxy-2-[(3-hydroxy-6-methylheptyl)oxy]-6-(hydroxymethyl)oxan-3-yl]oxy}-6-(hydroxymethyl)oxane-3,4,5-triol","C20 H38 O12",470.23649,493.22579,10.908,"mz_cloud",1521777.60069243,"maun beach (after) surface water"
1566,"(2S,8R)-8-hydroxy-2-[(1S)-1-hydroxyheptyl]-3,4,5,6,7,8-hexahydro-2H-1-benzopyran-5-one","C16 H26 O4",282.18331,305.17258,15.538,"mz_cloud",3331427.2714223,"palapye wwtp (eff) waste water"
