"peak_number","name","formula","annot_delta_mass_ppm","calc_mw","m_z","rt_min","sample_location","mass_list_name","mean_area"
896,"(+/-)5(6)-EET Ethanolamide","C22 H37 N O3",0.1,363.27738,364.28466,16.144,"landfill_eg_3_10y","mz_cloud",7211594.27219315
896,"(+/-)5(6)-EET Ethanolamide","C22 H37 N O3",0.1,363.27738,364.28466,16.144,"lysimeter_control_eg_171221","mz_cloud",224849.702561802
896,"(+/-)5(6)-EET Ethanolamide","C22 H37 N O3",0.1,363.27738,364.28466,16.144,"lysimeter_eg_03y_171221","mz_cloud",416487.681236222
3724,"(+/-)5(6)-EET Ethanolamide","C22 H37 N O3",0.07,363.27737,364.28465,15.022,"thailand_sample_7","mz_cloud",1571059.36150085
3724,"(+/-)5(6)-EET Ethanolamide","C22 H37 N O3",0.07,363.27737,364.28465,15.022,"thailand_sample_8","mz_cloud",1520943.58205034
4174,"(1R,9R)-3-(2-Fluorophenyl)-11-(phenylsulfonyl)-7,11-diazatricyclo[7.3.1.02,7]trideca-2,4-dien-6-one","C23 H21 F N2 O3 S",1.36,424.12627,425.13354,19.506,"crh_fst1","mz_cloud",1198263.90945578
4174,"(1R,9R)-3-(2-Fluorophenyl)-11-(phenylsulfonyl)-7,11-diazatricyclo[7.3.1.02,7]trideca-2,4-dien-6-one","C23 H21 F N2 O3 S",1.36,424.12627,425.13354,19.506,"crh_fst5","mz_cloud",1071421.91247657
4174,"(1R,9R)-3-(2-Fluorophenyl)-11-(phenylsulfonyl)-7,11-diazatricyclo[7.3.1.02,7]trideca-2,4-dien-6-one","C23 H21 F N2 O3 S",1.36,424.12627,425.13354,19.506,"crh_inlet","mz_cloud",1306097.6653337
4174,"(1R,9R)-3-(2-Fluorophenyl)-11-(phenylsulfonyl)-7,11-diazatricyclo[7.3.1.02,7]trideca-2,4-dien-6-one","C23 H21 F N2 O3 S",1.36,424.12627,425.13354,19.506,"landfill_eg_y104","mz_cloud",822884.506617758
4174,"(1R,9R)-3-(2-Fluorophenyl)-11-(phenylsulfonyl)-7,11-diazatricyclo[7.3.1.02,7]trideca-2,4-dien-6-one","C23 H21 F N2 O3 S",1.36,424.12627,425.13354,19.506,"lysimeter_control_eg_171221","mz_cloud",890502.773767772
4174,"(1R,9R)-3-(2-Fluorophenyl)-11-(phenylsulfonyl)-7,11-diazatricyclo[7.3.1.02,7]trideca-2,4-dien-6-one","C23 H21 F N2 O3 S",1.36,424.12627,425.13354,19.506,"lysimeter_eg3_104_140622","mz_cloud",1072660.58853258
4174,"(1R,9R)-3-(2-Fluorophenyl)-11-(phenylsulfonyl)-7,11-diazatricyclo[7.3.1.02,7]trideca-2,4-dien-6-one","C23 H21 F N2 O3 S",1.36,424.12627,425.13354,19.506,"lysimeter_eg3_104_250122_20221003231510","mz_cloud",1080286.68361994
4174,"(1R,9R)-3-(2-Fluorophenyl)-11-(phenylsulfonyl)-7,11-diazatricyclo[7.3.1.02,7]trideca-2,4-dien-6-one","C23 H21 F N2 O3 S",1.36,424.12627,425.13354,19.506,"lysimeter_op3_104_140622","mz_cloud",1143971.89546093
727,"(1R,9S)-11-(4-Fluorobenzoyl)-5-(4-methoxyphenyl)-7,11-diazatricyclo[7.3.1.02,7]trideca-2,4-dien-6-one","C25 H23 F N2 O3",2.41,418.17028,419.17756,20.199,"crh_fst1","mz_cloud",6564240.84509841
