"peak_number","name","formula","annot_delta_mass_ppm","calc_mw","m_z","rt_min","sample_location","mass_list_name","mean_area"
3605,"(+)-ar-Turmerone","C15 H20 O",0,216.15141,217.15869,21.242,"newdry","mz_cloud",10255456.0496695
3605,"(+)-ar-Turmerone","C15 H20 O",0,216.15141,217.15869,21.242,"olddry","mz_cloud",7593422.11600101
3396,"(+/-)-Cannabichromeorcin","C17 H22 O2",-0.04,258.16197,259.16925,21.51,"newdry","mz_cloud",4350010.35425113
3396,"(+/-)-Cannabichromeorcin","C17 H22 O2",-0.04,258.16197,259.16925,21.51,"olddry","mz_cloud",4118610.38585115
882,"(1R,4aS)-7-(2-Hydroxypropan-2-yl)-1,4a-dimethyl-9-oxo-3,4,10,10a-tetrahydro-2H-phenanthrene-1-carboxylic acid","C20 H26 O4",0.67,330.18333,331.19061,22.783,"newdry","mz_cloud",23460278.6632311
882,"(1R,4aS)-7-(2-Hydroxypropan-2-yl)-1,4a-dimethyl-9-oxo-3,4,10,10a-tetrahydro-2H-phenanthrene-1-carboxylic acid","C20 H26 O4",0.67,330.18333,331.19061,22.783,"olddry","mz_cloud",23951595.51867
1251,"(1S,4S,5R,10S,13S,17S,19S,20R)-10-hydroxy-4,5,9,9,13,19,20-heptamethyl-24-oxahexacyclo[15.5.2.0Âa,Âaâ¸.0â´,Âaâ·.0âµ,Âaâ´.0â¸,ÂaÂl]tetracos-15-en-23-one","C30 H46 O3",0.01,454.3447,455.35196,23.72,"newdry","mz_cloud",27143164.5070127
1251,"(1S,4S,5R,10S,13S,17S,19S,20R)-10-hydroxy-4,5,9,9,13,19,20-heptamethyl-24-oxahexacyclo[15.5.2.0Âa,Âaâ¸.0â´,Âaâ·.0âµ,Âaâ´.0â¸,ÂaÂl]tetracos-15-en-23-one","C30 H46 O3",0.01,454.3447,455.35196,23.72,"olddry","mz_cloud",12765307.8119313
1264,"(2R,5R,6R)-3-[(1E,3E)-hepta-1,3-dien-1-yl]-5,6-dihydroxy-2-(hydroxymethyl)cyclohexan-1-one","C14 H22 O4",0.13,254.15184,255.15908,16.726,"newdry","mz_cloud",24042443.0956465
1264,"(2R,5R,6R)-3-[(1E,3E)-hepta-1,3-dien-1-yl]-5,6-dihydroxy-2-(hydroxymethyl)cyclohexan-1-one","C14 H22 O4",0.13,254.15184,255.15908,16.726,"olddry","mz_cloud",36976733.3862024
1641,"(E)-Squalene","C30 H50",0.05,410.39127,411.39855,22.105,"newdry","kps_pharmaceuticals_oct22",24779321.9804582
1641,"(E)-Squalene","C30 H50",0.05,410.39127,411.39855,22.105,"olddry","kps_pharmaceuticals_oct22",4342209.65941913
3593,"1,2,2,6,6-Pentamethyl-4-piperidyl methacrylate","C14 H25 N O2",-0.07,239.18851,240.19579,17.047,"olddry","mz_cloud",4939182.89038482
3309,"1,4-dihydroxyheptadec-16-en-2-yl acetate","C19 H36 O4",0.5,328.26152,329.26883,22.438,"newdry","mz_cloud",6327135.62222432
3309,"1,4-dihydroxyheptadec-16-en-2-yl acetate","C19 H36 O4",0.5,328.26152,329.26883,22.438,"olddry","mz_cloud",9691692.84607157
15,"1-Dodecyl-2-pyrrolidinone","C16 H31 N O",-0.34,253.24048,254.24775,22.289,"newdry","mz_cloud",1155163547.89902
15,"1-Dodecyl-2-pyrrolidinone","C16 H31 N O",-0.34,253.24048,254.24775,22.289,"olddry","mz_cloud",1288523058.79443
3355,"1-Linoleoyl glycerol","C21 H38 O4",0.31,354.27712,355.2844,21.439,"newdry","mz_cloud",6201015.0822685
3402,"1-Pentyl-1H-indole-3-carboxylic acid","C14 H17 N O2",-0.1,231.12591,232.13318,17.823,"newdry","mz_cloud",6694790.46942359
3402,"1-Pentyl-1H-indole-3-carboxylic acid","C14 H17 N O2",-0.1,231.12591,232.13318,17.823,"olddry","mz_cloud",5787570.30615941
6,"1-Tetradecylamine","C14 H31 N",-0.32,213.24558,214.25286,20.391,"newdry","mz_cloud",635092750.302864
6,"1-Tetradecylamine","C14 H31 N",-0.32,213.24558,214.25286,20.391,"olddry","mz_cloud",207781914.622757
668,"1-oleoylglycerol","C21 H40 O4",0.18,356.29273,379.28193,23.631,"newdry","kps_pharmaceuticals_oct22",29512384.2854936
668,"1-oleoylglycerol","C21 H40 O4",0.18,356.29273,379.28193,23.631,"olddry","kps_pharmaceuticals_oct22",48743271.4231845
3698,"11,13-Dihydroxy-4-methyl-4,5,6,7,8,9-hexahydro-2H-3-benzoxacyclododecine-2,10(1H)-dione","C16 H20 O5",0.2,292.13113,293.13841,19.511,"newdry","mz_cloud",5249775.7909185
3698,"11,13-Dihydroxy-4-methyl-4,5,6,7,8,9-hexahydro-2H-3-benzoxacyclododecine-2,10(1H)-dione","C16 H20 O5",0.2,292.13113,293.13841,19.511,"olddry","mz_cloud",5615110.53034103
1651,"11-Nor-9-carboxy-delta-9-tetrahydrocannabinol","C21 H28 O4",0.36,344.19888,345.20616,18.348,"newdry","kps_cannabinoids",1519765.75311212
3454,"11-Nor-9-carboxy-delta-9-tetrahydrocannabinol","C21 H28 O4",0.42,344.1989,345.20618,21.046,"olddry","kps_cannabinoids",5531387.02359664
1159,"12-Oxo phytodienoic acid","C18 H28 O3",0.15,292.20389,293.21116,17.538,"newdry","mz_cloud",37877932.8287268
2975,"15-Crown-5","C10 H20 O5",0.22,220.13112,221.1384,14.254,"newdry","mz_cloud",14459475.000104
3443,"16-Heptadecyne-1,2,4-triol","C17 H32 O3",0.09,284.23517,285.24243,22.349,"newdry","mz_cloud",5126778.97432413
3443,"16-Heptadecyne-1,2,4-triol","C17 H32 O3",0.09,284.23517,285.24243,22.349,"olddry","mz_cloud",5087321.0393814
391,"17-Methyltestosterone","C20 H30 O2",0.42,302.22471,303.23195,23.017,"newdry","kps_psychoactive_substances_v2",26886708.2362665
391,"17-Methyltestosterone","C20 H30 O2",0.42,302.22471,303.23195,23.017,"olddry","kps_psychoactive_substances_v2",35942361.8056806
115,"17beta-Estradiol","C18 H24 O2",-0.28,272.17755,273.18483,20.433,"newdry","kps_pharmaceuticals_oct22",23383795.5333843
312,"17beta-Estradiol","C18 H24 O2",0.07,272.17765,273.18492,20.667,"olddry","kps_pharmaceuticals_oct22",113552485.251619
1379,"2,2,6,6-Tetramethyl-4-piperidinol","C9 H19 N O",0.15,157.14669,158.15396,16.304,"newdry","mz_cloud",10576121.6858293
1379,"2,2,6,6-Tetramethyl-4-piperidinol","C9 H19 N O",0.15,157.14669,158.15396,16.304,"olddry","mz_cloud",25235796.4120699
1860,"2,4-Di-tert-butylphenol","C14 H22 O",-0.01,206.16706,207.17434,20.636,"newdry","kps_cannabinoids",6902452.31259335
1860,"2,4-Di-tert-butylphenol","C14 H22 O",-0.01,206.16706,207.17434,20.636,"olddry","kps_cannabinoids",3899938.92901354
1839,"2-Aminooctadec-4-yne-1,3-diol","C18 H35 N O2",0.46,297.26692,298.27419,21.373,"newdry","mz_cloud",10759786.8335095
788,"2-Aminooctadec-4-yne-1,3-diol","C18 H35 N O2",0.43,297.26691,298.27418,22.225,"olddry","mz_cloud",4985818.01715335
569,"2-Ethyl-N-{4-[(2R,3R)-3-(hydroxymethyl)-5-oxo-2-morpholinyl]phenyl}butanamide","C17 H24 N2 O4",0.61,320.1738,321.18109,14.561,"newdry","mz_cloud",30786808.4721785
569,"2-Ethyl-N-{4-[(2R,3R)-3-(hydroxymethyl)-5-oxo-2-morpholinyl]phenyl}butanamide","C17 H24 N2 O4",0.61,320.1738,321.18109,14.561,"olddry","mz_cloud",18654672.7791806
2489,"2-[(3S)-1-(Cyclohexylmethyl)-3-pyrrolidinyl]-5-(1-methyl-1H-imidazol-5-yl)-1,3,4-oxadiazole","C17 H25 N5 O",-3.7,315.20474,316.21202,1.274,"newdry","mz_cloud",16401152.913635
1186,"2-[(3S)-1-(Cyclohexylmethyl)-3-pyrrolidinyl]-5-(1-methyl-1H-imidazol-5-yl)-1,3,4-oxadiazole","C17 H25 N5 O",-3.86,315.20469,316.21197,7.552,"olddry","mz_cloud",42659599.0849308
2281,"2C-G","C12 H19 N O2",1.39,209.14187,227.1754,14.415,"olddry","kps_psychoactive_substances_v2",16507662.408904
2236,"2C-P","C13 H21 N O2",0.03,223.15724,224.16451,23.569,"olddry","kps_psychoactive_substances_v2",3351483.81878404
176,"3,4-Dimethylaniline","C8 H11 N",1.29,121.08931,122.09658,4.352,"newdry","kps_pharmaceuticals_oct22",43918187.9577646
176,"3,4-Dimethylaniline","C8 H11 N",1.29,121.08931,122.09658,4.352,"olddry","kps_pharmaceuticals_oct22",56754849.0510764
477,"3,5-di-tert-Butyl-4-hydroxybenzaldehyde","C15 H22 O2",-0.05,234.16197,235.16925,19.669,"olddry","mz_cloud",60906654.50444
2591,"3-Carboxymedetomidine","C13 H14 N2 O2",-0.02,230.10552,231.1128,15.042,"olddry","mz_cloud",7641399.55280989
