"peak_number","unique_id","name","formula","annot_source_predicted_compositions","annot_source_mz_cloud_search","annot_source_mass_list_search","annot_delta_mass_ppm","calc_mw","m_z","rt_min","area_max","number_mz_cloud_results","mz_cloud_best_match","mz_cloud_best_match_confidence","ms2","reference_ion","sample","group_area","peak_rating","replicate","sample_location","mass_list_name","mass_list_match"
3297,"(3E)-3-(3-Oxo-1,3-dihydro-2H-indol-2-ylidene)-1,3-dihydro-2H-indol-2-one_BTM03005_10.755","(3E)-3-(3-Oxo-1,3-dihydro-2H-indol-2-ylidene)-1,3-dihydro-2H-indol-2-one_BTM03005","C16 H10 N2 O3","Not the top hit","Invalid mass","Full match",0.23,278.06921,279.07648,10.755,12383917.7982753,10,82.4,65.1,"DDA for preferred ion","[M+H]+1","1_feedpump_a",9105388.04348497,5.5,"1","feedpump","itn_cyp_metabolites","Multiple matches found"
3297,"(3E)-3-(3-Oxo-1,3-dihydro-2H-indol-2-ylidene)-1,3-dihydro-2H-indol-2-one_BTM03005_10.755","(3E)-3-(3-Oxo-1,3-dihydro-2H-indol-2-ylidene)-1,3-dihydro-2H-indol-2-one_BTM03005","C16 H10 N2 O3","Not the top hit","Invalid mass","Full match",0.23,278.06921,279.07648,10.755,12383917.7982753,10,82.4,65.1,"DDA for preferred ion","[M+H]+1","2_feedpump_b",12383917.7982753,6.6,"2","feedpump","itn_cyp_metabolites","Multiple matches found"
3297,"(3E)-3-(3-Oxo-1,3-dihydro-2H-indol-2-ylidene)-1,3-dihydro-2H-indol-2-one_BTM03005_10.755","(3E)-3-(3-Oxo-1,3-dihydro-2H-indol-2-ylidene)-1,3-dihydro-2H-indol-2-one_BTM03005","C16 H10 N2 O3","Not the top hit","Invalid mass","Full match",0.23,278.06921,279.07648,10.755,12383917.7982753,10,82.4,65.1,"DDA for preferred ion","[M+H]+1","3_feedpump_c",11066009.349282,5.5,"3","feedpump","itn_cyp_metabolites","Multiple matches found"
1641,"(E)-Squalene_22.105","(E)-Squalene","C30 H50","Not the top hit","No results","Full match",0.05,410.39127,411.39855,22.105,32693787.0173794,0,NA,NA,"DDA for preferred ion","[M+H]+1","4_centrin_a",16735389.8907859,8.6,"1","centrin","kps_pharmaceuticals_oct22","Multiple matches found"
1641,"(E)-Squalene_22.105","(E)-Squalene","C30 H50","Not the top hit","No results","Full match",0.05,410.39127,411.39855,22.105,32693787.0173794,0,NA,NA,"DDA for preferred ion","[M+H]+1","5_centrin_b",14166287.9736525,6.1,"2","centrin","kps_pharmaceuticals_oct22","Multiple matches found"
1641,"(E)-Squalene_22.105","(E)-Squalene","C30 H50","Not the top hit","No results","Full match",0.05,410.39127,411.39855,22.105,32693787.0173794,0,NA,NA,"DDA for preferred ion","[M+H]+1","6_centrin_c",14111150.9947376,8.3,"3","centrin","kps_pharmaceuticals_oct22","Multiple matches found"
2219,"(E)-Squalene_23.435","(E)-Squalene","C30 H50","Not the top hit","No results","Full match",0.1,410.39129,411.39857,23.435,22069629.8964539,0,NA,NA,"DDA for preferred ion","[M+H]+1","4_centrin_a",10994823.0852606,8.3,"1","centrin","kps_pharmaceuticals_oct22","Multiple matches found"
2219,"(E)-Squalene_23.435","(E)-Squalene","C30 H50","Not the top hit","No results","Full match",0.1,410.39129,411.39857,23.435,22069629.8964539,0,NA,NA,"DDA for preferred ion","[M+H]+1","5_centrin_b",12055077.5435712,8.8,"2","centrin","kps_pharmaceuticals_oct22","Multiple matches found"
2219,"(E)-Squalene_23.435","(E)-Squalene","C30 H50","Not the top hit","No results","Full match",0.1,410.39129,411.39857,23.435,22069629.8964539,0,NA,NA,"DDA for preferred ion","[M+H]+1","6_centrin_c",13166332.3960784,8.3,"3","centrin","kps_pharmaceuticals_oct22","Multiple matches found"
2401,"(E)-Squalene_23.253","(E)-Squalene","C30 H50","Not the top hit","No results","Full match",0.24,410.39135,411.39863,23.253,19941700.889182,0,NA,NA,"DDA for preferred ion","[M+H]+1","4_centrin_a",5997551.58520175,8.5,"1","centrin","kps_pharmaceuticals_oct22","Multiple matches found"
2401,"(E)-Squalene_23.253","(E)-Squalene","C30 H50","Not the top hit","No results","Full match",0.24,410.39135,411.39863,23.253,19941700.889182,0,NA,NA,"DDA for preferred ion","[M+H]+1","5_centrin_b",5728009.28403966,6.8,"2","centrin","kps_pharmaceuticals_oct22","Multiple matches found"
2401,"(E)-Squalene_23.253","(E)-Squalene","C30 H50","Not the top hit","No results","Full match",0.24,410.39135,411.39863,23.253,19941700.889182,0,NA,NA,"DDA for preferred ion","[M+H]+1","6_centrin_c",6469455.98978662,7.9,"3","centrin","kps_pharmaceuticals_oct22","Multiple matches found"
1641,"(E)-Squalene_22.105","(E)-Squalene","C30 H50","Not the top hit","No results","Full match",0.05,410.39127,411.39855,22.105,32693787.0173794,0,NA,NA,"DDA for preferred ion","[M+H]+1","13_digester1a",6159124.11714109,7.9,"1","digesterA","kps_pharmaceuticals_oct22","Multiple matches found"
