"peak_number","unique_id","name","formula","annot_source_predicted_compositions","annot_source_mz_cloud_search","annot_source_mass_list_search","annot_delta_mass_ppm","calc_mw","m_z","rt_min","area_max","number_mz_cloud_results","mz_cloud_best_match","mz_cloud_best_match_confidence","ms2","reference_ion","sample","group_area","peak_rating","replicate","sample_location","mass_list_name","mass_list_match"
3605,"(+)-ar-Turmerone_21.242","(+)-ar-Turmerone","C15 H20 O","Full match","Full match","No results",0,216.15141,217.15869,21.242,10590642.2846636,1,66.9,8.3,"DDA for preferred ion","[M+H]+1","1_feedpump_a",873217.33215188,5.4,"1","feedpump","mz_cloud","No matches found"
3605,"(+)-ar-Turmerone_21.242","(+)-ar-Turmerone","C15 H20 O","Full match","Full match","No results",0,216.15141,217.15869,21.242,10590642.2846636,1,66.9,8.3,"DDA for preferred ion","[M+H]+1","7_newdry_a",10255456.0496695,6.6,"1","newdry","mz_cloud","No matches found"
3605,"(+)-ar-Turmerone_21.242","(+)-ar-Turmerone","C15 H20 O","Full match","Full match","No results",0,216.15141,217.15869,21.242,10590642.2846636,1,66.9,8.3,"DDA for preferred ion","[M+H]+1","10_olddry_a",7593422.11600101,5.2,"1","olddry","mz_cloud","No matches found"
3396,"(+/-)-Cannabichromeorcin_21.51","(+/-)-Cannabichromeorcin","C17 H22 O2","Not the top hit","Full match","No results",-0.04,258.16197,259.16925,21.51,11741037.6049158,3,81.2,63.5,"DDA for preferred ion","[M+H]+1","4_centrin_a",9741451.66820529,6.6,"1","centrin","mz_cloud","No matches found"
3396,"(+/-)-Cannabichromeorcin_21.51","(+/-)-Cannabichromeorcin","C17 H22 O2","Not the top hit","Full match","No results",-0.04,258.16197,259.16925,21.51,11741037.6049158,3,81.2,63.5,"DDA for preferred ion","[M+H]+1","1_feedpump_a",8563350.28861379,6.6,"1","feedpump","mz_cloud","No matches found"
3396,"(+/-)-Cannabichromeorcin_21.51","(+/-)-Cannabichromeorcin","C17 H22 O2","Not the top hit","Full match","No results",-0.04,258.16197,259.16925,21.51,11741037.6049158,3,81.2,63.5,"DDA for preferred ion","[M+H]+1","7_newdry_a",4350010.35425113,8.2,"1","newdry","mz_cloud","No matches found"
3396,"(+/-)-Cannabichromeorcin_21.51","(+/-)-Cannabichromeorcin","C17 H22 O2","Not the top hit","Full match","No results",-0.04,258.16197,259.16925,21.51,11741037.6049158,3,81.2,63.5,"DDA for preferred ion","[M+H]+1","10_olddry_a",4118610.38585115,8.2,"1","olddry","mz_cloud","No matches found"
1421,"(+/-)5(6)-EET Ethanolamide_16.258","(+/-)5(6)-EET Ethanolamide","C22 H37 N O3","Not the top hit","Full match","No results",0.39,363.27748,364.28476,16.258,38243241.4375373,3,81.1,76,"DDA for preferred ion","[M+H]+1","5_centrin_b",38243241.4375373,6.7,"2","centrin","mz_cloud","No matches found"
2785,"(+/-)5(6)-EET Ethanolamide_18.3","(+/-)5(6)-EET Ethanolamide","C22 H37 N O3","Not the top hit","Full match","No results",0.38,363.27748,364.28476,18.3,16135935.4887043,3,81,9.1,"DDA for preferred ion","[M+H]+1","17_digester3a",8416590.04692555,6.8,"1","digesterC","mz_cloud","No matches found"
882,"(1R,4aS)-7-(2-Hydroxypropan-2-yl)-1,4a-dimethyl-9-oxo-3,4,10,10a-tetrahydro-2H-phenanthrene-1-carboxylic acid_22.783","(1R,4aS)-7-(2-Hydroxypropan-2-yl)-1,4a-dimethyl-9-oxo-3,4,10,10a-tetrahydro-2H-phenanthrene-1-carboxylic acid","C20 H26 O4","Not the top hit","Full match","No results",0.67,330.18333,331.19061,22.783,61059061.5382219,8,76.8,57.3,"DDA for preferred ion","[M+H]+1","4_centrin_a",21111772.4237733,6.4,"1","centrin","mz_cloud","No matches found"
882,"(1R,4aS)-7-(2-Hydroxypropan-2-yl)-1,4a-dimethyl-9-oxo-3,4,10,10a-tetrahydro-2H-phenanthrene-1-carboxylic acid_22.783","(1R,4aS)-7-(2-Hydroxypropan-2-yl)-1,4a-dimethyl-9-oxo-3,4,10,10a-tetrahydro-2H-phenanthrene-1-carboxylic acid","C20 H26 O4","Not the top hit","Full match","No results",0.67,330.18333,331.19061,22.783,61059061.5382219,8,76.8,57.3,"DDA for preferred ion","[M+H]+1","13_digester1a",19069672.0055596,8.6,"1","digesterA","mz_cloud","No matches found"
882,"(1R,4aS)-7-(2-Hydroxypropan-2-yl)-1,4a-dimethyl-9-oxo-3,4,10,10a-tetrahydro-2H-phenanthrene-1-carboxylic acid_22.783","(1R,4aS)-7-(2-Hydroxypropan-2-yl)-1,4a-dimethyl-9-oxo-3,4,10,10a-tetrahydro-2H-phenanthrene-1-carboxylic acid","C20 H26 O4","Not the top hit","Full match","No results",0.67,330.18333,331.19061,22.783,61059061.5382219,8,76.8,57.3,"DDA for preferred ion","[M+H]+1","15_digester2a",61059061.5382219,8.4,"1","digesterB","mz_cloud","No matches found"
882,"(1R,4aS)-7-(2-Hydroxypropan-2-yl)-1,4a-dimethyl-9-oxo-3,4,10,10a-tetrahydro-2H-phenanthrene-1-carboxylic acid_22.783","(1R,4aS)-7-(2-Hydroxypropan-2-yl)-1,4a-dimethyl-9-oxo-3,4,10,10a-tetrahydro-2H-phenanthrene-1-carboxylic acid","C20 H26 O4","Not the top hit","Full match","No results",0.67,330.18333,331.19061,22.783,61059061.5382219,8,76.8,57.3,"DDA for preferred ion","[M+H]+1","17_digester3a",32464428.8038197,8.6,"1","digesterC","mz_cloud","No matches found"
882,"(1R,4aS)-7-(2-Hydroxypropan-2-yl)-1,4a-dimethyl-9-oxo-3,4,10,10a-tetrahydro-2H-phenanthrene-1-carboxylic acid_22.783","(1R,4aS)-7-(2-Hydroxypropan-2-yl)-1,4a-dimethyl-9-oxo-3,4,10,10a-tetrahydro-2H-phenanthrene-1-carboxylic acid","C20 H26 O4","Not the top hit","Full match","No results",0.67,330.18333,331.19061,22.783,61059061.5382219,8,76.8,57.3,"DDA for preferred ion","[M+H]+1","19_digester4a",24599430.3865108,7.5,"1","digesterD","mz_cloud","No matches found"
882,"(1R,4aS)-7-(2-Hydroxypropan-2-yl)-1,4a-dimethyl-9-oxo-3,4,10,10a-tetrahydro-2H-phenanthrene-1-carboxylic acid_22.783","(1R,4aS)-7-(2-Hydroxypropan-2-yl)-1,4a-dimethyl-9-oxo-3,4,10,10a-tetrahydro-2H-phenanthrene-1-carboxylic acid","C20 H26 O4","Not the top hit","Full match","No results",0.67,330.18333,331.19061,22.783,61059061.5382219,8,76.8,57.3,"DDA for preferred ion","[M+H]+1","1_feedpump_a",9231694.2613766,8.3,"1","feedpump","mz_cloud","No matches found"
882,"(1R,4aS)-7-(2-Hydroxypropan-2-yl)-1,4a-dimethyl-9-oxo-3,4,10,10a-tetrahydro-2H-phenanthrene-1-carboxylic acid_22.783","(1R,4aS)-7-(2-Hydroxypropan-2-yl)-1,4a-dimethyl-9-oxo-3,4,10,10a-tetrahydro-2H-phenanthrene-1-carboxylic acid","C20 H26 O4","Not the top hit","Full match","No results",0.67,330.18333,331.19061,22.783,61059061.5382219,8,76.8,57.3,"DDA for preferred ion","[M+H]+1","7_newdry_a",23460278.6632311,9.1,"1","newdry","mz_cloud","No matches found"
882,"(1R,4aS)-7-(2-Hydroxypropan-2-yl)-1,4a-dimethyl-9-oxo-3,4,10,10a-tetrahydro-2H-phenanthrene-1-carboxylic acid_22.783","(1R,4aS)-7-(2-Hydroxypropan-2-yl)-1,4a-dimethyl-9-oxo-3,4,10,10a-tetrahydro-2H-phenanthrene-1-carboxylic acid","C20 H26 O4","Not the top hit","Full match","No results",0.67,330.18333,331.19061,22.783,61059061.5382219,8,76.8,57.3,"DDA for preferred ion","[M+H]+1","10_olddry_a",23951595.51867,8.6,"1","olddry","mz_cloud","No matches found"
1251,"(1S,4S,5R,10S,13S,17S,19S,20R)-10-hydroxy-4,5,9,9,13,19,20-heptamethyl-24-oxahexacyclo[15.5.2.0Âa,Âaâ¸.0â´,Âaâ·.0âµ,Âaâ´.0â¸,ÂaÂl]tetracos-15-en-23-one_23.72","(1S,4S,5R,10S,13S,17S,19S,20R)-10-hydroxy-4,5,9,9,13,19,20-heptamethyl-24-oxahexacyclo[15.5.2.0Âa,Âaâ¸.0â´,Âaâ·.0âµ,Âaâ´.0â¸,ÂaÂl]tetracos-15-en-23-one","C30 H46 O3","Not the top hit","Full match","No results",0.01,454.3447,455.35196,23.72,44442635.6132469,4,82.3,76.9,"DDA for preferred ion","[M+H]+1","4_centrin_a",13971997.4448367,7.2,"1","centrin","mz_cloud","No matches found"
