"name","sample_location","mass_list_name","mean_area"
"(+)-2,5-Dimethoxyamphetamine","sc004","kps_pharmaceuticals_oct22",3957015.33010283
"(+)-2,5-Dimethoxyamphetamine","sc008","kps_pharmaceuticals_oct22",736189.987677405
"(+)-2,5-Dimethoxyamphetamine","sc009","kps_pharmaceuticals_oct22",2608283.75512497
"(+)-2,5-Dimethoxyamphetamine","sc014","kps_pharmaceuticals_oct22",6138226.13014879
"(+)-2,5-Dimethoxyamphetamine","sc15","kps_pharmaceuticals_oct22",6069308.03427755
"(+)-Taxifolin","sc003","kps_pharmaceuticals_oct22",1492786.05538931
"(+)-Taxifolin","sc004","kps_pharmaceuticals_oct22",1812777.88813363
"(+)-Taxifolin","sc007","kps_pharmaceuticals_oct22",809699.15169133
"(+)-Taxifolin","sc020","kps_pharmaceuticals_oct22",1189865.31209213
"(+)-Taxifolin","sc023","kps_pharmaceuticals_oct22",400555.237221839
"(+)-Taxifolin","sc15","kps_pharmaceuticals_oct22",370112.62865267
"(+)-Taxifolin","sc16","kps_pharmaceuticals_oct22",669641.826996539
"(+-)-alminoprofen","sc003","kps_pharmaceuticals_oct22",1866088.15210649
"(+-)-alminoprofen","sc004","kps_pharmaceuticals_oct22",1921174.65339049
"(+-)-alminoprofen","sc008","kps_pharmaceuticals_oct22",1490601.54432692
"(+-)-alminoprofen","sc009","kps_pharmaceuticals_oct22",7339833.37405451
"(+-)-alminoprofen","sc011","kps_pharmaceuticals_oct22",972451.314773273
"(+-)-alminoprofen","sc012","kps_pharmaceuticals_oct22",277365.067422186
"(+-)-alminoprofen","sc013","kps_pharmaceuticals_oct22",692500.353265573
"(+-)-alminoprofen","sc014","kps_pharmaceuticals_oct22",8137227.74330898
"(+-)-alminoprofen","sc020","kps_pharmaceuticals_oct22",3375367.2590001
"(+-)-alminoprofen","sc023","kps_pharmaceuticals_oct22",3633992.05578108
"(+-)-alminoprofen","sc15","kps_pharmaceuticals_oct22",5201180.05939418
"(+-)-alminoprofen","sc16","kps_pharmaceuticals_oct22",682250.007919269
"(+/-)-3,4-(Methylenedioxy)amphetamine","sc007","itn_kps",2700607.39017756
"(+/-)-3,4-(Methylenedioxy)amphetamine","sc009","itn_kps",4216760.08550982
"(+/-)-3,4-(Methylenedioxy)amphetamine","sc014","itn_kps",2854980.66148447
"(+/-)-3,4-(Methylenedioxy)amphetamine","sc15","itn_kps",6389527.6833987
"(-)-Ifosfamide","sc16","kps_pharmaceuticals_oct22",273961.357441913
"(1R,9S)-11-(4-Fluorobenzoyl)-5-(4-methoxyphenyl)-7,11-diazatricyclo[7.3.1.02,7]trideca-2,4-dien-6-one","sc001","mz_cloud",618469.698773351
"(1R,9S)-11-(4-Fluorobenzoyl)-5-(4-methoxyphenyl)-7,11-diazatricyclo[7.3.1.02,7]trideca-2,4-dien-6-one","sc002","mz_cloud",754906.990680159
"(1R,9S)-11-(4-Fluorobenzoyl)-5-(4-methoxyphenyl)-7,11-diazatricyclo[7.3.1.02,7]trideca-2,4-dien-6-one","sc005","mz_cloud",964771.556474316
"(1R,9S)-11-(4-Fluorobenzoyl)-5-(4-methoxyphenyl)-7,11-diazatricyclo[7.3.1.02,7]trideca-2,4-dien-6-one","sc008","mz_cloud",2276728.35624669
"(1R,9S)-11-(4-Fluorobenzoyl)-5-(4-methoxyphenyl)-7,11-diazatricyclo[7.3.1.02,7]trideca-2,4-dien-6-one","sc010","mz_cloud",1434034.86212866
"(1R,9S)-11-(4-Fluorobenzoyl)-5-(4-methoxyphenyl)-7,11-diazatricyclo[7.3.1.02,7]trideca-2,4-dien-6-one","sc011","mz_cloud",2414907.34259206
