"peak_number","name","formula","annot_delta_mass_ppm","calc_mw","m_z","rt_min","mass_list_name","mean_area","sample_location"
1880,"(+)-2,5-Dimethoxyamphetamine","C11 H17 N O2",0.08,195.12594,196.13323,11.334,"kps_pharmaceuticals_oct22",3957015.33010283,"palapye wwtp surface water"
1497,"(+)-2,5-Dimethoxyamphetamine","C11 H17 N O2",0.12,195.12595,196.13323,10.33,"kps_pharmaceuticals_oct22",736189.987677405,"kasane wwtp (main) surface water"
1880,"(+)-2,5-Dimethoxyamphetamine","C11 H17 N O2",0.08,195.12594,196.13323,11.334,"kps_pharmaceuticals_oct22",2608283.75512497,"kasane wwtp (overflow) surface water"
1497,"(+)-2,5-Dimethoxyamphetamine","C11 H17 N O2",0.12,195.12595,196.13323,10.33,"kps_pharmaceuticals_oct22",6138226.13014879,"maun wwtp (main) waste water"
4919,"(+)-Taxifolin","C15 H12 O7",3.09,304.05924,305.06652,7.005,"kps_pharmaceuticals_oct22",1492786.05538931,"palapye wwtp (eff) waste water"
4919,"(+)-Taxifolin","C15 H12 O7",3.09,304.05924,305.06652,7.005,"kps_pharmaceuticals_oct22",1812777.88813363,"palapye wwtp surface water"
4919,"(+)-Taxifolin","C15 H12 O7",3.09,304.05924,305.06652,7.005,"kps_pharmaceuticals_oct22",809699.15169133,"francistown wwtp surface water"
4919,"(+)-Taxifolin","C15 H12 O7",3.09,304.05924,305.06652,7.005,"kps_pharmaceuticals_oct22",1189865.31209213,"glen valley (reclamation) surface water"
4919,"(+)-Taxifolin","C15 H12 O7",3.09,304.05924,305.06652,7.005,"kps_pharmaceuticals_oct22",400555.237221839,"glen valley (recreational) surface water"
1097,"(+-)-alminoprofen","C13 H17 N O2",0.51,219.12604,220.13332,4.64,"kps_pharmaceuticals_oct22",1866088.15210649,"palapye wwtp (eff) waste water"
1097,"(+-)-alminoprofen","C13 H17 N O2",0.51,219.12604,220.13332,4.64,"kps_pharmaceuticals_oct22",1921174.65339049,"palapye wwtp surface water"
3594,"(+-)-alminoprofen","C13 H17 N O2",0.4,219.12602,220.13329,8.848,"kps_pharmaceuticals_oct22",1490601.54432692,"kasane wwtp (main) surface water"
1179,"(+-)-alminoprofen","C13 H17 N O2",0.53,219.12604,220.13332,7.213,"kps_pharmaceuticals_oct22",7339833.37405451,"kasane wwtp (overflow) surface water"
7328,"(+-)-alminoprofen","C13 H17 N O2",0.44,219.12603,220.1333,17.753,"kps_pharmaceuticals_oct22",972451.314773273,"kasane (recreational) surface water"
3036,"(+-)-alminoprofen","C13 H17 N O2",0.41,219.12602,220.13329,6.833,"kps_pharmaceuticals_oct22",277365.067422186,"maun beach (before) surface water"
1179,"(+-)-alminoprofen","C13 H17 N O2",0.53,219.12604,220.13332,7.213,"kps_pharmaceuticals_oct22",692500.353265573,"maun beach (after) surface water"
1076,"(+-)-alminoprofen","C13 H17 N O2",0.4,219.12602,220.13329,9.926,"kps_pharmaceuticals_oct22",8137227.74330898,"maun wwtp (main) waste water"
1097,"(+-)-alminoprofen","C13 H17 N O2",0.51,219.12604,220.13332,4.64,"kps_pharmaceuticals_oct22",3375367.2590001,"glen valley (reclamation) surface water"
1179,"(+-)-alminoprofen","C13 H17 N O2",0.53,219.12604,220.13332,7.213,"kps_pharmaceuticals_oct22",3633992.05578108,"glen valley (recreational) surface water"
8423,"(R)-Dipivefrine","C19 H29 N O5",0.36,351.2047,352.21198,5.53,"kps_pharmaceuticals_oct22",144676.431591127,"kasane (recreational) surface water"
4858,"(R)-Praziquantel","C19 H24 N2 O2",0.54,312.18395,313.19122,16.067,"kps_pharmaceuticals_oct22",1531124.25133946,"palapye wwtp (eff) waste water"
4858,"(R)-Praziquantel","C19 H24 N2 O2",0.54,312.18395,313.19122,16.067,"kps_pharmaceuticals_oct22",1849907.30045236,"palapye wwtp surface water"
1781,"(S)-(-)-Pindolol","C14 H20 N2 O2",0.43,248.15258,249.15986,9.202,"kps_pharmaceuticals_oct22",256143.655445271,"lecheng stream surface water"
