"peak_number","name","formula","annot_delta_mass_ppm","calc_mw","m_z","rt_min","mass_list_name","mean_area","sample_location"
3632,"(S)-(-)-Cathinone","C9 H11 N O",0.58,149.08415,150.09143,12.441,"kps_psychoactive_substances_v2",2628955.3211631,"francistown wwtp surface water"
4072,"(S)-(-)-Cathinone","C9 H11 N O",0.59,149.08415,150.09143,2.409,"kps_psychoactive_substances_v2",2192107.95262337,"kasane wwtp (overflow) surface water"
5084,"(S)-(-)-Cathinone","C9 H11 N O",0.47,149.08413,150.09141,11.722,"kps_psychoactive_substances_v2",607955.603411351,"kasane (main) surface water"
3404,"1,3-Indandione","C9 H6 O2",-0.49,146.03671,164.07063,8.216,"kps_psychoactive_substances_v2",2794421.91619316,"kasane wwtp (overflow) surface water"
7963,"1,3-Indandione","C9 H6 O2",1.08,146.03694,147.04415,10.745,"kps_psychoactive_substances_v2",657789.981040617,"maun beach (before) surface water"
2357,"1-Androstenedione","C19 H26 O2",-1.26,286.19292,287.2007,16.243,"kps_psychoactive_substances_v2",2796419.37608217,"palapye wwtp (eff) waste water"
2357,"1-Androstenedione","C19 H26 O2",-1.26,286.19292,287.2007,16.243,"kps_psychoactive_substances_v2",4067615.48017047,"palapye wwtp surface water"
4637,"1-Phenylacetone","C9 H10 O",0.7,134.07326,135.08054,8.792,"kps_psychoactive_substances_v2",1689249.83024868,"palapye wwtp surface water"
4637,"1-Phenylacetone","C9 H10 O",0.7,134.07326,135.08054,8.792,"kps_psychoactive_substances_v2",2008691.33718946,"glen valley (reclamation) surface water"
1755,"1-pentylindole","C13 H17 N",0.29,187.13615,188.14343,9.195,"kps_psychoactive_substances_v2",5288611.41870025,"glen valley (reclamation) surface water"
801,"17-Methyltestosterone","C20 H30 O2",0.35,302.22469,303.23199,21.055,"kps_psychoactive_substances_v2",365024.934867239,"lecheng stream surface water"
801,"17-Methyltestosterone","C20 H30 O2",0.35,302.22469,303.23199,21.055,"kps_psychoactive_substances_v2",7532480.89981767,"lecheng spring surface water"
1259,"17-Methyltestosterone","C20 H30 O2",0.54,302.22474,303.23202,17.701,"kps_psychoactive_substances_v2",5635610.62597502,"palapye wwtp (eff) waste water"
1259,"17-Methyltestosterone","C20 H30 O2",0.54,302.22474,303.23202,17.701,"kps_psychoactive_substances_v2",6826367.32736372,"palapye wwtp surface water"
801,"17-Methyltestosterone","C20 H30 O2",0.35,302.22469,303.23199,21.055,"kps_psychoactive_substances_v2",10574285.7456997,"lotsane dam surface water"
801,"17-Methyltestosterone","C20 H30 O2",0.35,302.22469,303.23199,21.055,"kps_psychoactive_substances_v2",3003300.37630767,"francistown wwtp surface water"
801,"17-Methyltestosterone","C20 H30 O2",0.35,302.22469,303.23199,21.055,"kps_psychoactive_substances_v2",990166.695408181,"kasane wwtp (main) surface water"
801,"17-Methyltestosterone","C20 H30 O2",0.35,302.22469,303.23199,21.055,"kps_psychoactive_substances_v2",816908.192937226,"maun beach (after) surface water"
801,"17-Methyltestosterone","C20 H30 O2",0.35,302.22469,303.23199,21.055,"kps_psychoactive_substances_v2",3000565.40035638,"maun wwtp (main) waste water"
801,"17-Methyltestosterone","C20 H30 O2",0.35,302.22469,303.23199,21.055,"kps_psychoactive_substances_v2",1223989.59051506,"glen valley (recreational) surface water"
1197,"17beta-Trenbolone","C18 H22 O2",0.29,270.16206,271.16933,17.597,"kps_psychoactive_substances_v2",2113939.52241485,"palapye wwtp (eff) waste water"
1197,"17beta-Trenbolone","C18 H22 O2",0.29,270.16206,271.16933,17.597,"kps_psychoactive_substances_v2",2256884.94734502,"palapye wwtp surface water"
1197,"17beta-Trenbolone","C18 H22 O2",0.29,270.16206,271.16933,17.597,"kps_psychoactive_substances_v2",1302898.76439567,"kasane wwtp (main) surface water"
