"peak_number","name","formula","annot_delta_mass_ppm","calc_mw","m_z","rt_min","mass_list_name","lysimeter_control_op_260122","thailand_sample_8","landfill_eg_0_3y","landfill_eg_3_10y","landfill_eg_y104","landfill_op_y104","lysimeter_control_eg_171221","lysimeter_control_eg_250122","lysimeter_control_op_171221","lysimeter_eg_03y_171221","lysimeter_eg_03y_250122","lysimeter_eg_0_3y_14062022","lysimeter_op_10y_140622","lysimeter_op_10y_171222","lysimeter_control_op_140622","lysimeter_eg_3_10y_171221","lysimeter_op_0_3y_171221","thailand_sample_7","crh_fst1","crh_fst5","crh_inlet","lysimeter_eg3_104_140622","lysimeter_eg3_104_250122_20221003231510","lysimeter_op3_104_140622","crh_fst2","crh_fst3","crh_fst4","lysimeter_control_eg_140622","lysimeter_eg104_140622","lysimeter_eg3_104_250122","lysimeter_eg_104_171221","lysimeter_op0_34_140622","lysimeter_op_0_3y_250122","lysimeter_op_3_10y_171221","lysimeter_op_3_10y_250122","lysimeter_op_7104_250122","thailand_sample_1","thailand_sample_2","thailand_sample_3","thailand_sample_5","thailand_sample_6","thailand_sample_4"
6986,"(+)-(6s)-Parasorbic Acid","C6 H8 O2",1.29,112.05257,113.05985,6.097,"kps_pharmaceuticals_oct22",142254.650817712,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7360,"(+)-2,5-Dimethoxyamphetamine","C11 H17 N O2",-0.02,195.12593,196.1332,13.041,"kps_pharmaceuticals_oct22",NA,351615.703902479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
979,"(+-)-alminoprofen","C13 H17 N O2",0.4,219.12602,220.13329,7.528,"kps_pharmaceuticals_oct22",NA,NA,806290.012095203,6570685.02510042,NA,1345260.06400925,950446.922854823,108878.076307982,NA,2909521.97501615,278118.688634563,144143.867524629,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3969,"(+-)-alminoprofen","C13 H17 N O2",0.38,219.12601,220.13329,8.251,"kps_pharmaceuticals_oct22",NA,NA,NA,NA,234766.925112829,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5665,"(+-)-alminoprofen","C13 H17 N O2",0.45,219.12603,220.1333,6.912,"kps_pharmaceuticals_oct22",NA,NA,NA,NA,NA,NA,NA,NA,152270.068028423,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4253,"(+-)-alminoprofen","C13 H17 N O2",0.41,219.12602,220.13329,14.154,"kps_pharmaceuticals_oct22",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,285635.693037182,202317.214966176,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
883,"(+/-)-3,4-(Methylenedioxy)amphetamine","C10 H13 N O2",0.19,179.09466,180.10194,3.72,"kps_psychoactive_substances_v2",NA,NA,NA,3433816.64369214,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1064,"(+/-)-3,4-(Methylenedioxy)amphetamine","C10 H13 N O2",0.16,179.09466,180.10193,4.653,"kps_psychoactive_substances_v2",NA,NA,NA,NA,1130371.56332848,NA,1877443.37166608,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
332,"(+/-)-3,4-(Methylenedioxy)amphetamine","C10 H13 N O2",0.19,179.09466,180.10194,2.235,"kps_psychoactive_substances_v2",3009199.34822645,17183059.073914,NA,NA,NA,5931114.90996706,NA,NA,NA,NA,NA,NA,NA,NA,1573486.71615114,NA,NA,18102333.3079857,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1703,"(+/-)-3,4-(Methylenedioxy)amphetamine","C10 H13 N O2",0.15,179.09466,180.10194,6.373,"kps_psychoactive_substances_v2",NA,NA,NA,NA,NA,NA,NA,NA,NA,3831869.00929528,440484.737233893,364000.832897473,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1816,"(+/-)-3,4-(Methylenedioxy)amphetamine","C10 H13 N O2",0.18,179.09466,180.10194,8.898,"kps_psychoactive_substances_v2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,299439.922591046,NA,855796.474637459,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4186,"(+/-)-3,4-(Methylenedioxy)amphetamine","C10 H13 N O2",0.22,179.09467,180.10194,17.453,"kps_psychoactive_substances_v2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1344194.69647883,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
896,"(+/-)5(6)-EET Ethanolamide","C22 H37 N O3",0.1,363.27738,364.28466,16.144,"mz_cloud",NA,NA,NA,7211594.27219315,NA,NA,224849.702561802,NA,NA,416487.681236222,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3724,"(+/-)5(6)-EET Ethanolamide","C22 H37 N O3",0.07,363.27737,364.28465,15.022,"mz_cloud",NA,1520943.58205034,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1571059.36150085,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
