"name","sample_location","mass_list_name","mean_area"
"(+)-(6s)-Parasorbic Acid","lysimeter_control_op_260122","kps_pharmaceuticals_oct22",142254.650817712
"(+)-2,5-Dimethoxyamphetamine","thailand_sample_8","kps_pharmaceuticals_oct22",351615.703902479
"(+-)-alminoprofen","landfill_eg_0_3y","kps_pharmaceuticals_oct22",806290.012095203
"(+-)-alminoprofen","landfill_eg_3_10y","kps_pharmaceuticals_oct22",6570685.02510042
"(+-)-alminoprofen","landfill_eg_y104","kps_pharmaceuticals_oct22",234766.925112829
"(+-)-alminoprofen","landfill_op_y104","kps_pharmaceuticals_oct22",1345260.06400925
"(+-)-alminoprofen","lysimeter_control_eg_171221","kps_pharmaceuticals_oct22",950446.922854823
"(+-)-alminoprofen","lysimeter_control_eg_250122","kps_pharmaceuticals_oct22",108878.076307982
"(+-)-alminoprofen","lysimeter_control_op_171221","kps_pharmaceuticals_oct22",152270.068028423
"(+-)-alminoprofen","lysimeter_eg_03y_171221","kps_pharmaceuticals_oct22",2909521.97501615
"(+-)-alminoprofen","lysimeter_eg_03y_250122","kps_pharmaceuticals_oct22",278118.688634563
"(+-)-alminoprofen","lysimeter_eg_0_3y_14062022","kps_pharmaceuticals_oct22",144143.867524629
"(+-)-alminoprofen","lysimeter_op_10y_140622","kps_pharmaceuticals_oct22",285635.693037182
"(+-)-alminoprofen","lysimeter_op_10y_171222","kps_pharmaceuticals_oct22",202317.214966176
"(+/-)-3,4-(Methylenedioxy)amphetamine","landfill_eg_3_10y","kps_psychoactive_substances_v2",3433816.64369214
"(+/-)-3,4-(Methylenedioxy)amphetamine","landfill_eg_y104","kps_psychoactive_substances_v2",1130371.56332848
"(+/-)-3,4-(Methylenedioxy)amphetamine","landfill_op_y104","kps_psychoactive_substances_v2",5931114.90996706
"(+/-)-3,4-(Methylenedioxy)amphetamine","lysimeter_control_eg_171221","kps_psychoactive_substances_v2",1877443.37166608
"(+/-)-3,4-(Methylenedioxy)amphetamine","lysimeter_control_op_140622","kps_psychoactive_substances_v2",1573486.71615114
"(+/-)-3,4-(Methylenedioxy)amphetamine","lysimeter_control_op_260122","kps_psychoactive_substances_v2",3009199.34822645
"(+/-)-3,4-(Methylenedioxy)amphetamine","lysimeter_eg_03y_171221","kps_psychoactive_substances_v2",3831869.00929528
"(+/-)-3,4-(Methylenedioxy)amphetamine","lysimeter_eg_03y_250122","kps_psychoactive_substances_v2",440484.737233893
"(+/-)-3,4-(Methylenedioxy)amphetamine","lysimeter_eg_0_3y_14062022","kps_psychoactive_substances_v2",364000.832897473
