"","name","formula","category","annot_source_predicted_compositions","annot_source_mz_cloud_search","annot_source_mass_list_search","annot_delta_mass_ppm","calc_mw","m_z","rt_min","area_max","number_mz_cloud_results","mz_cloud_best_match","mz_cloud_best_match_confidence","mass_list_match_efs_hram_compound_database","mass_list_match_antibiotics_itn_msca_answer_160616_w_dtxsi_ds","psychoactive_substances","pharmaceuticals_oct22","mass_list_match_itn_kps","mass_list_match_clews_list","ms2","reference_ion","count_2","sample","intensity"
"1","(2-Nitro-1-propenyl)benzene","C9 H9 N O2","Pharmaceuticals","Full match","Partial match","Full match",0.284,163.063375,173.678504,9.417,3121550.50197544,19,61.95,22.95,"No matches found","No matches found","Single match found","Single match found","No matches found","No matches found","DDA for preferred ion","[M+H+MeOH]+1",11,"sc_003",1835803.37422487
"2","(2-Nitro-1-propenyl)benzene","C9 H9 N O2","Pharmaceuticals","Full match","Partial match","Full match",0.284,163.063375,173.678504,9.417,3121550.50197544,19,61.95,22.95,"No matches found","No matches found","Single match found","Single match found","No matches found","No matches found","DDA for preferred ion","[M+H+MeOH]+1",11,"sc_007",2196349.4777441
"3","(2-Nitro-1-propenyl)benzene","C9 H9 N O2","Pharmaceuticals","Full match","Partial match","Full match",0.284,163.063375,173.678504,9.417,3121550.50197544,19,61.95,22.95,"No matches found","No matches found","Single match found","Single match found","No matches found","No matches found","DDA for preferred ion","[M+H+MeOH]+1",11,"sc_009",4653517.94357033
"4","(2-Nitro-1-propenyl)benzene","C9 H9 N O2","Pharmaceuticals","Full match","Partial match","Full match",0.284,163.063375,173.678504,9.417,3121550.50197544,19,61.95,22.95,"No matches found","No matches found","Single match found","Single match found","No matches found","No matches found","DDA for preferred ion","[M+H+MeOH]+1",11,"sc_015",1644672.12007817
"5","(2-Nitro-1-propenyl)benzene","C9 H9 N O2","Pharmaceuticals","Full match","Partial match","Full match",0.284,163.063375,173.678504,9.417,3121550.50197544,19,61.95,22.95,"No matches found","No matches found","Single match found","Single match found","No matches found","No matches found","DDA for preferred ion","[M+H+MeOH]+1",11,"sc_020",903580.204091877
"6","(2E)-N,N'-Bis(2,2,6,6-tetramethyl-4-piperidinyl)-2-butenediamide","C22 H40 N4 O2","Industrial/Intermediate","Not the top hit","Invalid mass","Full match",-3.055,392.313925,404.31217,21.1465,2623888.87512143,2,55.9,45.55,"No matches found","No matches found","No matches found","No matches found","No matches found","Single match found","DDA for preferred ion","[M+Na]+1",4,"sc_001",171028.91755058
"7","(2E)-N,N'-Bis(2,2,6,6-tetramethyl-4-piperidinyl)-2-butenediamide","C22 H40 N4 O2","Industrial/Intermediate","Not the top hit","Invalid mass","Full match",-3.055,392.313925,404.31217,21.1465,2623888.87512143,2,55.9,45.55,"No matches found","No matches found","No matches found","No matches found","No matches found","Single match found","DDA for preferred ion","[M+Na]+1",4,"sc_007",4675639.0386932
"8","(2E)-N,N'-Bis(2,2,6,6-tetramethyl-4-piperidinyl)-2-butenediamide","C22 H40 N4 O2","Industrial/Intermediate","Not the top hit","Invalid mass","Full match",-3.055,392.313925,404.31217,21.1465,2623888.87512143,2,55.9,45.55,"No matches found","No matches found","No matches found","No matches found","No matches found","Single match found","DDA for preferred ion","[M+Na]+1",4,"sc_010",82632.9052484532
"9","(2E)-N,N'-Bis(2,2,6,6-tetramethyl-4-piperidinyl)-2-butenediamide","C22 H40 N4 O2","Industrial/Intermediate","Not the top hit","Invalid mass","Full match",-3.055,392.313925,404.31217,21.1465,2623888.87512143,2,55.9,45.55,"No matches found","No matches found","No matches found","No matches found","No matches found","Single match found","DDA for preferred ion","[M+Na]+1",4,"sc_011",59852.219508547
"10","(2E,4E)-N-(2-methylpropyl)deca-2,4-dienamide","C14 H25 N O","Natural products","Full match","Full match","No results",0.406666666666667,223.193706666667,224.20098,9.63466666666667,2615370.41851356,3,90.0666666666667,69.7333333333333,"No matches found","No matches found","No matches found","No matches found","No matches found","No matches found","DDA for preferred ion","[M+H]+1",4,"sc_003",2375669.42192433
