"","name","formula","category","annot_source_predicted_compositions","annot_source_mz_cloud_search","annot_source_mass_list_search","annot_delta_mass_ppm","calc_mw","m_z","rt_min","area_max","number_mz_cloud_results","mz_cloud_best_match","mz_cloud_best_match_confidence","mass_list_match_efs_hram_compound_database","mass_list_match_antibiotics_itn_msca_answer_160616_w_dtxsi_ds","psychoactive_substances","pharmaceuticals_oct22","mass_list_match_itn_kps","mass_list_match_clews_list","ms2","reference_ion","sc_001","sc_002","sc_003","sc_004","sc_005","sc_007","sc_008","sc_009","sc_010","sc_011","sc_012","sc_013","sc_014","sc_015","sc_016","sc_017","sc_018","sc_020","sc_023","count_2"
"1","(2-Nitro-1-propenyl)benzene","C9 H9 N O2","Pharmaceuticals","Full match","Partial match","Full match",0.284,163.063375,173.678504,9.417,3121550.50197544,19,61.95,22.95,"No matches found","No matches found","Single match found","Single match found","No matches found","No matches found","DDA for preferred ion","[M+H+MeOH]+1",NA,NA,1835803.37422487,NA,NA,2196349.4777441,NA,4653517.94357033,NA,NA,NA,NA,NA,1644672.12007817,NA,NA,NA,903580.204091877,NA,11
"2","(2E)-N,N'-Bis(2,2,6,6-tetramethyl-4-piperidinyl)-2-butenediamide","C22 H40 N4 O2","Industrial/Intermediate","Not the top hit","Invalid mass","Full match",-3.055,392.313925,404.31217,21.1465,2623888.87512143,2,55.9,45.55,"No matches found","No matches found","No matches found","No matches found","No matches found","Single match found","DDA for preferred ion","[M+Na]+1",171028.91755058,NA,NA,NA,NA,4675639.0386932,NA,NA,82632.9052484532,59852.219508547,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
"3","(2E,4E)-N-(2-methylpropyl)deca-2,4-dienamide","C14 H25 N O","Natural products","Full match","Full match","No results",0.406666666666667,223.193706666667,224.20098,9.63466666666667,2615370.41851356,3,90.0666666666667,69.7333333333333,"No matches found","No matches found","No matches found","No matches found","No matches found","No matches found","DDA for preferred ion","[M+H]+1",NA,NA,2375669.42192433,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,226925.345743088,NA,NA,NA,NA,NA,4
"4","(2E,4E)-N-Isobutyl-2,4-octadecadienamide","C22 H41 N O","Natural products","Not the top hit","No results","Full match",0.06,335.31883,358.30804,24.134,3908441.74726818,0,NA,NA,"No matches found","No matches found","No matches found","No matches found","No matches found","Single match found","DDA for preferred ion","[M+Na]+1",1065439.50843582,2107060.85059978,3890829.76595552,NA,1013473.6471425,872032.131159712,NA,378967.973667451,526164.694102797,NA,NA,NA,1345535.92697386,558641.657564266,NA,NA,NA,425965.549337651,1149706.32546994,11
"5","(2R)-1-[(2-Hydroxyethyl)(methyl)amino]-2-heptadecanol","C20 H43 N O2","Industrial/Intermediate","Full match","No results","Full match",0.15,329.32943,330.3367,20.47,17057036.9581152,0,NA,NA,"No matches found","No matches found","No matches found","No matches found","No matches found","Single match found","DDA for preferred ion","[M+H]+1",9031565.1687317,11708319.5333414,6926870.1950368,10351944.1343217,10639728.5876314,4784310.83703773,10353002.1710836,8391839.13787918,8430601.91417606,6418693.60624937,8812480.30535572,7934952.41666774,7091968.5611729,6334861.38722127,7509740.51938553,7050259.29344121,7257656.03174929,5151022.28533234,4386686.01548818,19
"6","(3E)-3-(3-Oxo-1,3-dihydro-2H-indol-2-ylidene)-1,3-dihydro-2H-indol-2-one","C16 H10 N2 O2","Industrial/Intermediate","No match","Not the top hit","Full match",-2.542,262.07356,263.080846,10.133,1632270.40558365,74,80.1,39.78,"No matches found","Single match found","No matches found","No matches found","Single match found","No matches found","DDA for preferred ion","[M+H]+1",NA,NA,1020557.73031393,68848.0082262029,56898.8096877313,370887.407874931,568598.166800288,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,344738.701900963,1012532.30999411,11
"7","(3E)-4-methyl-3-(phenylmethylidene)-2,3,4,5-tetrahydro-1H-1,4-benzodiazepine-2,5-dione","C17 H14 N2 O2","Others","Full match","Not the top hit","No results",0.37,278.10563,279.11292,17.179,450284.953994329,9,86,53.6,"No matches found","No matches found","No matches found","No matches found","No matches found","No matches found","DDA for preferred ion","[M+H]+1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,439294.995800395,NA,76124.5676313711,NA,NA,NA,NA,2
"8","(3R,4R,5R)-N-(3-Amino-3-oxopropyl)-3-{[(3-fluorophenyl)carbamoyl]amino}-4,5-dihydroxy-1-cyclohexene-1-carboxamide","C17 H21 F N4 O5","Industrial/Intermediate","Full match","Not the top hit","No results",4.24,380.15121,381.15838,21.238,966316.644888998,13,41.5,59.6,"No matches found","No matches found","No matches found","No matches found","No matches found","No matches found","DDA for other ion","[M+H]+1",NA,NA,431613.816321531,NA,NA,743632.999533908,115442.114834724,NA,NA,NA,NA,NA,442432.748592073,NA,NA,NA,NA,NA,345136.31977316,5
"9","(3S,4S,5R)-4-[(2R,3R)-2,3-dihydroxy-3-[(2R,4S,5R,7R,11S,14S,15R)-4,5,11-trihydroxy-2,15-dimethyl-8-oxotetracyclo[8.7.0.0Â?,â·.0ÂaÂa,Âaâµ]heptadec-9-en-14-yl]butyl]-3,5-dimethyloxolan-2-one","C29 H44 O8","Others","Full match","Full match","No results",-4.58,520.30124,521.30852,21.519,27858876.0793216,1,32.4,6.6,"No matches found","No matches found","No matches found","No matches found","No matches found","No matches found","DDA for preferred ion","[M+H]+1",NA,NA,NA,NA,NA,NA,NA,NA,NA,77572.3082861192,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"10","(4-amino-1,2,5-oxadiazol-3-yl)(1-pyrrolidinyl)methanone oxime","C7 H11 N5 O2","Industrial/Intermediate","Full match","Not the top hit","No results",0.12,197.0913,198.09857,4.088,5311694.62907643,4,76.2,47.9,"No matches found","No matches found","No matches found","No matches found","No matches found","No matches found","DDA for preferred ion","[M+H]+1",NA,NA,NA,NA,NA,NA,559959.922853724,338962.269866066,NA,NA,NA,NA,4628702.27820109,5253946.92394143,NA,NA,NA,389157.277998811,3411991.94126615,6
"11","(4E)-2-Amino-1,4-octadecadien-3-one","C18 H33 N O","Others","Full match","No results","Full match",0.3,279.256297142857,283.403854285714,20.1014285714286,5923851.98666344,0,NA,NA,"No matches found","No matches found","No matches found","No matches found","No matches found","Single match found","DDA for preferred ion","[M+H]+1",7231805.04087053,15709543.146577,24079701.5377268,8831442.75262088,23213147.5078492,3011937.04371498,5043154.46144935,3299532.68186069,4312024.93851323,7256153.45986441,3306948.63325079,3339457.37231323,4212826.56125238,3717185.71581105,4301539.36520777,6834973.21572026,2532137.95287243,3346829.94761314,6442056.72888291,49
"12","(4Z)-4-{3-[4-(Diethylamino)butyl]triazanylidene}-4H-imidazole-5-carboxamide","C12 H23 N7 O","Others","Not the top hit","No results","Full match",1.285,281.19677,282.20405,17.7345,16456310.1425692,0,NA,NA,"No matches found","No matches found","No matches found","No matches found","No matches found","Single match found","DDA for preferred ion","[M+H]+1",22753464.1980578,NA,NA,2912750.09841082,27192986.2072847,NA,NA,495794.620616782,NA,NA,NA,NA,NA,1088027.24362334,2764721.39838734,NA,NA,NA,NA,7
"13","(5ξ)-12,13-Dihydroxypodocarpa-8,11,13-trien-7-one","C17 H22 O3","Others","Full match","Not the top hit","No results",0.28,274.1569725,275.1642925,17.75875,8896945.7609563,34,82.95,9.15,"No matches found","No matches found","No matches found","No matches found","No matches found","No matches found","DDA for preferred ion","[M+H]+1",NA,NA,NA,NA,NA,2400902.57745342,3891808.24079774,NA,NA,NA,NA,NA,NA,NA,456097.093999545,NA,NA,NA,NA,5
